FiberDock	<=1.4	0.4389276	0.1659288	-0.3237425  0.6939451	0.634669	0.1601238	-0.4495555  1.1702347	0.6939217	0.1723808	-0.6195657  0.8940086
	<=2.8	0.8469578	0.08711951	-0.6461113  0.6419636	0.5088138	0.2186355	-0.6461113  1.3336800	0.4130455	-0.5728222	-1.394725  0.533595
	<=4.2	0.8218252	-0.133608	-0.9321263  0.6312122	0.9783031	-0.03151858	-1.0136817  0.7072509	0.8	0.8793715	-0.9925124  1.1634568
	>4.2	0.6159506	-0.1623701	-0.7065954  0.3134373	0.7307692	0.106115	-0.4175747  0.9744911	0.2823843	-0.6036413	-2.0344823  0.2456567
aVdW	<=1.4	0.6091453	-0.08378008	-0.3706072  0.2137632	0.2921987	0.2189466	-0.2045053  0.6204063	0.1254916	-0.3454243	-0.80269915  0.09892775
	<=2.8	0.3732175	0.2038613	-0.2364976  0.6535310	0.1506673	0.6567739	-0.2461744  1.1914873	0.8017061	-0.05648805	-0.6384153  0.5421222
	<=4.2	0.7729293	0.09480256	-0.3711737  0.5724524	0.418413	0.2071107	-0.2713840  0.7776555	0.6991342	-0.3847933	-1.8074360  0.8874776
	>4.2	0.106	0.4226658	-0.1692609  0.7251153	0.0006660007	0.7996147	0.4474834 1.3421990	0.4848485	-0.2076995	-5.2997068  0.2719364
rVdW	<=1.4	0.1857859	0.03902959	-0.08017946  0.16635756	0.0003455291	0.1242246	0.03896979 0.25897756	0.145785	-0.1531913	-0.2118654  0.1109716
	<=2.8	0.8170094	0.02301187	-0.1147314  0.1539454	0.2448533	0.09019203	-0.06266658  0.38442599	0.5197525	-0.09990341	-0.3547775  0.1195430
	<=4.2	0.0225172	0.1101427	0.005401874 0.154869231	0.1232294	0.03861065	-0.03033892  0.15200512	0.1036042	0.2128187	-0.1293254  0.4759311
	>4.2	0.0001614448	0.2586356	0.0588911 0.3293702	0.0001106708	0.3294002	0.2754069 0.4565465	0.3394849	0.04750263	-0.05065324  0.23080175
