1A2K	-57.66	-16.93	0.00	-5.59	13.24	-157.00	30.81	-13.20	15.07	0.00	5	4	20	2	11	25	-1.67	6.59	2775.20	-11.91	-2810.70
1ACB	-70.70	-17.40	0.09	-21.32	9.62	0.00	0.00	0.00	0.00	-1.49	3	2	19	4	19	25	3.60	-6.16	2639.30	-17.30	-2809.80
1AHW	-11.14	-23.22	0.05	15.91	14.37	-70.28	15.78	-40.64	16.50	-1.92	13	17	22	5	20	9	0.16	12.48	3381.70	19.69	-3241.20
1AK4	-36.84	-12.09	0.00	-6.12	7.05	0.00	0.00	0.00	0.00	-0.28	0	4	14	1	10	20	-14.10	-1.70	1737.30	-42.46	-1974.60
1AKJ	-37.37	-19.21	0.00	14.52	14.67	-179.67	0.00	-29.41	0.00	-1.10	8	20	7	18	18	2	-5.81	-6.98	4261.40	4.84	-3915.40
1ATN	-90.49	-22.07	0.00	-15.18	22.02	-107.73	15.08	-16.50	1.50	-0.28	9	8	20	4	15	28	-4.31	-4.16	3034.10	5.04	-3159.20
1AVX	-81.20	-23.34	0.00	-4.86	7.53	-120.73	0.00	-8.69	0.00	-1.11	6	7	24	2	17	18	-4.33	-3.97	2793.30	7.37	-3363.10
1AVZ	-30.67	-15.54	0.00	-0.37	20.29	-104.67	21.13	-14.99	20.76	-0.21	5	8	9	2	14	10	-4.67	-3.30	1512.70	-6.23	-1654.20
1AY7	-31.53	-15.75	0.00	7.37	18.10	-179.86	0.00	-25.45	19.10	-0.66	10	8	19	1	7	4	5.11	2.52	1933.90	15.81	-2062.50
1B6C	-54.62	-17.25	0.00	-5.88	21.62	0.00	0.00	0.00	3.00	-0.24	6	11	18	1	11	21	-0.28	-5.64	3495.00	12.72	-3312.00
1BJ1	-58.50	-27.42	0.00	-7.79	12.89	0.00	0.00	0.00	0.00	-1.19	3	8	21	7	22	19	-0.41	-1.49	2843.20	33.27	-2633.00
1BRS	-44.35	-19.03	0.05	8.36	14.26	-241.51	17.40	-34.03	24.47	-1.27	11	12	25	2	11	7	2.99	8.53	2727.70	8.47	-2716.10
1BUH	-15.54	-12.91	0.00	1.28	16.19	-24.92	16.93	-10.15	21.59	-0.64	12	4	20	0	5	17	1.91	6.66	1851.40	32.82	-2038.40
1BVK	1.94	-14.70	0.00	8.86	16.89	-5.46	0.00	-7.30	8.06	-2.44	2	8	18	2	14	14	-4.61	6.04	1884.00	-12.16	-2115.90
1BVN	-97.23	-22.33	0.00	-10.54	13.61	-162.39	18.20	-11.08	17.19	-3.10	3	12	22	0	23	33	2.52	11.63	4388.40	30.03	-4536.70
1CBW	-53.98	-19.82	0.00	-9.83	5.32	0.00	0.00	0.00	0.00	0.00	3	10	26	1	13	28	1.63	-4.85	2695.00	4.84	-3135.10
1DE4	-57.46	-21.63	0.08	5.71	20.03	-112.55	2.85	-24.02	6.74	-0.91	5	13	17	9	14	9	-2.67	-2.33	3512.30	10.23	-3643.50
1DFJ	-29.00	-19.29	0.00	16.66	12.32	-225.86	26.82	-57.88	19.73	-0.97	12	17	22	7	25	13	-9.17	-5.09	4559.30	-6.76	-4541.80
1DQJ	-19.28	-24.87	0.10	14.83	16.31	-42.43	6.12	-2.32	9.64	-1.86	2	20	18	11	25	15	-11.70	-5.97	2652.90	7.50	-3101.20
1E4K	-21.08	-17.98	0.32	0.11	10.37	0.00	0.00	0.00	0.00	-1.49	3	8	26	2	5	21	-4.56	14.70	2578.30	-18.85	-2705.10
1E6E	-54.77	-21.21	0.00	13.29	20.51	-337.40	49.89	-110.28	13.70	-0.33	18	15	17	5	11	11	3.31	15.45	3868.80	3.91	-4031.50
1E6J	-33.79	-13.55	0.00	-5.96	12.82	0.00	0.00	0.00	0.00	-1.18	0	7	8	5	15	26	-6.89	-8.87	2241.50	23.28	-2445.80
1E96	-13.20	-12.98	0.00	0.62	22.84	0.00	0.00	-4.49	7.61	-0.39	4	7	16	4	11	8	1.65	-0.46	1990.10	-7.31	-2096.10
1EAW	-45.46	-26.44	0.64	3.74	10.88	-66.73	19.66	-13.34	16.49	-1.79	7	9	26	1	15	16	3.15	-1.03	2589.20	10.37	-3203.50
1EER	-161.46	-36.17	0.00	3.67	1.99	-523.49	17.96	-133.14	32.89	-1.25	30	19	25	12	31	19	-1.72	-5.74	4948.00	59.73	-5744.00
