#complex_pdb	chainsA	StructureA	chainsB	StructureB	Type	UnboundPDB	chainsUA	StructureA	UnboundPDB	chainsUB	StructureB
1a2k	C	1A2K_l_b.pdb	AB	1A2K_r_b.pdb	OG	1QG4	A	1A2K_l_u.pdb	1OUN	AB	1A2K_r_u.pdb
1acb	E	1ACB_r_b.pdb	I	1ACB_l_b.pdb	EI	4CHA	ABC	1ACB_r_u.pdb	1EGL	A	1ACB_l_u.pdb
1ahw	AB	1AHW_r_b.pdb	C	1AHW_l_b.pdb	A	1FGN	LH	1AHW_r_u.pdb	1TFH	A	1AHW_l_u.pdb
1ak4	A	1AK4_r_b.pdb	D	1AK4_l_b.pdb	OX	2CPL	A	1AK4_r_u.pdb	1E6J	P	1AK4_l_u.pdb
1akj	AB	1AKJ_r_b.pdb	DE	1AKJ_l_b.pdb	OX	2CLR	DE	1AKJ_r_u.pdb	1CD8	AB	1AKJ_l_u.pdb
1atn	A	1ATN_r_b.pdb	D	1ATN_l_b.pdb	OX	1IJJ	B	1ATN_r_u.pdb	3DNI	A	1ATN_l_u.pdb
1avx	A	1AVX_r_b.pdb	B	1AVX_l_b.pdb	EI	1QQU	A	1AVX_r_u.pdb	1BA7	B	1AVX_l_u.pdb
1avz	B	1AVZ_r_b.pdb	C	1AVZ_l_b.pdb	OX	1AVV	A	1AVZ_r_u.pdb	1FYN	A	1AVZ_l_u.pdb
1ay7	A	1AY7_r_b.pdb	B	1AY7_l_b.pdb	EI	1RGH	B	1AY7_r_u.pdb	1A19	B	1AY7_l_u.pdb
1b6c	A	1B6C_r_b.pdb	B	1B6C_l_b.pdb	OX	1D6O	A	1B6C_r_u.pdb	1IAS	A	1B6C_l_u.pdb
1bj1	HL	1BJ1_r_b.pdb	VW	1BJ1_l_b.pdb	AB	1BJ1	HL	1BJ1_r_u.pdb	2VPF	GH	1BJ1_l_u.pdb
1brs	A	1BRS_r_b.pdb	D	1BRS_l_b.pdb	EI	1A2P	A	1BRS_r_u.pdb	1A19	B	1BRS_l_u.pdb
1buh	A	1BUH_r_b.pdb	B	1BUH_l_b.pdb	EI	1HCL	A	1BUH_r_u.pdb	1DKS	A	1BUH_l_u.pdb
1bvk	DE	1BVK_r_b.pdb	F	1BVK_l_b.pdb	A	1BVL	BA	1BVK_r_u.pdb	3LZT	A	1BVK_l_u.pdb
1bvn	P	1BVN_r_b.pdb	T	1BVN_l_b.pdb	EI	1PIG	A	1BVN_r_u.pdb	1HOE	A	1BVN_l_u.pdb
1cbw	ABC	1CBW_r_b.pdb	D	1CBW_l_b.pdb	EI	4CHA	ABC	1CBW_r_u.pdb	9PTI	A	1CBW_l_u.pdb
1de4	AB	1DE4_r_b.pdb	CF	1DE4_l_b.pdb	OX	1A6Z	AB	1DE4_r_u.pdb	1CX8	AB	1DE4_l_u.pdb
1dfj	E	1DFJ_r_b.pdb	I	1DFJ_l_b.pdb	EI	9RSA	B	1DFJ_r_u.pdb	2BNH	A	1DFJ_l_u.pdb
