*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1AKJ_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1AKJ/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1AKJ_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 16792 | -3.93 | 3214.20 |     0 |     0 |     0 |  444.11 |    0.00 |    0.00 |     0 | 0.00 || 1.57134 0.64490 2.50171 -12.18106 52.38636 10.80114
   2 | 15844 | -3.67 | 2705.10 |     0 |     0 |     0 |  478.57 |    0.00 |    0.00 |     0 | 0.00 || -1.31548 -0.54024 0.16093 61.08054 24.01981 54.82061
   3 | 15714 | -3.40 | 2275.60 |     0 |     0 |     0 |  349.98 |    0.00 |    0.00 |     0 | 0.00 || 0.20442 -0.96996 -2.36806 15.83341 60.26575 21.83848
   4 | 15520 | -3.88 | 2307.00 |     0 |     0 |     0 |  479.23 |    0.00 |    0.00 |     0 | 0.00 || -1.33756 -1.09184 -0.76986 -15.53858 -12.96973 47.30460
   5 | 14340 | -3.68 | 2508.20 |     0 |     0 |     0 |  298.57 |    0.00 |    0.00 |     0 | 0.00 || 2.13149 0.34355 -2.51044 23.76844 5.17006 38.83059
   6 | 14322 | -3.81 | 2281.20 |     0 |     0 |     0 |  447.19 |    0.00 |    0.00 |     0 | 0.00 || -1.82375 -0.46113 1.35428 33.79789 73.54286 84.25754
   7 | 14278 | -3.15 | 1722.80 |     0 |     0 |     0 |  411.43 |    0.00 |    0.00 |     0 | 0.00 || 1.57902 -0.54646 -3.05242 56.90361 24.69851 -15.19513
   8 | 14272 | -3.69 | 2182.10 |     0 |     0 |     0 |  436.14 |    0.00 |    0.00 |     0 | 0.00 || -0.84102 1.05961 0.88226 51.74333 29.60064 77.96012
   9 | 14218 | -2.79 | 1761.40 |     0 |     0 |     0 |  365.24 |    0.00 |    0.00 |     0 | 0.00 || -0.75658 0.76999 -0.97650 -29.67788 35.88846 58.84935
  10 | 14186 | -3.56 | 2000.70 |     0 |     0 |     0 |  196.50 |    0.00 |    0.00 |     0 | 0.00 || -3.04109 -0.35892 0.06819 12.57835 80.77998 87.89070
