*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1ATN_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1ATN/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1ATN_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 16324 | -4.26 | 2453.10 |     0 |     0 |     0 |  258.72 |    0.00 |    0.00 |     0 | 0.00 || -0.94789 0.63833 -1.46614 6.83750 137.74925 -8.51965
   2 | 16118 | -2.82 | 2120.20 |     0 |     0 |     0 |  375.02 |    0.00 |    0.00 |     0 | 0.00 || -2.01345 -1.13434 2.25241 153.11496 124.24878 225.52252
   3 | 15782 | -3.46 | 2303.70 |     0 |     0 |     0 |  176.51 |    0.00 |    0.00 |     0 | 0.00 || -0.21101 -0.63261 1.49409 132.02213 -95.79257 105.55300
   4 | 15670 | -2.87 | 1951.40 |     0 |     0 |     0 |  256.76 |    0.00 |    0.00 |     0 | 0.00 || 0.68788 -0.17579 2.37942 170.37747 -95.06306 2.03912
   5 | 15542 | -2.92 | 1946.30 |     0 |     0 |     0 |  386.41 |    0.00 |    0.00 |     0 | 0.00 || 2.67890 -0.35558 -0.73500 86.48358 184.55292 192.55702
   6 | 15522 | -2.82 | 1916.90 |     0 |     0 |     0 |  250.16 |    0.00 |    0.00 |     0 | 0.00 || 0.92767 -0.73284 0.94093 -30.37432 -14.12960 125.18288
   7 | 15472 | -3.47 | 2203.40 |     0 |     0 |     0 |  208.76 |    0.00 |    0.00 |     0 | 0.00 || -2.64486 0.09652 -1.81076 119.05714 198.35721 175.00723
   8 | 15128 | -3.26 | 2030.50 |     0 |     0 |     0 |  176.27 |    0.00 |    0.00 |     0 | 0.00 || -0.96875 -0.22458 1.31205 164.82611 -75.18878 91.19872
   9 | 14926 | -3.19 | 2226.00 |     0 |     0 |     0 |  412.12 |    0.00 |    0.00 |     0 | 0.00 || 0.80171 0.20260 -2.21722 205.61053 115.37265 -6.14725
  10 | 14724 | -2.65 | 1945.90 |     0 |     0 |     0 |  304.85 |    0.00 |    0.00 |     0 | 0.00 || 2.02015 -0.05257 -1.41079 176.46237 204.71722 114.38002
