*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1AVX_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1AVX/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1AVX_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 12894 | -3.48 | 1934.40 |     0 |     0 |     0 | -155.82 |    0.00 |    0.00 |     0 | 0.00 || 3.12973 1.03693 -2.75777 114.45932 38.75027 152.27518
   2 | 12398 | -2.77 | 1585.50 |     0 |     0 |     0 |  -83.46 |    0.00 |    0.00 |     0 | 0.00 || -0.27009 1.00757 0.27836 117.97887 0.37700 45.07772
   3 | 12116 | -3.15 | 1699.50 |     0 |     0 |     0 |   18.18 |    0.00 |    0.00 |     0 | 0.00 || -2.51242 0.55418 -2.98389 70.23711 95.43690 210.79201
   4 | 12018 | -2.78 | 1527.20 |     0 |     0 |     0 |  461.20 |    0.00 |    0.00 |     0 | 0.00 || -0.00619 0.05435 -1.58469 -23.53455 41.56097 -1.66291
   5 | 11940 | -3.17 | 1639.60 |     0 |     0 |     0 |   30.14 |    0.00 |    0.00 |     0 | 0.00 || 1.31085 0.34629 2.18171 -86.12830 28.90297 14.22860
   6 | 11648 | -3.89 | 1818.40 |     0 |     0 |     0 | -194.52 |    0.00 |    0.00 |     0 | 0.00 || -0.51827 -0.54020 -0.78532 -93.23384 4.01924 22.69854
   7 | 11586 | -3.76 | 1743.30 |     0 |     0 |     0 |  -86.88 |    0.00 |    0.00 |     0 | 0.00 || 2.42319 -1.32060 -0.95551 135.33183 81.99081 94.81735
   8 | 11194 | -2.83 | 1409.10 |     0 |     0 |     0 |  199.89 |    0.00 |    0.00 |     0 | 0.00 || -3.04742 1.00380 -1.41752 18.58567 137.90735 157.66559
   9 | 11142 | -3.43 | 1638.60 |     0 |     0 |     0 | -175.71 |    0.00 |    0.00 |     0 | 0.00 || -0.20462 0.89343 -2.22830 -75.78444 11.41982 34.24459
  10 | 11116 | -2.45 | 1250.20 |     0 |     0 |     0 |   69.78 |    0.00 |    0.00 |     0 | 0.00 || 0.41499 0.26022 -2.30422 -3.35221 2.96929 -20.58033
  11 | 11050 | -2.94 | 1421.90 |     0 |     0 |     0 |  212.36 |    0.00 |    0.00 |     0 | 0.00 || 0.31278 0.94533 1.65410 21.67094 160.64201 29.41514
  12 | 11012 | -3.47 | 1752.70 |     0 |     0 |     0 | -275.19 |    0.00 |    0.00 |     0 | 0.00 || 2.50318 -0.53900 2.10125 -88.44698 10.48963 171.52150
  13 | 10888 | -3.14 | 1455.70 |     0 |     0 |     0 |   63.55 |    0.00 |    0.00 |     0 | 0.00 || -0.25583 -0.45545 -0.19123 -41.08146 12.93118 -25.04310
  14 | 10864 | -3.08 | 1599.70 |     0 |     0 |     0 | -159.91 |    0.00 |    0.00 |     0 | 0.00 || -2.03775 -0.70362 -1.76282 -92.81356 6.44343 177.26982
  15 | 10788 | -3.60 | 1601.00 |     0 |     0 |     0 |  239.74 |    0.00 |    0.00 |     0 | 0.00 || -2.43765 -0.34162 0.27971 59.72237 43.73147 208.89325
  16 | 10784 | -2.71 | 1362.10 |     0 |     0 |     0 |   61.01 |    0.00 |    0.00 |     0 | 0.00 || 1.95893 -1.13654 -1.72462 142.29958 43.03895 81.97897
  17 | 10762 | -2.63 | 1239.30 |     0 |     0 |     0 |  125.62 |    0.00 |    0.00 |     0 | 0.00 || -0.54773 -0.34393 1.16087 76.06657 10.25755 1.13148
  18 | 10760 | -3.11 | 1678.40 |     0 |     0 |     0 | -108.15 |    0.00 |    0.00 |     0 | 0.00 || -2.71521 0.61168 -0.29211 -74.06282 40.41350 201.68192
  19 | 10758 | -2.68 | 1357.70 |     0 |     0 |     0 |  -11.95 |    0.00 |    0.00 |     0 | 0.00 || -0.66698 0.36309 1.68318 94.94766 101.02230 3.03760
  20 | 10740 | -3.64 | 1591.00 |     0 |     0 |     0 |  158.99 |    0.00 |    0.00 |     0 | 0.00 || 0.65342 0.42001 -0.99196 64.71258 29.27527 5.08745
  21 | 10724 | -2.77 | 1397.20 |     0 |     0 |     0 |  219.79 |    0.00 |    0.00 |     0 | 0.00 || -0.01722 0.70338 2.16035 19.26931 155.58835 6.89331
  22 | 10716 | -3.02 | 1384.50 |     0 |     0 |     0 |  289.00 |    0.00 |    0.00 |     0 | 0.00 || -2.91274 -0.11158 -2.42940 -19.28607 51.77797 223.53583
  23 | 10676 | -3.05 | 1352.00 |     0 |     0 |     0 |  193.66 |    0.00 |    0.00 |     0 | 0.00 || 2.02265 -0.87713 1.29455 -93.75888 73.47243 123.27032
  24 | 10676 | -3.73 | 1623.00 |     0 |     0 |     0 | -104.69 |    0.00 |    0.00 |     0 | 0.00 || -2.80859 0.23826 -2.87709 35.06274 48.32296 220.37456
