*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1AVZ_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1AVZ/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1AVZ_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 15080 | -3.17 | 2117.70 |     0 |     0 |     0 |  122.33 |    0.00 |    0.00 |     0 | 0.00 || 2.97828 -0.03666 -0.52648 18.37291 99.86567 169.95209
   2 | 14194 | -3.49 | 2132.80 |     0 |     0 |     0 |  321.80 |    0.00 |    0.00 |     0 | 0.00 || -0.29893 1.23728 1.89274 6.55468 126.25797 102.49833
   3 | 13912 | -3.01 | 1808.40 |     0 |     0 |     0 |  381.43 |    0.00 |    0.00 |     0 | 0.00 || 0.00287 0.27154 2.95211 -31.45087 124.63458 32.52790
   4 | 13874 | -3.37 | 1932.70 |     0 |     0 |     0 |  257.23 |    0.00 |    0.00 |     0 | 0.00 || 1.20662 0.34951 -1.68641 50.89674 47.42204 44.29082
   5 | 13586 | -3.42 | 1750.70 |     0 |     0 |     0 |  406.09 |    0.00 |    0.00 |     0 | 0.00 || 0.49566 -0.19377 2.78730 2.28570 16.49138 17.35888
   6 | 13356 | -3.69 | 1959.00 |     0 |     0 |     0 |  218.18 |    0.00 |    0.00 |     0 | 0.00 || 1.49716 -0.04972 -0.86465 16.87751 110.69865 58.02124
   7 | 13348 | -2.82 | 1947.90 |     0 |     0 |     0 |  281.01 |    0.00 |    0.00 |     0 | 0.00 || -2.39760 -0.60128 2.96074 -66.66327 96.27489 159.02365
   8 | 13266 | -4.10 | 2489.60 |     0 |     0 |     0 |  257.47 |    0.00 |    0.00 |     0 | 0.00 || -1.82286 0.26004 0.05285 -10.69955 -8.11861 158.82178
   9 | 13232 | -3.57 | 1965.60 |     0 |     0 |     0 |  365.52 |    0.00 |    0.00 |     0 | 0.00 || 1.28462 0.49444 -0.52880 34.46694 132.30177 60.61662
  10 | 13180 | -3.15 | 1858.70 |     0 |     0 |     0 |   83.57 |    0.00 |    0.00 |     0 | 0.00 || -0.67793 -0.74865 -2.14832 -64.00865 127.02504 64.98459
