*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1AY7_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1AY7/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1AY7_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 |  9102 | -2.41 | 1031.00 |     0 |     0 |     0 |  189.11 |    0.00 |    0.00 |     0 | 0.00 || 3.07334 -0.18960 -2.51111 54.54436 3.61567 29.01424
   2 |  8924 | -2.40 | 1071.00 |     0 |     0 |     0 |   44.02 |    0.00 |    0.00 |     0 | 0.00 || 0.07116 -0.38984 0.62525 8.91841 -32.32787 21.71025
   3 |  8878 | -2.37 | 1025.20 |     0 |     0 |     0 |  164.98 |    0.00 |    0.00 |     0 | 0.00 || -1.69629 0.54333 1.51740 -0.20055 -26.13925 43.15580
   4 |  8780 | -2.32 | 1026.70 |     0 |     0 |     0 |  200.44 |    0.00 |    0.00 |     0 | 0.00 || -0.07346 -0.76259 -1.96340 -22.97839 63.71695 44.57809
   5 |  8730 | -3.11 | 1201.30 |     0 |     0 |     0 |  432.36 |    0.00 |    0.00 |     0 | 0.00 || 1.19129 1.24404 1.49841 28.16995 61.47313 -15.23648
   6 |  8700 | -2.59 | 1149.40 |     0 |     0 |     0 |  205.52 |    0.00 |    0.00 |     0 | 0.00 || -3.00778 -0.99915 1.24983 -37.87621 25.50142 52.61271
   7 |  8654 | -3.16 | 1178.00 |     0 |     0 |     0 |  145.52 |    0.00 |    0.00 |     0 | 0.00 || 1.26308 -0.80829 1.29526 4.45899 -31.38033 6.33319
   8 |  8494 | -2.73 | 1054.70 |     0 |     0 |     0 |  200.11 |    0.00 |    0.00 |     0 | 0.00 || 0.78976 -0.54119 2.74955 54.78716 29.80455 11.81711
   9 |  8486 | -2.72 | 1164.20 |     0 |     0 |     0 |  -59.81 |    0.00 |    0.00 |     0 | 0.00 || -1.07299 -0.11564 -2.12034 -9.14038 58.90921 63.93281
  10 |  8412 | -3.66 | 1178.70 |     0 |     0 |     0 |  358.05 |    0.00 |    0.00 |     0 | 0.00 || 2.04531 0.93136 -0.30658 27.52681 50.58806 -21.13618
  11 |  8368 | -2.44 | 1053.90 |     0 |     0 |     0 |  163.00 |    0.00 |    0.00 |     0 | 0.00 || -2.59984 -0.38232 -0.75213 19.87385 69.67110 53.02073
  12 |  8350 | -2.78 |  953.20 |     0 |     0 |     0 |   82.08 |    0.00 |    0.00 |     0 | 0.00 || 1.32075 -0.87429 -1.96698 6.96169 34.10041 7.86458
  13 |  8348 | -2.66 | 1019.50 |     0 |     0 |     0 |  265.85 |    0.00 |    0.00 |     0 | 0.00 || -2.48587 0.21396 -2.81133 49.67590 5.89055 42.88268
  14 |  8324 | -2.76 | 1002.30 |     0 |     0 |     0 |  -62.16 |    0.00 |    0.00 |     0 | 0.00 || 0.92961 -0.12457 0.23793 -10.43170 22.08387 7.47607
  15 |  8284 | -2.40 |  984.90 |     0 |     0 |     0 |  308.31 |    0.00 |    0.00 |     0 | 0.00 || -1.09789 -0.10669 1.06191 15.21050 24.61069 36.21327
  16 |  8280 | -3.42 | 1065.50 |     0 |     0 |     0 |   77.95 |    0.00 |    0.00 |     0 | 0.00 || -0.58941 -0.77688 -2.13448 -21.29171 11.87455 45.53676
  17 |  8248 | -2.79 | 1110.40 |     0 |     0 |     0 |  341.81 |    0.00 |    0.00 |     0 | 0.00 || -0.88665 -0.20784 0.16960 4.27941 16.61591 32.68463
  18 |  8242 | -3.40 | 1237.20 |     0 |     0 |     0 |   83.28 |    0.00 |    0.00 |     0 | 0.00 || -2.75526 0.46945 -2.17091 19.33400 17.67298 20.87222
  19 |  8200 | -2.79 | 1166.30 |     0 |     0 |     0 |  214.13 |    0.00 |    0.00 |     0 | 0.00 || 1.04988 -0.05211 -2.35239 10.25215 56.80684 -23.61711
  20 |  8118 | -2.61 |  941.90 |     0 |     0 |     0 |  165.57 |    0.00 |    0.00 |     0 | 0.00 || 2.23513 -0.62964 2.12449 -4.89305 -31.40548 7.94140
  21 |  8080 | -2.96 | 1054.20 |     0 |     0 |     0 |  254.78 |    0.00 |    0.00 |     0 | 0.00 || -0.71423 -0.22323 0.33996 18.68696 7.45569 29.40806
  22 |  8068 | -2.88 | 1037.60 |     0 |     0 |     0 |  142.04 |    0.00 |    0.00 |     0 | 0.00 || -2.69158 0.45758 2.12817 -9.48434 -29.59505 28.77891
  23 |  8052 | -2.05 |  873.80 |     0 |     0 |     0 |  111.74 |    0.00 |    0.00 |     0 | 0.00 || 0.17467 0.26184 -2.72630 -1.23606 35.03151 11.16313
  24 |  8034 | -2.35 |  934.40 |     0 |     0 |     0 |  268.13 |    0.00 |    0.00 |     0 | 0.00 || -0.58309 -0.24555 2.84247 42.33622 43.16010 43.15271
  25 |  8024 | -2.67 | 1071.60 |     0 |     0 |     0 |  302.63 |    0.00 |    0.00 |     0 | 0.00 || -2.51115 -0.19362 -1.19571 21.98346 66.41285 46.74166
  26 |  8016 | -2.51 |  971.00 |     0 |     0 |     0 |  294.20 |    0.00 |    0.00 |     0 | 0.00 || 1.61763 0.20233 -2.41604 22.34605 41.08704 -26.64197
  27 |  8006 | -3.13 | 1147.90 |     0 |     0 |     0 |   10.44 |    0.00 |    0.00 |     0 | 0.00 || -0.18807 0.86760 -0.90402 -8.88555 17.46759 23.16963
  28 |  7982 | -2.42 |  932.60 |     0 |     0 |     0 |   28.19 |    0.00 |    0.00 |     0 | 0.00 || 2.68307 -0.74114 -0.61567 5.97644 83.98254 23.14649
  29 |  7964 | -2.75 | 1046.90 |     0 |     0 |     0 |  172.37 |    0.00 |    0.00 |     0 | 0.00 || 2.05010 -0.71692 -2.86772 56.02058 12.22455 14.35715
  30 |  7950 | -3.75 | 1215.50 |     0 |     0 |     0 |  125.52 |    0.00 |    0.00 |     0 | 0.00 || 0.02171 -0.15318 -0.67986 -46.38271 4.83464 21.86802
  31 |  7946 | -2.94 |  917.80 |     0 |     0 |     0 |  362.80 |    0.00 |    0.00 |     0 | 0.00 || 0.70257 0.65514 -2.52666 -9.76629 62.36824 -16.40430
  32 |  7940 | -2.52 |  922.00 |     0 |     0 |     0 |  -58.72 |    0.00 |    0.00 |     0 | 0.00 || 0.74699 0.78461 0.29830 17.97249 25.55719 6.25596
  33 |  7936 | -3.09 | 1058.50 |     0 |     0 |     0 |  -14.70 |    0.00 |    0.00 |     0 | 0.00 || 1.27441 0.52924 2.84255 3.15284 57.09412 -0.89196
  34 |  7934 | -2.84 | 1127.40 |     0 |     0 |     0 |  124.31 |    0.00 |    0.00 |     0 | 0.00 || -0.05477 -0.80572 -3.00591 11.28891 71.08984 12.49046
  35 |  7900 | -3.47 | 1108.20 |     0 |     0 |     0 |  253.42 |    0.00 |    0.00 |     0 | 0.00 || 2.65048 -0.26997 -2.56248 54.46224 18.19737 9.62250
  36 |  7896 | -2.20 |  910.70 |     0 |     0 |     0 |  147.59 |    0.00 |    0.00 |     0 | 0.00 || 1.89574 1.01553 2.93211 -15.63293 40.94199 5.79387
  37 |  7892 | -2.59 |  935.40 |     0 |     0 |     0 |  391.33 |    0.00 |    0.00 |     0 | 0.00 || 0.40524 0.95631 2.83745 26.72200 62.88175 -9.87571
  38 |  7888 | -2.76 |  939.10 |     0 |     0 |     0 |  262.14 |    0.00 |    0.00 |     0 | 0.00 || -1.83128 -0.15862 2.89068 11.57647 29.97911 39.18058
  39 |  7882 | -2.48 |  994.30 |     0 |     0 |     0 |  417.49 |    0.00 |    0.00 |     0 | 0.00 || 2.77799 0.99770 -0.95475 40.50679 47.96087 -14.46003
  40 |  7866 | -2.82 |  998.20 |     0 |     0 |     0 | -131.60 |    0.00 |    0.00 |     0 | 0.00 || 3.11982 0.15309 -3.04363 20.77215 16.03648 26.01017
  41 |  7848 | -3.24 | 1276.40 |     0 |     0 |     0 | -109.06 |    0.00 |    0.00 |     0 | 0.00 || -0.75392 0.91787 2.45102 20.28621 31.50118 19.01457
  42 |  7842 | -3.14 | 1213.70 |     0 |     0 |     0 | -170.18 |    0.00 |    0.00 |     0 | 0.00 || 2.47602 -0.25023 2.46762 0.91787 12.05771 17.82782
  43 |  7812 | -2.75 | 1064.80 |     0 |     0 |     0 |  -81.69 |    0.00 |    0.00 |     0 | 0.00 || -2.70758 0.63431 -2.31122 39.62169 -6.55196 29.94722
  44 |  7804 | -2.77 | 1098.10 |     0 |     0 |     0 |  381.55 |    0.00 |    0.00 |     0 | 0.00 || -1.65599 -1.17862 -2.53647 -8.58610 19.44208 29.06236
  45 |  7798 | -3.37 |  983.40 |     0 |     0 |     0 |  -30.19 |    0.00 |    0.00 |     0 | 0.00 || -1.84163 0.63428 -2.02944 4.03898 42.29163 45.09712
  46 |  7770 | -2.49 |  943.60 |     0 |     0 |     0 |  -61.50 |    0.00 |    0.00 |     0 | 0.00 || -0.65728 0.00329 1.05887 20.78115 22.45095 53.12778
  47 |  7754 | -2.72 | 1077.20 |     0 |     0 |     0 |   77.31 |    0.00 |    0.00 |     0 | 0.00 || 1.31904 -0.92214 3.09321 59.30426 35.83267 11.88798
  48 |  7748 | -2.88 |  983.10 |     0 |     0 |     0 |  193.68 |    0.00 |    0.00 |     0 | 0.00 || -0.82776 0.37615 1.13710 13.35697 -26.79836 40.50410
  49 |  7742 | -2.92 | 1018.50 |     0 |     0 |     0 |  223.03 |    0.00 |    0.00 |     0 | 0.00 || 1.57913 1.19628 0.34087 42.51023 44.84709 -16.78148
  50 |  7724 | -2.78 |  985.50 |     0 |     0 |     0 |  319.40 |    0.00 |    0.00 |     0 | 0.00 || 1.60614 0.21285 0.31716 -23.66569 23.64429 -14.07661
  51 |  7722 | -2.89 |  982.00 |     0 |     0 |     0 |  173.18 |    0.00 |    0.00 |     0 | 0.00 || -0.53145 0.13926 2.39516 53.79120 35.82485 48.57718
  52 |  7714 | -2.48 | 1061.30 |     0 |     0 |     0 |   79.81 |    0.00 |    0.00 |     0 | 0.00 || -1.16154 -0.11487 -0.94128 9.43429 25.44267 61.45675
  53 |  7710 | -2.53 |  904.10 |     0 |     0 |     0 |   11.84 |    0.00 |    0.00 |     0 | 0.00 || -2.71173 -0.66663 -0.28672 6.08446 70.70784 54.69971
  54 |  7710 | -2.55 |  935.20 |     0 |     0 |     0 |  217.94 |    0.00 |    0.00 |     0 | 0.00 || -2.66550 0.70228 -0.31650 -26.02612 64.18955 18.02365
  55 |  7704 | -2.37 |  925.10 |     0 |     0 |     0 |  188.74 |    0.00 |    0.00 |     0 | 0.00 || 2.73875 0.09514 0.43013 -34.86644 57.52754 -4.10324
  56 |  7684 | -3.15 | 1057.60 |     0 |     0 |     0 |   11.84 |    0.00 |    0.00 |     0 | 0.00 || -1.65033 0.81141 2.94447 57.18575 17.72733 38.03278
  57 |  7664 | -2.93 |  992.10 |     0 |     0 |     0 |  -20.56 |    0.00 |    0.00 |     0 | 0.00 || 2.91852 -1.34753 -0.06788 -2.26903 74.75165 47.63432
  58 |  7648 | -2.62 |  894.10 |     0 |     0 |     0 |  162.22 |    0.00 |    0.00 |     0 | 0.00 || -0.15941 -0.95149 -2.06835 -20.11510 62.93875 18.32770
  59 |  7626 | -3.49 | 1163.10 |     0 |     0 |     0 |   46.22 |    0.00 |    0.00 |     0 | 0.00 || 0.64446 -0.64973 -1.27267 -30.25872 14.39562 13.76232
  60 |  7620 | -2.56 |  882.80 |     0 |     0 |     0 |  126.36 |    0.00 |    0.00 |     0 | 0.00 || 1.64221 -0.05220 -0.77061 -11.60166 12.42617 -14.46732
  61 |  7614 | -3.38 | 1138.80 |     0 |     0 |     0 |   35.14 |    0.00 |    0.00 |     0 | 0.00 || -2.58457 0.48086 -0.53897 2.76123 35.51691 27.03321
  62 |  7606 | -2.45 |  992.70 |     0 |     0 |     0 |  280.30 |    0.00 |    0.00 |     0 | 0.00 || -0.64707 -0.02742 -1.53906 -20.73686 51.07648 24.60496
  63 |  7554 | -3.24 | 1178.90 |     0 |     0 |     0 |  175.12 |    0.00 |    0.00 |     0 | 0.00 || 1.68152 0.14417 0.88969 17.87647 19.03817 -7.76085
  64 |  7552 | -2.38 |  914.30 |     0 |     0 |     0 |  366.94 |    0.00 |    0.00 |     0 | 0.00 || -2.98648 0.20086 -2.62361 52.86680 6.49064 14.67598
  65 |  7544 | -2.50 |  992.20 |     0 |     0 |     0 |  214.90 |    0.00 |    0.00 |     0 | 0.00 || 0.24976 -0.43630 2.62093 52.38918 51.69607 30.91888
  66 |  7532 | -2.67 |  946.60 |     0 |     0 |     0 |  173.33 |    0.00 |    0.00 |     0 | 0.00 || -3.04478 0.33215 1.05991 -9.23715 30.32837 24.62742
  67 |  7518 | -2.10 |  870.50 |     0 |     0 |     0 |   11.43 |    0.00 |    0.00 |     0 | 0.00 || 0.56123 -0.67577 0.32585 14.59684 -16.67404 23.89123
  68 |  7516 | -2.92 | 1105.30 |     0 |     0 |     0 |  101.62 |    0.00 |    0.00 |     0 | 0.00 || 1.25127 -0.51170 -0.32059 -21.86672 36.87743 -19.84899
  69 |  7516 | -2.73 |  953.80 |     0 |     0 |     0 |  -62.98 |    0.00 |    0.00 |     0 | 0.00 || 0.92835 0.18801 0.50811 6.47520 20.67091 9.01081
  70 |  7514 | -2.71 | 1025.20 |     0 |     0 |     0 |   12.28 |    0.00 |    0.00 |     0 | 0.00 || -0.26837 -0.19746 -1.15817 -12.86875 33.50682 21.42543
  71 |  7514 | -2.89 | 1025.60 |     0 |     0 |     0 |   29.95 |    0.00 |    0.00 |     0 | 0.00 || -2.95046 -1.05134 -2.26486 12.60743 10.79806 23.14042
  72 |  7514 | -2.95 | 1070.40 |     0 |     0 |     0 |  151.51 |    0.00 |    0.00 |     0 | 0.00 || 3.13131 -1.16833 -0.36233 3.77594 76.89558 44.04366
  73 |  7510 | -3.00 | 1122.60 |     0 |     0 |     0 |  138.04 |    0.00 |    0.00 |     0 | 0.00 || -1.72812 0.42681 -2.51792 31.29656 10.70062 43.47347
  74 |  7508 | -2.85 | 1032.20 |     0 |     0 |     0 | -184.53 |    0.00 |    0.00 |     0 | 0.00 || 3.10801 -0.39949 -0.15244 0.75850 81.15177 36.29615
  75 |  7504 | -2.72 | 1003.40 |     0 |     0 |     0 |   25.28 |    0.00 |    0.00 |     0 | 0.00 || 3.06276 -0.33981 0.98045 -10.11678 30.86280 31.89258
  76 |  7476 | -2.94 | 1019.60 |     0 |     0 |     0 |  458.53 |    0.00 |    0.00 |     0 | 0.00 || 1.87851 0.21576 -1.70258 17.81394 42.99988 -28.67665
  77 |  7468 | -3.13 |  908.70 |     0 |     0 |     0 |   70.39 |    0.00 |    0.00 |     0 | 0.00 || -1.49530 -0.45297 -0.75380 26.86023 16.63287 64.62785
  78 |  7460 | -2.88 |  931.30 |     0 |     0 |     0 |  433.81 |    0.00 |    0.00 |     0 | 0.00 || -1.60810 0.83031 -2.42020 33.08312 60.04646 15.64601
  79 |  7446 | -3.07 |  997.10 |     0 |     0 |     0 |  336.33 |    0.00 |    0.00 |     0 | 0.00 || -1.05828 0.21808 -0.95117 3.09872 36.47824 46.37743
  80 |  7438 | -3.09 |  978.60 |     0 |     0 |     0 |  -95.75 |    0.00 |    0.00 |     0 | 0.00 || -1.37617 -0.76856 -1.93427 -18.59987 14.34883 73.36278
  81 |  7420 | -2.43 |  904.40 |     0 |     0 |     0 |   62.34 |    0.00 |    0.00 |     0 | 0.00 || -0.39344 -0.64156 -3.12234 18.63777 66.15655 19.86812
  82 |  7418 | -2.45 |  911.10 |     0 |     0 |     0 |  144.19 |    0.00 |    0.00 |     0 | 0.00 || 1.52936 -0.90721 -0.31942 -6.94368 38.53145 13.87276
  83 |  7394 | -2.95 |  933.60 |     0 |     0 |     0 |  168.66 |    0.00 |    0.00 |     0 | 0.00 || 0.78962 -0.16862 0.46685 3.88680 10.06154 -18.89350
  84 |  7386 | -3.34 |  984.50 |     0 |     0 |     0 |   96.54 |    0.00 |    0.00 |     0 | 0.00 || 0.18827 0.35281 -1.22508 -46.69280 31.80262 1.10628
  85 |  7370 | -2.86 |  850.80 |     0 |     0 |     0 |  244.22 |    0.00 |    0.00 |     0 | 0.00 || -1.20420 -0.00867 2.89661 27.42184 50.83401 36.52792
  86 |  7368 | -2.50 |  962.30 |     0 |     0 |     0 |  299.19 |    0.00 |    0.00 |     0 | 0.00 || -1.80812 -0.21968 1.95177 -1.30823 34.67818 41.58626
  87 |  7362 | -2.82 |  876.30 |     0 |     0 |     0 |  206.34 |    0.00 |    0.00 |     0 | 0.00 || -0.53020 -0.59112 -0.65087 8.11074 9.17041 51.20033
  88 |  7360 | -2.99 |  987.10 |     0 |     0 |     0 | -150.87 |    0.00 |    0.00 |     0 | 0.00 || 2.36124 0.03374 0.36730 -33.92405 55.06916 -5.13327
  89 |  7348 | -3.50 | 1151.60 |     0 |     0 |     0 |   63.65 |    0.00 |    0.00 |     0 | 0.00 || 0.20476 -0.38744 2.03617 48.72025 39.82351 2.18790
  90 |  7344 | -2.53 |  992.70 |     0 |     0 |     0 |    9.21 |    0.00 |    0.00 |     0 | 0.00 || 2.65806 0.38406 3.08033 2.64491 12.66263 15.72977
  91 |  7330 | -2.97 | 1031.50 |     0 |     0 |     0 |   11.23 |    0.00 |    0.00 |     0 | 0.00 || 0.64368 -0.18719 1.33946 34.50558 16.83050 -14.65697
  92 |  7328 | -2.97 |  981.80 |     0 |     0 |     0 |  146.05 |    0.00 |    0.00 |     0 | 0.00 || 2.99654 0.01416 2.24114 -17.15284 -28.76167 14.43793
  93 |  7326 | -2.99 | 1022.50 |     0 |     0 |     0 |  102.50 |    0.00 |    0.00 |     0 | 0.00 || 2.94782 0.93297 -1.38133 36.19056 8.83311 0.91157
  94 |  7316 | -2.70 |  945.80 |     0 |     0 |     0 |  -27.39 |    0.00 |    0.00 |     0 | 0.00 || -1.09413 0.41806 -1.26505 -40.10526 34.96592 42.33663
  95 |  7316 | -2.87 |  922.90 |     0 |     0 |     0 |  456.50 |    0.00 |    0.00 |     0 | 0.00 || 0.99061 1.08731 2.27472 7.99216 66.73045 -18.54118
  96 |  7316 | -2.74 |  958.30 |     0 |     0 |     0 |  265.67 |    0.00 |    0.00 |     0 | 0.00 || -0.13328 -0.70261 2.68597 3.81430 49.05421 30.00696
  97 |  7300 | -2.85 | 1131.60 |     0 |     0 |     0 |  153.51 |    0.00 |    0.00 |     0 | 0.00 || -1.77361 -0.30660 1.76640 10.85623 31.42741 41.32531
  98 |  7296 | -3.02 |  989.00 |     0 |     0 |     0 |  415.14 |    0.00 |    0.00 |     0 | 0.00 || 0.92685 1.25276 -1.20674 -0.64645 10.17576 -17.74072
  99 |  7292 | -3.23 | 1005.50 |     0 |     0 |     0 |  371.83 |    0.00 |    0.00 |     0 | 0.00 || 2.98101 -0.57700 1.78221 -19.54991 16.00976 5.24857
 100 |  7274 | -2.57 |  911.60 |     0 |     0 |     0 |  245.77 |    0.00 |    0.00 |     0 | 0.00 || 0.36282 -0.23026 1.84717 37.68688 -6.78919 8.54373
 101 |  7272 | -3.04 |  879.50 |     0 |     0 |     0 | -209.32 |    0.00 |    0.00 |     0 | 0.00 || 1.00437 0.82135 -1.91409 -17.50486 -7.17880 -10.77202
 102 |  7270 | -2.11 |  769.00 |     0 |     0 |     0 |   38.16 |    0.00 |    0.00 |     0 | 0.00 || 2.36946 0.46919 -1.58119 22.54787 21.82870 17.61347
 103 |  7254 | -2.72 |  875.90 |     0 |     0 |     0 | -101.75 |    0.00 |    0.00 |     0 | 0.00 || -2.63275 0.80129 1.06275 -11.14416 11.31013 30.88027
