*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1B6C_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1B6C/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1B6C_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 15058 | -3.18 | 2300.70 |     0 |     0 |     0 |  395.63 |    0.00 |    0.00 |     0 | 0.00 || -1.35369 -0.99870 3.07272 -34.65489 -5.66969 -29.56689
   2 | 13316 | -2.70 | 1711.10 |     0 |     0 |     0 |  358.35 |    0.00 |    0.00 |     0 | 0.00 || 0.66317 -0.46670 1.84317 -54.29812 45.77584 -48.11585
   3 | 13312 | -3.44 | 1745.30 |     0 |     0 |     0 |  168.35 |    0.00 |    0.00 |     0 | 0.00 || 0.08065 1.12206 -0.47282 -8.20404 12.70655 12.22824
   4 | 12826 | -3.35 | 1723.20 |     0 |     0 |     0 |  326.76 |    0.00 |    0.00 |     0 | 0.00 || -1.61281 -0.04573 2.34701 -31.91827 17.69579 -28.16722
   5 | 12720 | -3.10 | 1611.80 |     0 |     0 |     0 |  409.30 |    0.00 |    0.00 |     0 | 0.00 || -0.29925 0.40839 -2.23604 -61.48392 -16.05793 -22.14923
   6 | 12718 | -3.51 | 1884.30 |     0 |     0 |     0 |  314.48 |    0.00 |    0.00 |     0 | 0.00 || 0.48463 -1.01344 -2.31561 -40.15818 -6.02579 -63.62992
   7 | 12320 | -2.87 | 1586.50 |     0 |     0 |     0 |  246.97 |    0.00 |    0.00 |     0 | 0.00 || 1.13901 -1.29306 -2.07556 -30.60338 4.45510 -64.01471
   8 | 12248 | -3.90 | 1733.20 |     0 |     0 |     0 |  493.41 |    0.00 |    0.00 |     0 | 0.00 || -2.90684 -0.61825 0.59343 -37.76652 1.20484 -31.18226
   9 | 12166 | -3.17 | 1561.80 |     0 |     0 |     0 |  275.96 |    0.00 |    0.00 |     0 | 0.00 || 2.90671 -0.34531 -2.51130 -41.07686 6.27091 -15.24266
  10 | 11950 | -3.19 | 1602.80 |     0 |     0 |     0 |  188.84 |    0.00 |    0.00 |     0 | 0.00 || 1.22252 -0.58301 -0.44805 -0.49269 12.25055 -48.07042
  11 | 11930 | -2.51 | 1510.90 |     0 |     0 |     0 |  456.00 |    0.00 |    0.00 |     0 | 0.00 || -2.44691 -0.28492 2.57743 -64.85803 45.58866 -32.55855
  12 | 11750 | -4.08 | 2309.30 |     0 |     0 |     0 |  409.59 |    0.00 |    0.00 |     0 | 0.00 || -1.32010 0.65278 1.07993 -13.36033 33.86086 -7.04199
  13 | 11698 | -3.09 | 1679.30 |     0 |     0 |     0 |  484.66 |    0.00 |    0.00 |     0 | 0.00 || 0.63377 1.33006 2.80093 -30.00216 7.32007 -28.01429
  14 | 11632 | -2.81 | 1566.50 |     0 |     0 |     0 |  358.42 |    0.00 |    0.00 |     0 | 0.00 || -0.86929 0.19125 -2.59838 -70.57684 7.11891 -24.30846
  15 | 11626 | -2.74 | 1580.70 |     0 |     0 |     0 |  486.67 |    0.00 |    0.00 |     0 | 0.00 || -0.45011 0.85901 -2.46587 -64.40358 -6.73807 -4.93158
  16 | 11604 | -2.63 | 1453.70 |     0 |     0 |     0 |  107.15 |    0.00 |    0.00 |     0 | 0.00 || 2.92875 -0.39038 1.50169 -27.44585 44.97704 -63.90382
  17 | 11548 | -2.86 | 1535.90 |     0 |     0 |     0 |  240.64 |    0.00 |    0.00 |     0 | 0.00 || 0.08637 -0.56903 0.39337 -36.67960 16.31211 -18.37097
  18 | 11542 | -3.50 | 1703.80 |     0 |     0 |     0 |  371.83 |    0.00 |    0.00 |     0 | 0.00 || 0.46053 0.82481 -1.49066 -2.29817 1.83068 12.89482
  19 | 11536 | -3.30 | 1633.70 |     0 |     0 |     0 |  340.45 |    0.00 |    0.00 |     0 | 0.00 || 0.99200 -0.42065 2.84905 -71.69996 7.39783 -45.40882
