*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1BUH_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1BUH/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1BUH_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 13338 | -3.11 | 1924.00 |     0 |     0 |     0 |  156.85 |    0.00 |    0.00 |     0 | 0.00 || -0.04114 0.24951 1.67936 21.69834 4.61724 -5.69217
   2 | 13126 | -3.27 | 1796.60 |     0 |     0 |     0 |  208.36 |    0.00 |    0.00 |     0 | 0.00 || 0.99332 0.62676 -2.86449 -9.35860 -1.63379 -12.12170
   3 | 12794 | -2.97 | 1833.70 |     0 |     0 |     0 | -142.24 |    0.00 |    0.00 |     0 | 0.00 || 2.18405 1.22899 1.37869 -21.71686 -6.14386 30.76162
   4 | 12596 | -2.49 | 1450.50 |     0 |     0 |     0 | -113.64 |    0.00 |    0.00 |     0 | 0.00 || 2.23796 0.51993 -1.98978 39.01165 -23.30352 32.60828
   5 | 11956 | -3.20 | 1747.00 |     0 |     0 |     0 |  173.29 |    0.00 |    0.00 |     0 | 0.00 || -1.75011 -0.14603 2.67342 -1.26685 5.92045 25.56140
   6 | 11872 | -3.34 | 1777.00 |     0 |     0 |     0 |    5.74 |    0.00 |    0.00 |     0 | 0.00 || 0.57424 0.37275 1.31368 12.66425 13.77173 -4.52704
   7 | 11722 | -4.26 | 1929.50 |     0 |     0 |     0 |  -58.61 |    0.00 |    0.00 |     0 | 0.00 || 1.96657 0.24419 -0.90786 37.29283 6.99307 23.93864
   8 | 11722 | -2.94 | 1458.50 |     0 |     0 |     0 |  248.28 |    0.00 |    0.00 |     0 | 0.00 || 1.95428 -1.15858 -1.04454 38.04430 5.22793 17.81074
   9 | 11652 | -3.47 | 1884.70 |     0 |     0 |     0 |  171.57 |    0.00 |    0.00 |     0 | 0.00 || 0.88426 0.30825 0.26490 16.14600 39.06084 -18.98130
  10 | 11566 | -2.58 | 1479.60 |     0 |     0 |     0 |  145.68 |    0.00 |    0.00 |     0 | 0.00 || 0.13464 0.23179 2.52574 -0.53076 17.88931 -0.88471
