*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1BVN_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1BVN/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1BVN_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 12156 | -2.96 | 1447.80 |     0 |     0 |     0 | -117.69 |    0.00 |    0.00 |     0 | 0.00 || 2.79735 -0.04369 -0.43385 14.25646 41.74458 64.46532
   2 | 12148 | -3.26 | 1711.90 |     0 |     0 |     0 | -313.76 |    0.00 |    0.00 |     0 | 0.00 || 0.33008 1.13683 2.08106 35.02309 19.00601 -8.73458
   3 | 11972 | -2.52 | 1453.70 |     0 |     0 |     0 |  -34.23 |    0.00 |    0.00 |     0 | 0.00 || 2.35667 0.87209 2.78704 26.70380 -48.08268 9.76220
   4 | 11642 | -3.13 | 1692.40 |     0 |     0 |     0 | -269.80 |    0.00 |    0.00 |     0 | 0.00 || 0.41248 -0.85860 2.88296 92.71397 -10.69806 49.17987
   5 | 11520 | -3.05 | 1408.20 |     0 |     0 |     0 | -152.42 |    0.00 |    0.00 |     0 | 0.00 || 2.94151 -0.64154 3.13574 58.36458 -2.88714 88.07028
   6 | 11460 | -3.70 | 1781.90 |     0 |     0 |     0 | -288.82 |    0.00 |    0.00 |     0 | 0.00 || -2.65456 -0.08171 0.62623 9.98999 -13.59217 63.51036
   7 | 11392 | -2.45 | 1363.40 |     0 |     0 |     0 | -101.47 |    0.00 |    0.00 |     0 | 0.00 || -2.65129 0.31209 2.10536 68.70700 -29.10681 47.55641
   8 | 11348 | -3.09 | 1553.20 |     0 |     0 |     0 | -323.42 |    0.00 |    0.00 |     0 | 0.00 || 0.01404 -0.36941 -0.26524 -5.99014 14.31122 29.97114
   9 | 11298 | -2.82 | 1463.40 |     0 |     0 |     0 |  133.51 |    0.00 |    0.00 |     0 | 0.00 || -0.27856 0.51792 -0.03476 7.49585 15.43940 -13.69756
  10 | 11250 | -3.02 | 1495.70 |     0 |     0 |     0 | -117.20 |    0.00 |    0.00 |     0 | 0.00 || 0.11041 -0.43810 -0.33894 -12.55242 18.11287 11.97969
  11 | 11110 | -2.58 | 1294.80 |     0 |     0 |     0 |   52.29 |    0.00 |    0.00 |     0 | 0.00 || 1.95219 -0.88179 1.15063 -14.67747 28.64407 59.89075
  12 | 11096 | -3.18 | 1611.80 |     0 |     0 |     0 | -109.76 |    0.00 |    0.00 |     0 | 0.00 || -1.72976 1.09685 1.60150 75.71855 -21.26670 13.06760
  13 | 11084 | -3.01 | 1443.10 |     0 |     0 |     0 | -186.05 |    0.00 |    0.00 |     0 | 0.00 || -0.92315 1.14612 -1.38387 12.01133 15.32979 3.69240
  14 | 10956 | -3.13 | 1699.50 |     0 |     0 |     0 | -158.35 |    0.00 |    0.00 |     0 | 0.00 || 0.19789 -0.42837 1.38256 26.98171 -37.42895 10.32084
  15 | 10664 | -2.44 | 1223.20 |     0 |     0 |     0 |  183.09 |    0.00 |    0.00 |     0 | 0.00 || -2.15267 0.48042 1.95942 45.21050 -42.40199 70.26807
