*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1CBW_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1CBW/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1CBW_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 10952 | -2.62 | 1352.80 |     0 |     0 |     0 | -303.03 |    0.00 |    0.00 |     0 | 0.00 || 0.14303 -0.76830 2.55018 -20.79833 -47.42306 -2.31365
   2 | 10458 | -3.23 | 1342.10 |     0 |     0 |     0 | -169.33 |    0.00 |    0.00 |     0 | 0.00 || 1.00819 0.37108 -2.49515 2.63841 -48.02188 25.56183
   3 | 10362 | -3.24 | 1406.80 |     0 |     0 |     0 |  -58.09 |    0.00 |    0.00 |     0 | 0.00 || 0.44746 -1.15366 -1.37036 27.32643 -22.94067 6.82362
   4 |  9898 | -3.38 | 1234.10 |     0 |     0 |     0 |   92.81 |    0.00 |    0.00 |     0 | 0.00 || 1.59741 -0.83405 1.36548 -13.01643 -1.10428 15.66403
   5 |  9894 | -3.27 | 1378.40 |     0 |     0 |     0 |  -84.40 |    0.00 |    0.00 |     0 | 0.00 || -1.20396 0.32377 -0.83199 1.81909 -40.51586 -18.56762
   6 |  9736 | -2.71 | 1205.40 |     0 |     0 |     0 |   72.07 |    0.00 |    0.00 |     0 | 0.00 || 0.08894 -1.10916 -1.92713 56.34063 -42.24525 -15.47503
   7 |  9602 | -2.00 | 1081.20 |     0 |     0 |     0 |  123.07 |    0.00 |    0.00 |     0 | 0.00 || 2.69525 -0.20918 -2.93335 -33.88379 -32.16014 0.13658
   8 |  9556 | -2.91 | 1265.30 |     0 |     0 |     0 |   36.65 |    0.00 |    0.00 |     0 | 0.00 || -0.84460 -0.56911 -1.72177 -0.58951 -21.85108 -19.53159
   9 |  9484 | -4.18 | 1445.70 |     0 |     0 |     0 |  368.52 |    0.00 |    0.00 |     0 | 0.00 || 2.99519 0.35903 0.88769 39.04607 -54.06158 40.45731
  10 |  9470 | -3.68 | 1567.90 |     0 |     0 |     0 |  352.41 |    0.00 |    0.00 |     0 | 0.00 || -0.20473 0.09867 1.42931 -3.38915 -34.94920 6.25843
