*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1DE4_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1DE4/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1DE4_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 18194 | -3.75 | 2741.10 |     0 |     0 |     0 |  189.08 |    0.00 |    0.00 |     0 | 0.00 || 1.65356 -0.80827 -0.58363 94.54530 387.70728 305.85754
   2 | 17698 | -3.53 | 2563.50 |     0 |     0 |     0 |  423.64 |    0.00 |    0.00 |     0 | 0.00 || 0.87181 -0.95997 1.52851 -94.95575 -160.81223 243.91876
   3 | 17560 | -4.76 | 3250.00 |     0 |     0 |     0 |  448.12 |    0.00 |    0.00 |     0 | 0.00 || 0.58609 -0.78316 -1.76850 229.67528 318.64386 171.91409
   4 | 16662 | -3.19 | 2312.30 |     0 |     0 |     0 |  344.75 |    0.00 |    0.00 |     0 | 0.00 || -2.34635 -1.01581 2.79288 -44.67708 269.46375 481.81998
   5 | 16090 | -3.21 | 2354.30 |     0 |     0 |     0 |  463.18 |    0.00 |    0.00 |     0 | 0.00 || -0.22259 0.31804 1.47201 208.66956 68.68652 -23.91544
   6 | 15764 | -2.65 | 1982.60 |     0 |     0 |     0 |  488.39 |    0.00 |    0.00 |     0 | 0.00 || 1.21335 1.36860 3.06295 -30.74971 -124.64351 77.72066
   7 | 15710 | -3.15 | 2282.90 |     0 |     0 |     0 |  378.13 |    0.00 |    0.00 |     0 | 0.00 || -1.27663 -0.67197 -0.89404 -154.21060 -44.55813 333.07855
   8 | 15606 | -4.76 | 2427.20 |     0 |     0 |     0 |  489.17 |    0.00 |    0.00 |     0 | 0.00 || -2.91857 0.04909 -1.82453 103.95733 232.81389 482.68045
   9 | 15554 | -2.84 | 1956.90 |     0 |     0 |     0 |  284.42 |    0.00 |    0.00 |     0 | 0.00 || 1.45780 0.26411 -2.08012 399.19370 -2.83326 153.83185
  10 | 15546 | -3.35 | 2135.90 |     0 |     0 |     0 |  482.29 |    0.00 |    0.00 |     0 | 0.00 || 2.94303 0.67952 0.40493 -219.20158 19.46576 362.37445
  11 | 15534 | -3.79 | 2922.50 |     0 |     0 |     0 |  153.92 |    0.00 |    0.00 |     0 | 0.00 || 0.00067 -0.61006 1.26900 21.54575 -156.11725 95.47433
  12 | 15518 | -2.56 | 1829.90 |     0 |     0 |     0 |  451.75 |    0.00 |    0.00 |     0 | 0.00 || 2.48442 1.11100 1.84947 -36.09497 -175.08034 182.68820
  13 | 15308 | -3.34 | 2104.50 |     0 |     0 |     0 |  251.75 |    0.00 |    0.00 |     0 | 0.00 || -0.75588 0.96556 -0.38003 38.84888 -127.32182 26.36435
  14 | 15254 | -2.86 | 1987.00 |     0 |     0 |     0 |  423.61 |    0.00 |    0.00 |     0 | 0.00 || 0.54058 -0.97082 0.15235 -215.91689 109.59502 223.86456
  15 | 15250 | -4.40 | 2454.40 |     0 |     0 |     0 |  419.01 |    0.00 |    0.00 |     0 | 0.00 || 0.09271 0.36297 -0.24311 21.08551 62.44176 -52.14760
  16 | 15114 | -4.08 | 2664.50 |     0 |     0 |     0 |  444.23 |    0.00 |    0.00 |     0 | 0.00 || -0.47066 -0.16195 0.66507 112.23813 -149.27341 67.57755
  17 | 14836 | -3.79 | 2771.60 |     0 |     0 |     0 |  350.33 |    0.00 |    0.00 |     0 | 0.00 || 2.52979 0.13260 -1.97576 305.38513 155.10942 377.44748
  18 | 14780 | -3.48 | 2144.60 |     0 |     0 |     0 |   77.07 |    0.00 |    0.00 |     0 | 0.00 || 0.95939 -0.75458 0.49793 -247.39555 179.28947 157.00156
  19 | 14776 | -4.10 | 3235.80 |     0 |     0 |     0 |  476.06 |    0.00 |    0.00 |     0 | 0.00 || 0.97171 -0.96256 1.88950 -24.84689 -209.23822 253.82797
  20 | 14774 | -3.02 | 1897.70 |     0 |     0 |     0 |  429.48 |    0.00 |    0.00 |     0 | 0.00 || 2.51866 1.04022 2.75445 171.72604 -177.90134 259.50366
  21 | 14768 | -2.89 | 1901.10 |     0 |     0 |     0 |  415.91 |    0.00 |    0.00 |     0 | 0.00 || 0.07456 0.22569 0.66570 110.05460 25.31326 -56.20769
  22 | 14740 | -3.85 | 2264.30 |     0 |     0 |     0 |  270.57 |    0.00 |    0.00 |     0 | 0.00 || -1.88239 -0.89221 -1.56203 -159.97488 54.91327 455.33353
  23 | 14702 | -2.95 | 1883.70 |     0 |     0 |     0 |  455.49 |    0.00 |    0.00 |     0 | 0.00 || -2.79211 -0.43627 1.76086 163.04128 102.71687 561.14771
  24 | 14592 | -3.68 | 2065.00 |     0 |     0 |     0 |  339.44 |    0.00 |    0.00 |     0 | 0.00 || 1.78135 -0.88982 -1.95437 311.29282 39.77776 338.12436
  25 | 14574 | -2.81 | 1829.70 |     0 |     0 |     0 |  497.88 |    0.00 |    0.00 |     0 | 0.00 || -0.71365 0.41116 2.53635 200.78821 276.01105 40.34868
  26 | 14554 | -3.95 | 2415.90 |     0 |     0 |     0 |  436.63 |    0.00 |    0.00 |     0 | 0.00 || -0.60946 1.23656 -1.41514 -126.53891 -36.56317 71.25964
  27 | 14450 | -3.43 | 1985.50 |     0 |     0 |     0 |  396.51 |    0.00 |    0.00 |     0 | 0.00 || 2.83749 -0.68808 -0.29341 223.33176 207.60083 496.54605
  28 | 14418 | -3.09 | 2194.80 |     0 |     0 |     0 |  224.69 |    0.00 |    0.00 |     0 | 0.00 || -1.28771 -0.25604 -0.47588 -126.66373 -109.98269 308.38354
  29 | 14404 | -3.64 | 2442.80 |     0 |     0 |     0 |  389.66 |    0.00 |    0.00 |     0 | 0.00 || -2.34722 0.54618 2.27440 369.17627 47.74280 355.83698
  30 | 14364 | -3.31 | 2163.70 |     0 |     0 |     0 |  413.02 |    0.00 |    0.00 |     0 | 0.00 || 0.94496 1.13024 0.63419 92.99753 345.43192 61.93918
  31 | 14360 | -3.62 | 2204.50 |     0 |     0 |     0 |  367.20 |    0.00 |    0.00 |     0 | 0.00 || -0.69035 0.94252 -0.14642 92.49672 -116.28270 22.84122
  32 | 14284 | -3.38 | 1782.80 |     0 |     0 |     0 |   64.93 |    0.00 |    0.00 |     0 | 0.00 || 0.44714 -0.88326 -2.85323 318.81653 144.66029 145.00473
