*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1DFJ_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1DFJ/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1DFJ_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 14594 | -2.92 | 1991.60 |     0 |     0 |     0 |  389.09 |    0.00 |    0.00 |     0 | 0.00 || 1.64460 -0.47751 0.57032 -17.53270 4.54307 -4.81856
   2 | 13838 | -3.69 | 2062.00 |     0 |     0 |     0 |  410.54 |    0.00 |    0.00 |     0 | 0.00 || -2.43952 -0.00829 1.52761 -12.17780 9.47882 26.06240
   3 | 12652 | -3.53 | 1817.30 |     0 |     0 |     0 |  234.95 |    0.00 |    0.00 |     0 | 0.00 || -2.16726 -0.46929 -1.99197 29.24857 28.69267 32.10395
   4 | 11998 | -2.90 | 1605.70 |     0 |     0 |     0 |  390.84 |    0.00 |    0.00 |     0 | 0.00 || -2.17790 -0.16319 -2.90613 8.13669 11.90013 24.56839
   5 | 11968 | -3.96 | 2191.40 |     0 |     0 |     0 |  456.43 |    0.00 |    0.00 |     0 | 0.00 || 1.39967 -0.69795 -0.94493 2.06270 52.83730 -3.75071
   6 | 11854 | -2.93 | 1523.10 |     0 |     0 |     0 |  423.14 |    0.00 |    0.00 |     0 | 0.00 || -0.11508 0.83275 -0.54247 -30.97578 13.19868 -2.35983
   7 | 11802 | -3.69 | 1838.00 |     0 |     0 |     0 |  438.69 |    0.00 |    0.00 |     0 | 0.00 || -0.73004 -0.27800 -0.89740 -17.72595 14.47900 17.81680
   8 | 11794 | -3.42 | 1656.10 |     0 |     0 |     0 |  476.44 |    0.00 |    0.00 |     0 | 0.00 || -1.55294 0.50020 -0.36706 -21.50325 2.02594 35.11237
   9 | 11710 | -2.68 | 1528.00 |     0 |     0 |     0 |  482.30 |    0.00 |    0.00 |     0 | 0.00 || 0.99489 1.02245 1.01640 16.50405 45.73605 -12.74681
  10 | 11614 | -2.75 | 1437.20 |     0 |     0 |     0 |  394.37 |    0.00 |    0.00 |     0 | 0.00 || -0.63901 -1.08573 2.50393 22.35407 51.24201 7.50377
  11 | 11580 | -2.42 | 1404.50 |     0 |     0 |     0 |  297.91 |    0.00 |    0.00 |     0 | 0.00 || 0.78523 0.13716 1.71059 61.45842 19.60407 -35.76075
  12 | 11500 | -3.53 | 1625.20 |     0 |     0 |     0 |  309.65 |    0.00 |    0.00 |     0 | 0.00 || -1.87622 0.58302 2.81103 44.47234 -13.89112 33.64419
  13 | 11390 | -2.56 | 1469.00 |     0 |     0 |     0 |  322.70 |    0.00 |    0.00 |     0 | 0.00 || -2.09344 0.81978 2.95333 75.72304 3.68186 0.17792
  14 | 11384 | -2.89 | 1499.90 |     0 |     0 |     0 |  439.18 |    0.00 |    0.00 |     0 | 0.00 || -0.24001 0.82043 3.01322 13.59260 90.54997 -38.24447
  15 | 11366 | -3.03 | 1495.30 |     0 |     0 |     0 |  235.72 |    0.00 |    0.00 |     0 | 0.00 || -2.01471 0.57494 -2.95385 28.42067 9.98863 8.75384
  16 | 11268 | -2.96 | 1467.10 |     0 |     0 |     0 |  465.54 |    0.00 |    0.00 |     0 | 0.00 || 0.81936 0.50440 1.61576 47.80289 28.16866 -54.50425
  17 | 11264 | -2.95 | 1614.30 |     0 |     0 |     0 |  458.83 |    0.00 |    0.00 |     0 | 0.00 || 2.52638 -0.28933 2.61007 14.34086 -30.63899 -23.48824
  18 | 11198 | -2.91 | 1274.00 |     0 |     0 |     0 |  494.53 |    0.00 |    0.00 |     0 | 0.00 || 0.21879 -0.19430 1.53132 52.86243 21.86589 -38.40075
  19 | 11176 | -3.64 | 1872.70 |     0 |     0 |     0 |  467.40 |    0.00 |    0.00 |     0 | 0.00 || -1.29202 -0.05018 -1.25829 1.56484 37.66882 31.00243
  20 | 11168 | -3.09 | 1529.10 |     0 |     0 |     0 |  458.95 |    0.00 |    0.00 |     0 | 0.00 || 1.28167 0.23369 1.73828 25.06715 15.74265 -59.69404
