*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1DQJ_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1DQJ/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1DQJ_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 15330 | -3.63 | 2553.00 |     0 |     0 |     0 |  374.98 |    0.00 |    0.00 |     0 | 0.00 || -0.56224 -0.28030 3.10738 125.66484 71.78886 12.15805
   2 | 15242 | -3.13 | 2433.90 |     0 |     0 |     0 |  252.07 |    0.00 |    0.00 |     0 | 0.00 || -1.33765 -0.25394 0.14418 -3.28724 16.45211 26.79641
   3 | 14568 | -4.03 | 2390.50 |     0 |     0 |     0 |  378.56 |    0.00 |    0.00 |     0 | 0.00 || 0.48111 -0.32635 -0.60458 20.62453 96.96848 33.71360
   4 | 14102 | -3.91 | 2358.70 |     0 |     0 |     0 |  344.75 |    0.00 |    0.00 |     0 | 0.00 || 1.67538 -0.97380 0.89047 29.73419 35.63526 87.62153
   5 | 13850 | -3.03 | 1829.30 |     0 |     0 |     0 |  433.38 |    0.00 |    0.00 |     0 | 0.00 || 1.61366 0.47649 -1.76794 118.78817 103.74767 -7.51551
   6 | 13720 | -3.50 | 2135.60 |     0 |     0 |     0 |  348.26 |    0.00 |    0.00 |     0 | 0.00 || -1.70860 -0.67738 -0.69985 9.72241 64.97878 58.57938
   7 | 13340 | -3.31 | 2025.20 |     0 |     0 |     0 |  458.13 |    0.00 |    0.00 |     0 | 0.00 || -1.46808 -0.72004 -1.42025 47.09591 102.46700 91.65091
   8 | 13332 | -2.68 | 1671.60 |     0 |     0 |     0 |  382.34 |    0.00 |    0.00 |     0 | 0.00 || -0.97623 0.00237 -0.94235 22.30910 98.20377 33.78569
   9 | 13238 | -4.15 | 2062.30 |     0 |     0 |     0 |  406.81 |    0.00 |    0.00 |     0 | 0.00 || 2.00470 -1.08742 1.36876 30.05669 31.65160 105.52670
  10 | 13224 | -3.18 | 2049.90 |     0 |     0 |     0 |   34.12 |    0.00 |    0.00 |     0 | 0.00 || -1.65312 0.23973 0.07363 9.94236 34.64202 34.00959
