*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1E4K_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1E4K/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1E4K_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 17552 | -3.87 | 2890.70 |     0 |     0 |     0 |  186.38 |    0.00 |    0.00 |     0 | 0.00 || 1.18881 -0.59388 -0.97974 -56.47224 77.81670 -4.91768
   2 | 17404 | -3.66 | 2656.90 |     0 |     0 |     0 |  189.92 |    0.00 |    0.00 |     0 | 0.00 || 0.28151 0.00259 -0.35192 -18.62546 7.17081 15.63900
   3 | 16274 | -4.24 | 2883.10 |     0 |     0 |     0 |   36.76 |    0.00 |    0.00 |     0 | 0.00 || -0.34539 -0.64342 -2.01636 33.11089 86.46129 92.05486
   4 | 15360 | -3.79 | 2718.90 |     0 |     0 |     0 |  454.53 |    0.00 |    0.00 |     0 | 0.00 || 2.48834 0.08597 2.85168 83.98775 -43.98473 -49.74177
   5 | 15240 | -2.72 | 1879.20 |     0 |     0 |     0 |  380.08 |    0.00 |    0.00 |     0 | 0.00 || 0.66734 0.96317 -1.22803 -18.29611 3.72445 -23.61051
   6 | 15152 | -3.54 | 2652.40 |     0 |     0 |     0 |  135.67 |    0.00 |    0.00 |     0 | 0.00 || -3.10666 -0.16683 -1.36110 111.21822 127.10711 0.54945
   7 | 15060 | -2.82 | 1937.90 |     0 |     0 |     0 |  166.88 |    0.00 |    0.00 |     0 | 0.00 || 2.62716 1.53475 2.21771 -32.35431 32.78591 -73.77814
   8 | 14966 | -3.83 | 2353.20 |     0 |     0 |     0 |   39.36 |    0.00 |    0.00 |     0 | 0.00 || 0.31361 0.79250 2.35360 157.48636 51.49260 -43.09371
   9 | 14882 | -4.18 | 2266.50 |     0 |     0 |     0 |  498.35 |    0.00 |    0.00 |     0 | 0.00 || -2.35752 -0.30578 -2.66298 131.66875 -16.73029 42.32618
  10 | 14726 | -4.00 | 2281.50 |     0 |     0 |     0 |  -94.15 |    0.00 |    0.00 |     0 | 0.00 || 0.82186 -0.44400 0.14056 2.72097 -14.73744 7.65922
  11 | 14638 | -3.27 | 2269.00 |     0 |     0 |     0 |   59.03 |    0.00 |    0.00 |     0 | 0.00 || -3.13989 -1.12714 -0.87920 93.79610 107.29154 71.12634
  12 | 14570 | -3.72 | 2215.90 |     0 |     0 |     0 |  285.15 |    0.00 |    0.00 |     0 | 0.00 || 2.62041 1.18218 0.28111 50.51611 110.03868 -84.77305
  13 | 14544 | -3.00 | 2073.30 |     0 |     0 |     0 |  499.93 |    0.00 |    0.00 |     0 | 0.00 || -2.95271 0.72096 0.94255 -9.60845 34.14091 -16.18105
  14 | 14522 | -3.56 | 1885.60 |     0 |     0 |     0 |  459.80 |    0.00 |    0.00 |     0 | 0.00 || -0.08865 1.39199 2.55958 140.96518 63.78168 -44.64695
  15 | 14320 | -3.18 | 2367.50 |     0 |     0 |     0 |  422.83 |    0.00 |    0.00 |     0 | 0.00 || -2.80884 0.04698 -2.45622 156.22043 37.68510 10.09401
  16 | 14252 | -3.39 | 2520.30 |     0 |     0 |     0 |  120.32 |    0.00 |    0.00 |     0 | 0.00 || 2.68571 -0.04492 -1.46358 112.16861 107.42360 -19.85139
  17 | 14178 | -3.46 | 1887.90 |     0 |     0 |     0 |  304.27 |    0.00 |    0.00 |     0 | 0.00 || -2.08950 0.28615 -1.07406 84.86507 100.10033 45.29657
  18 | 14166 | -3.89 | 2212.30 |     0 |     0 |     0 |   68.20 |    0.00 |    0.00 |     0 | 0.00 || 0.93097 -0.94975 0.44724 24.68293 -22.05609 34.14630
  19 | 14106 | -4.04 | 2535.90 |     0 |     0 |     0 |   73.13 |    0.00 |    0.00 |     0 | 0.00 || 0.14364 -0.24717 -0.90007 -27.54567 49.72392 52.40274
  20 | 14080 | -3.82 | 2165.50 |     0 |     0 |     0 |  435.21 |    0.00 |    0.00 |     0 | 0.00 || 0.49603 0.81201 1.20338 86.93828 -48.36526 -55.04902
  21 | 14072 | -3.31 | 1917.20 |     0 |     0 |     0 | -136.18 |    0.00 |    0.00 |     0 | 0.00 || -2.58232 0.62617 2.13070 11.71105 -54.32690 -46.67420
  22 | 14060 | -3.40 | 2153.80 |     0 |     0 |     0 |  332.78 |    0.00 |    0.00 |     0 | 0.00 || 3.09689 -1.11291 1.35826 -6.55753 18.68644 70.51883
  23 | 14036 | -3.96 | 2511.50 |     0 |     0 |     0 |  226.37 |    0.00 |    0.00 |     0 | 0.00 || 1.29974 -0.52477 -2.04541 51.56825 153.47440 -18.13766
  24 | 14010 | -2.99 | 1887.20 |     0 |     0 |     0 |  325.74 |    0.00 |    0.00 |     0 | 0.00 || 0.67983 0.98349 -2.18012 -22.84073 80.84885 -47.46103
  25 | 13942 | -3.26 | 2175.60 |     0 |     0 |     0 |  391.42 |    0.00 |    0.00 |     0 | 0.00 || -0.59340 0.60684 -2.90404 116.17450 118.18210 21.93698
  26 | 13886 | -3.34 | 2178.90 |     0 |     0 |     0 |  367.99 |    0.00 |    0.00 |     0 | 0.00 || -2.70816 -0.51230 -2.65694 98.58474 6.89916 35.08794
  27 | 13820 | -4.06 | 2165.00 |     0 |     0 |     0 |  274.42 |    0.00 |    0.00 |     0 | 0.00 || -2.97090 0.53790 -1.05214 115.12094 97.96404 -35.22118
  28 | 13788 | -3.70 | 2397.70 |     0 |     0 |     0 |  317.43 |    0.00 |    0.00 |     0 | 0.00 || -3.12776 -0.71188 -2.97833 99.59293 -32.56711 34.44821
  29 | 13772 | -3.19 | 2008.20 |     0 |     0 |     0 | -285.58 |    0.00 |    0.00 |     0 | 0.00 || 0.53694 -0.47842 2.55479 158.22604 59.08670 44.83324
  30 | 13752 | -4.06 | 2407.00 |     0 |     0 |     0 |  -17.20 |    0.00 |    0.00 |     0 | 0.00 || -2.90611 -1.11461 -1.34439 91.21915 55.61900 57.81435
  31 | 13696 | -3.63 | 1809.10 |     0 |     0 |     0 |  219.81 |    0.00 |    0.00 |     0 | 0.00 || -0.57408 0.69099 -0.61636 -40.10727 67.51001 20.22326
  32 | 13680 | -3.63 | 2211.90 |     0 |     0 |     0 |  352.93 |    0.00 |    0.00 |     0 | 0.00 || -2.37626 -0.74994 3.10184 51.17377 -15.76063 59.99911
  33 | 13622 | -3.31 | 1731.70 |     0 |     0 |     0 |  183.91 |    0.00 |    0.00 |     0 | 0.00 || -1.15138 0.26698 -2.93008 157.09869 55.35036 64.58890
  34 | 13492 | -3.01 | 1911.70 |     0 |     0 |     0 |  303.67 |    0.00 |    0.00 |     0 | 0.00 || -0.32355 -0.32596 1.23844 79.63572 -50.40424 39.72895
