*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1E6E_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1E6E/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1E6E_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 13358 | -3.70 | 2129.20 |     0 |     0 |     0 | -285.81 |    0.00 |    0.00 |     0 | 0.00 || -0.18758 -0.42214 1.25077 74.65348 -11.29279 34.34277
   2 | 13248 | -2.87 | 1847.60 |     0 |     0 |     0 |  396.38 |    0.00 |    0.00 |     0 | 0.00 || -3.05747 0.25356 1.70230 -66.43720 -31.32214 236.02966
   3 | 13038 | -3.20 | 1709.80 |     0 |     0 |     0 |  335.94 |    0.00 |    0.00 |     0 | 0.00 || -1.40457 -0.34709 1.48285 118.26140 24.08265 193.52597
   4 | 13018 | -3.54 | 1892.00 |     0 |     0 |     0 | -214.44 |    0.00 |    0.00 |     0 | 0.00 || -2.33803 1.28035 -1.38800 -69.87740 175.10725 130.72046
   5 | 13012 | -3.06 | 1757.50 |     0 |     0 |     0 |  292.21 |    0.00 |    0.00 |     0 | 0.00 || -0.29137 0.76095 -1.32223 -67.32912 8.29569 34.43741
   6 | 12928 | -2.84 | 1899.80 |     0 |     0 |     0 |  317.48 |    0.00 |    0.00 |     0 | 0.00 || -1.81595 -0.64271 2.99172 -38.79710 178.54333 212.47589
   7 | 12914 | -3.41 | 1875.00 |     0 |     0 |     0 | -193.36 |    0.00 |    0.00 |     0 | 0.00 || -0.47125 -0.18780 0.99643 95.62607 -17.73962 52.24384
   8 | 12868 | -3.24 | 1660.20 |     0 |     0 |     0 |  156.26 |    0.00 |    0.00 |     0 | 0.00 || -0.75605 0.22955 -1.23656 -113.97488 52.57934 78.28217
   9 | 12782 | -2.99 | 1547.00 |     0 |     0 |     0 |  130.57 |    0.00 |    0.00 |     0 | 0.00 || 0.03653 0.08716 -1.30782 -89.35826 46.36023 -4.78835
  10 | 12662 | -3.00 | 1603.40 |     0 |     0 |     0 |  -82.38 |    0.00 |    0.00 |     0 | 0.00 || 0.70369 -0.83754 0.91518 -74.87595 -1.92571 44.04100
  11 | 12624 | -2.93 | 1683.10 |     0 |     0 |     0 |  257.28 |    0.00 |    0.00 |     0 | 0.00 || 2.69021 -0.25487 -0.74355 67.09392 134.53421 200.27823
  12 | 12566 | -4.15 | 1824.80 |     0 |     0 |     0 |   75.76 |    0.00 |    0.00 |     0 | 0.00 || 0.14645 0.50931 -2.33699 -63.70910 41.94996 -14.50852
  13 | 12492 | -2.98 | 1665.00 |     0 |     0 |     0 |  276.00 |    0.00 |    0.00 |     0 | 0.00 || -1.94011 -1.34654 0.07404 146.77609 -24.36789 159.87851
  14 | 12442 | -3.58 | 2496.30 |     0 |     0 |     0 | -164.29 |    0.00 |    0.00 |     0 | 0.00 || -3.13710 1.09386 3.11030 123.76051 3.54072 144.86554
  15 | 12344 | -3.42 | 1707.70 |     0 |     0 |     0 |  172.00 |    0.00 |    0.00 |     0 | 0.00 || -0.66595 0.51832 -0.58494 -61.22226 -26.83214 62.46439
  16 | 12264 | -2.59 | 1452.90 |     0 |     0 |     0 |   26.09 |    0.00 |    0.00 |     0 | 0.00 || 1.39389 1.34353 -2.80838 -24.48918 -47.47810 69.80182
  17 | 12248 | -3.75 | 1497.90 |     0 |     0 |     0 |  369.22 |    0.00 |    0.00 |     0 | 0.00 || 1.26540 -0.36937 2.26551 -40.34784 -68.19833 28.68286
  18 | 12224 | -3.79 | 2666.00 |     0 |     0 |     0 | -148.00 |    0.00 |    0.00 |     0 | 0.00 || 1.93205 0.76419 1.03441 -120.32797 153.34789 73.43237
  19 | 12040 | -4.43 | 1765.80 |     0 |     0 |     0 |   71.30 |    0.00 |    0.00 |     0 | 0.00 || -1.62143 0.13092 -0.56122 -91.88330 8.59472 196.39142
  20 | 12028 | -3.34 | 1818.10 |     0 |     0 |     0 |  321.50 |    0.00 |    0.00 |     0 | 0.00 || 2.88962 -0.23787 -2.69089 40.99369 -50.61166 226.46487
  21 | 12028 | -3.74 | 2064.90 |     0 |     0 |     0 |  162.17 |    0.00 |    0.00 |     0 | 0.00 || 0.54537 0.94191 2.26547 -70.32909 119.95767 14.91797
  22 | 12022 | -2.94 | 1732.10 |     0 |     0 |     0 |   62.23 |    0.00 |    0.00 |     0 | 0.00 || 2.00117 -0.08754 -2.79290 67.20379 -82.37551 102.45032
