*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1EAW_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1EAW/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1EAW_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 10490 | -2.98 | 1506.30 |     0 |     0 |     0 |  -15.45 |    0.00 |    0.00 |     0 | 0.00 || -2.01102 -0.54782 -2.74824 -7.23009 -25.21189 6.62858
   2 | 10236 | -2.61 | 1322.50 |     0 |     0 |     0 |  171.26 |    0.00 |    0.00 |     0 | 0.00 || 1.16801 -1.24014 -2.32516 -35.25804 1.54594 -13.69711
   3 |  9916 | -2.60 | 1253.00 |     0 |     0 |     0 |  186.47 |    0.00 |    0.00 |     0 | 0.00 || -2.21969 -0.79754 0.61430 -12.30032 27.06017 5.70900
   4 |  9858 | -3.74 | 1364.30 |     0 |     0 |     0 |  276.04 |    0.00 |    0.00 |     0 | 0.00 || -2.24720 0.13715 -1.90001 24.45051 -15.51653 10.67782
   5 |  9784 | -2.77 | 1166.70 |     0 |     0 |     0 |  325.63 |    0.00 |    0.00 |     0 | 0.00 || -1.26221 0.60785 1.67863 -14.75668 0.87405 -13.16298
   6 |  9738 | -2.95 | 1255.80 |     0 |     0 |     0 |  198.77 |    0.00 |    0.00 |     0 | 0.00 || -0.37204 -0.69621 -0.80739 17.07277 -25.46620 6.06369
   7 |  9710 | -3.11 | 1281.60 |     0 |     0 |     0 |   33.31 |    0.00 |    0.00 |     0 | 0.00 || 2.38476 0.59426 -0.87737 -17.14429 -25.25723 -27.63734
   8 |  9628 | -2.68 | 1219.00 |     0 |     0 |     0 |  153.21 |    0.00 |    0.00 |     0 | 0.00 || -2.34820 -0.20588 -0.11313 -6.65998 14.68382 -35.16958
   9 |  9546 | -2.63 | 1201.60 |     0 |     0 |     0 |  309.14 |    0.00 |    0.00 |     0 | 0.00 || 1.94756 -0.78299 1.64485 5.48240 -1.06352 -20.45478
  10 |  9526 | -3.31 | 1410.20 |     0 |     0 |     0 |  368.76 |    0.00 |    0.00 |     0 | 0.00 || -1.88798 0.02476 -1.19451 25.12389 -3.86859 17.69299
  11 |  9482 | -2.50 | 1207.40 |     0 |     0 |     0 |  123.01 |    0.00 |    0.00 |     0 | 0.00 || 1.18093 -0.51942 2.55054 -6.53714 10.05423 -9.00544
  12 |  9462 | -2.77 | 1247.00 |     0 |     0 |     0 |  163.15 |    0.00 |    0.00 |     0 | 0.00 || 2.61114 -0.53066 -1.37028 -32.77343 -8.01392 -2.83199
  13 |  9334 | -2.47 | 1123.20 |     0 |     0 |     0 |  315.64 |    0.00 |    0.00 |     0 | 0.00 || -2.21722 -0.07826 0.48011 7.40918 28.12157 6.41660
  14 |  9278 | -3.81 | 1645.70 |     0 |     0 |     0 |   93.92 |    0.00 |    0.00 |     0 | 0.00 || 1.22930 0.09396 -1.55172 -28.95553 -3.87612 -4.92688
  15 |  9266 | -2.94 | 1286.80 |     0 |     0 |     0 |  297.41 |    0.00 |    0.00 |     0 | 0.00 || 1.14267 -0.82112 1.66686 23.61429 17.64260 -13.20006
  16 |  9260 | -3.51 | 1400.80 |     0 |     0 |     0 |  311.57 |    0.00 |    0.00 |     0 | 0.00 || -1.19141 -0.58252 -1.02747 29.46610 8.84269 -14.74259
