*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1EER_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1EER/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1EER_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 15740 | -2.94 | 1963.00 |     0 |     0 |     0 |  280.79 |    0.00 |    0.00 |     0 | 0.00 || 3.11378 -0.24068 -2.37053 -34.72925 -25.69633 192.16666
   2 | 15338 | -3.19 | 2118.90 |     0 |     0 |     0 |  151.23 |    0.00 |    0.00 |     0 | 0.00 || 2.36665 1.12239 1.47691 -115.72853 -3.71477 120.65182
   3 | 15086 | -3.52 | 2118.40 |     0 |     0 |     0 |  349.67 |    0.00 |    0.00 |     0 | 0.00 || -1.22474 -1.19669 -2.87858 -21.99355 144.58202 92.76408
   4 | 14934 | -3.27 | 2037.20 |     0 |     0 |     0 |  414.83 |    0.00 |    0.00 |     0 | 0.00 || -1.85851 -0.71037 1.85240 72.13983 81.02481 133.43283
   5 | 14902 | -3.13 | 2105.00 |     0 |     0 |     0 |  204.55 |    0.00 |    0.00 |     0 | 0.00 || -2.85763 0.99225 -1.60083 -36.68743 146.48453 165.77589
   6 | 14760 | -3.35 | 2182.10 |     0 |     0 |     0 |   23.05 |    0.00 |    0.00 |     0 | 0.00 || 3.09125 0.23790 -2.39575 -2.92828 4.53574 201.51578
   7 | 14500 | -3.64 | 2136.00 |     0 |     0 |     0 |   64.98 |    0.00 |    0.00 |     0 | 0.00 || -0.92983 0.47059 -1.66174 -127.97959 -6.55585 78.82236
   8 | 14434 | -2.93 | 1890.40 |     0 |     0 |     0 |   70.91 |    0.00 |    0.00 |     0 | 0.00 || -0.55098 1.42370 -2.43928 -115.31403 41.56256 86.47961
   9 | 14426 | -4.69 | 2569.80 |     0 |     0 |     0 |  467.39 |    0.00 |    0.00 |     0 | 0.00 || -1.82580 -1.12190 -2.62425 -96.60296 102.25064 82.09431
  10 | 14408 | -3.04 | 2271.10 |     0 |     0 |     0 |  -84.89 |    0.00 |    0.00 |     0 | 0.00 || -1.11185 0.73720 -2.81963 -90.44217 120.08641 105.61896
  11 | 14390 | -3.05 | 2135.80 |     0 |     0 |     0 |  -42.34 |    0.00 |    0.00 |     0 | 0.00 || -1.57319 -1.02008 -2.88379 -51.55340 100.71603 75.48418
  12 | 14332 | -3.22 | 2013.50 |     0 |     0 |     0 |  342.96 |    0.00 |    0.00 |     0 | 0.00 || 2.79827 -1.54610 -2.83263 -96.84939 -42.44228 106.08924
  13 | 14270 | -3.40 | 1856.20 |     0 |     0 |     0 |  466.61 |    0.00 |    0.00 |     0 | 0.00 || 0.85717 -0.62807 2.32413 -50.21510 -76.08051 25.86241
  14 | 14116 | -2.92 | 1796.30 |     0 |     0 |     0 |  138.35 |    0.00 |    0.00 |     0 | 0.00 || 0.20256 -0.83566 0.04570 -99.93401 15.85557 24.14342
  15 | 14106 | -3.84 | 2673.70 |     0 |     0 |     0 |  486.00 |    0.00 |    0.00 |     0 | 0.00 || -2.69459 -0.70959 2.41133 -46.10641 106.13756 185.75534
  16 | 14034 | -2.99 | 1918.70 |     0 |     0 |     0 |  189.81 |    0.00 |    0.00 |     0 | 0.00 || 1.32591 1.34288 -0.00105 38.73600 128.61572 120.88321
  17 | 13960 | -3.11 | 2018.90 |     0 |     0 |     0 |  383.32 |    0.00 |    0.00 |     0 | 0.00 || -0.24221 -0.27323 -2.11016 -35.35109 39.86685 -7.16510
  18 | 13944 | -3.46 | 2305.40 |     0 |     0 |     0 | -141.09 |    0.00 |    0.00 |     0 | 0.00 || 1.13906 0.74901 -1.52214 84.03418 6.40622 58.06857
  19 | 13934 | -3.10 | 2058.20 |     0 |     0 |     0 |  153.30 |    0.00 |    0.00 |     0 | 0.00 || -3.06023 -0.05804 -2.10255 -31.75567 -8.52480 201.35669
  20 | 13930 | -3.27 | 2093.90 |     0 |     0 |     0 |  342.98 |    0.00 |    0.00 |     0 | 0.00 || -2.71571 1.00136 -2.55174 50.28275 89.69231 166.56229
  21 | 13902 | -2.90 | 1767.90 |     0 |     0 |     0 |  214.79 |    0.00 |    0.00 |     0 | 0.00 || 1.00293 1.14170 -0.05290 49.91125 106.41508 64.85158
  22 | 13880 | -3.41 | 2087.00 |     0 |     0 |     0 |  -81.55 |    0.00 |    0.00 |     0 | 0.00 || 3.10073 -0.98937 1.88114 -89.27203 114.17807 132.40300
  23 | 13830 | -3.23 | 1846.10 |     0 |     0 |     0 |  256.56 |    0.00 |    0.00 |     0 | 0.00 || -2.00101 -0.84324 -0.60885 -26.65486 -30.48998 103.47578
  24 | 13824 | -3.72 | 2218.00 |     0 |     0 |     0 |  466.00 |    0.00 |    0.00 |     0 | 0.00 || 2.36056 1.07578 -0.12545 -42.00415 89.52999 149.97498
  25 | 13812 | -3.51 | 2254.50 |     0 |     0 |     0 |  410.92 |    0.00 |    0.00 |     0 | 0.00 || -0.33400 -0.94111 -0.49548 -107.11526 -4.50649 39.72690
  26 | 13738 | -2.79 | 1794.50 |     0 |     0 |     0 |  383.28 |    0.00 |    0.00 |     0 | 0.00 || -2.21012 0.28558 1.85557 29.35380 37.43182 189.34903
  27 | 13732 | -3.47 | 1905.60 |     0 |     0 |     0 |  376.95 |    0.00 |    0.00 |     0 | 0.00 || -1.80673 -1.23438 1.94067 69.92877 89.09931 114.78879
  28 | 13636 | -3.61 | 2186.60 |     0 |     0 |     0 |  438.43 |    0.00 |    0.00 |     0 | 0.00 || 0.60052 0.97422 1.82670 -85.77281 77.62227 88.35068
  29 | 13558 | -3.11 | 1896.40 |     0 |     0 |     0 |  387.00 |    0.00 |    0.00 |     0 | 0.00 || 0.87784 0.06922 -0.78349 34.69107 52.22552 60.04095
  30 | 13550 | -3.37 | 1804.30 |     0 |     0 |     0 |  353.33 |    0.00 |    0.00 |     0 | 0.00 || 1.89560 -1.12376 1.57035 -141.53079 52.10464 116.11678
  31 | 13538 | -3.62 | 2052.60 |     0 |     0 |     0 |  287.04 |    0.00 |    0.00 |     0 | 0.00 || -2.79014 0.33069 -2.65884 -13.27362 69.33495 161.46060
  32 | 13536 | -3.18 | 1913.50 |     0 |     0 |     0 |  162.74 |    0.00 |    0.00 |     0 | 0.00 || 1.63117 1.01948 -0.99083 89.79201 58.99599 118.56372
  33 | 13512 | -4.48 | 2960.80 |     0 |     0 |     0 |  199.46 |    0.00 |    0.00 |     0 | 0.00 || -2.68938 0.41395 2.27561 35.98460 26.63042 191.89700
  34 | 13492 | -4.42 | 2688.20 |     0 |     0 |     0 |  153.89 |    0.00 |    0.00 |     0 | 0.00 || 2.88039 0.17929 -1.37792 -8.34670 27.35406 205.94521
  35 | 13346 | -3.15 | 1799.30 |     0 |     0 |     0 |  155.25 |    0.00 |    0.00 |     0 | 0.00 || -2.09111 -0.07109 0.14302 12.08208 -28.51529 177.87616
  36 | 13340 | -2.75 | 1668.70 |     0 |     0 |     0 |  106.44 |    0.00 |    0.00 |     0 | 0.00 || 2.23102 -0.61290 1.06811 -94.03879 141.90765 164.07726
  37 | 13322 | -3.64 | 2300.50 |     0 |     0 |     0 |   94.70 |    0.00 |    0.00 |     0 | 0.00 || 2.53252 -0.44785 1.02791 -77.93107 112.57590 149.47820
  38 | 13270 | -4.36 | 2419.30 |     0 |     0 |     0 |  292.03 |    0.00 |    0.00 |     0 | 0.00 || -1.24896 0.96206 -0.72229 -66.60181 -65.07437 120.88039
  39 | 13258 | -3.47 | 2331.10 |     0 |     0 |     0 |  301.36 |    0.00 |    0.00 |     0 | 0.00 || -3.08710 0.08966 -2.13226 -8.47868 8.38493 203.62628
  40 | 13242 | -3.22 | 2017.70 |     0 |     0 |     0 |  221.67 |    0.00 |    0.00 |     0 | 0.00 || 2.51423 -0.74421 0.21750 -0.95540 121.77058 140.38751
  41 | 13238 | -3.32 | 1694.20 |     0 |     0 |     0 |  495.96 |    0.00 |    0.00 |     0 | 0.00 || -1.17110 -0.56193 -1.53490 -98.33176 37.51587 41.22880
  42 | 13194 | -3.52 | 1956.90 |     0 |     0 |     0 |  496.63 |    0.00 |    0.00 |     0 | 0.00 || 1.49209 0.59957 -0.66201 50.26920 62.09252 103.09497
  43 | 13194 | -3.06 | 1623.50 |     0 |     0 |     0 |  474.07 |    0.00 |    0.00 |     0 | 0.00 || -0.14213 -0.45290 2.36246 44.97332 25.08308 2.90073
