*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1EMV_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1EMV/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1EMV_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 11524 | -3.70 | 1773.50 |     0 |     0 |     0 |  277.14 |    0.00 |    0.00 |     0 | 0.00 || -2.26959 -1.31556 3.10479 -41.55981 19.90454 73.44168
   2 | 11136 | -2.93 | 1487.60 |     0 |     0 |     0 |  429.28 |    0.00 |    0.00 |     0 | 0.00 || -2.13142 0.59464 2.76478 37.00689 14.06888 89.32052
   3 | 10930 | -3.80 | 1520.10 |     0 |     0 |     0 |  490.92 |    0.00 |    0.00 |     0 | 0.00 || 1.68788 -0.46887 1.52079 -51.65189 -11.14220 47.27278
   4 | 10666 | -3.69 | 1694.10 |     0 |     0 |     0 |  469.99 |    0.00 |    0.00 |     0 | 0.00 || 1.87127 -0.52482 -1.04295 42.58225 23.58944 58.95226
   5 | 10476 | -3.04 | 1377.50 |     0 |     0 |     0 |  464.24 |    0.00 |    0.00 |     0 | 0.00 || -3.05759 -0.80368 -0.74015 32.56804 -21.08697 97.66000
   6 | 10470 | -2.90 | 1419.30 |     0 |     0 |     0 |  300.06 |    0.00 |    0.00 |     0 | 0.00 || 2.21166 -0.77723 -2.70053 18.21845 -56.20477 74.70194
   7 | 10408 | -3.55 | 1545.10 |     0 |     0 |     0 |  433.45 |    0.00 |    0.00 |     0 | 0.00 || -1.33985 -0.68635 1.73957 51.91422 1.28260 61.44078
   8 | 10192 | -3.19 | 1491.20 |     0 |     0 |     0 |  372.52 |    0.00 |    0.00 |     0 | 0.00 || 1.04281 -0.95951 -2.00105 46.26747 5.63144 34.53863
   9 | 10164 | -3.00 | 1378.90 |     0 |     0 |     0 |  345.91 |    0.00 |    0.00 |     0 | 0.00 || 1.42282 -0.78443 0.84771 -48.78289 13.07537 42.10854
  10 | 10082 | -3.36 | 1525.50 |     0 |     0 |     0 |  392.97 |    0.00 |    0.00 |     0 | 0.00 || 2.37770 -0.95923 1.01352 -33.37286 32.57299 68.87320
  11 |  9796 | -3.08 | 1411.50 |     0 |     0 |     0 |  343.69 |    0.00 |    0.00 |     0 | 0.00 || -3.03537 -0.42335 -0.02651 18.36981 1.14408 108.20203
  12 |  9780 | -2.85 | 1208.70 |     0 |     0 |     0 |  447.99 |    0.00 |    0.00 |     0 | 0.00 || -0.60210 -0.15975 -0.77495 -41.21872 -27.40804 25.85610
  13 |  9722 | -3.47 | 1568.10 |     0 |     0 |     0 |  260.41 |    0.00 |    0.00 |     0 | 0.00 || 0.40058 0.41589 1.08838 -0.33777 14.91031 5.53579
  14 |  9700 | -3.64 | 1374.00 |     0 |     0 |     0 |  407.26 |    0.00 |    0.00 |     0 | 0.00 || -2.23183 -0.46682 1.03731 5.02656 2.24163 93.47795
  15 |  9674 | -3.05 | 1282.90 |     0 |     0 |     0 |  369.56 |    0.00 |    0.00 |     0 | 0.00 || -2.39680 0.62667 -0.91331 -36.80503 5.38591 94.61169
  16 |  9672 | -2.87 | 1202.60 |     0 |     0 |     0 |  407.07 |    0.00 |    0.00 |     0 | 0.00 || -0.33575 -0.48748 -0.64721 -38.66325 -21.71889 19.80713
  17 |  9468 | -2.94 | 1172.60 |     0 |     0 |     0 |  232.51 |    0.00 |    0.00 |     0 | 0.00 || -1.29713 -0.08246 0.82621 34.83490 -50.47464 62.40446
  18 |  9458 | -2.83 | 1207.10 |     0 |     0 |     0 |  497.50 |    0.00 |    0.00 |     0 | 0.00 || -0.91490 -0.89743 2.27184 43.21082 17.57487 40.09291
  19 |  9454 | -2.17 | 1037.30 |     0 |     0 |     0 |  287.69 |    0.00 |    0.00 |     0 | 0.00 || -1.39431 0.15456 -1.15297 -43.02700 3.76788 71.18198
  20 |  9432 | -3.55 | 1470.30 |     0 |     0 |     0 |  377.99 |    0.00 |    0.00 |     0 | 0.00 || -1.60593 1.28221 2.40135 46.18895 16.43494 60.85364
  21 |  9264 | -2.73 | 1087.80 |     0 |     0 |     0 |  380.04 |    0.00 |    0.00 |     0 | 0.00 || -1.29857 -1.11285 0.31526 -9.98039 -26.93866 68.17030
  22 |  9212 | -3.23 | 1202.30 |     0 |     0 |     0 |  159.83 |    0.00 |    0.00 |     0 | 0.00 || -0.53075 0.66263 -1.94251 -38.03949 14.24653 40.57241
  23 |  9198 | -2.78 | 1168.80 |     0 |     0 |     0 |  424.79 |    0.00 |    0.00 |     0 | 0.00 || 1.27777 0.93692 2.07838 -41.14510 13.11113 46.30242
  24 |  9142 | -2.80 | 1076.80 |     0 |     0 |     0 |  318.46 |    0.00 |    0.00 |     0 | 0.00 || 2.07302 -0.22183 -2.26722 43.11398 -39.76366 70.86386
  25 |  9136 | -2.65 | 1154.70 |     0 |     0 |     0 |  331.75 |    0.00 |    0.00 |     0 | 0.00 || 0.59894 0.45719 -1.02095 -3.66977 -26.05977 20.36700
  26 |  9106 | -2.72 | 1223.50 |     0 |     0 |     0 |  464.39 |    0.00 |    0.00 |     0 | 0.00 || 2.58030 -0.17878 -1.60493 40.77251 -14.76836 91.02472
  27 |  9104 | -2.49 | 1102.10 |     0 |     0 |     0 |  433.38 |    0.00 |    0.00 |     0 | 0.00 || 1.57577 0.52177 2.35913 -9.78720 -16.18730 34.76581
  28 |  9096 | -3.02 | 1343.60 |     0 |     0 |     0 |  252.51 |    0.00 |    0.00 |     0 | 0.00 || -0.09722 0.17842 -1.67440 -22.62057 -7.28316 5.46674
  29 |  9078 | -3.34 | 1219.40 |     0 |     0 |     0 |  398.06 |    0.00 |    0.00 |     0 | 0.00 || -2.54496 -1.20904 -1.42433 -5.38723 -56.93584 78.57547
  30 |  9072 | -3.50 | 1616.40 |     0 |     0 |     0 |  396.42 |    0.00 |    0.00 |     0 | 0.00 || 1.25915 0.98233 -0.65483 44.10301 10.82508 35.34593
  31 |  9066 | -2.57 | 1131.70 |     0 |     0 |     0 |  379.09 |    0.00 |    0.00 |     0 | 0.00 || 0.05256 1.28854 2.69840 -8.05027 30.37201 47.13209
  32 |  9038 | -3.93 | 1376.70 |     0 |     0 |     0 |  155.78 |    0.00 |    0.00 |     0 | 0.00 || -2.80703 0.89325 -3.11067 41.95052 -3.72203 91.04689
  33 |  9020 | -3.68 | 1501.80 |     0 |     0 |     0 |  403.99 |    0.00 |    0.00 |     0 | 0.00 || -1.04062 -0.04227 2.05987 46.60778 14.57746 46.96573
  34 |  9014 | -3.28 | 1308.90 |     0 |     0 |     0 |  273.35 |    0.00 |    0.00 |     0 | 0.00 || 0.32927 -0.94191 1.97151 29.74144 -22.57473 43.12820
  35 |  8952 | -3.36 | 1276.70 |     0 |     0 |     0 |  493.60 |    0.00 |    0.00 |     0 | 0.00 || -2.63725 0.01772 -1.31763 -10.97647 -0.87353 110.62379
  36 |  8946 | -3.62 | 1554.00 |     0 |     0 |     0 |  389.39 |    0.00 |    0.00 |     0 | 0.00 || 0.99645 -0.47579 -2.71935 35.23570 -26.79202 19.93715
  37 |  8906 | -2.07 |  998.90 |     0 |     0 |     0 |  134.94 |    0.00 |    0.00 |     0 | 0.00 || -0.06936 -0.60975 0.76241 -21.87105 -3.52605 35.30487
  38 |  8900 | -2.73 | 1206.40 |     0 |     0 |     0 |  384.08 |    0.00 |    0.00 |     0 | 0.00 || 2.17470 -0.69070 -0.97010 47.19891 11.47869 72.45148
  39 |  8892 | -2.71 | 1090.10 |     0 |     0 |     0 |  484.70 |    0.00 |    0.00 |     0 | 0.00 || 1.54367 0.29965 0.53788 1.79114 33.48180 48.08237
  40 |  8846 | -3.76 | 1332.60 |     0 |     0 |     0 |  458.12 |    0.00 |    0.00 |     0 | 0.00 || -1.48056 -0.42010 -1.31958 -49.33118 -23.53434 66.88761
  41 |  8832 | -3.31 | 1276.00 |     0 |     0 |     0 |  439.45 |    0.00 |    0.00 |     0 | 0.00 || -0.71751 -0.72369 -2.72747 24.32817 18.72696 28.93399
  42 |  8824 | -2.38 | 1008.70 |     0 |     0 |     0 |  183.35 |    0.00 |    0.00 |     0 | 0.00 || -2.76375 0.75534 2.63298 40.00378 -24.28733 92.68698
  43 |  8824 | -2.98 | 1223.80 |     0 |     0 |     0 |  303.55 |    0.00 |    0.00 |     0 | 0.00 || -2.03323 0.87663 1.46587 34.67204 -45.93618 76.18905
  44 |  8820 | -3.41 | 1358.70 |     0 |     0 |     0 |  395.73 |    0.00 |    0.00 |     0 | 0.00 || 1.49245 0.55817 -1.36333 49.93938 -5.76582 39.15825
  45 |  8816 | -2.52 | 1073.40 |     0 |     0 |     0 |  316.21 |    0.00 |    0.00 |     0 | 0.00 || 2.72057 1.12356 -2.21451 17.89185 0.67620 44.31705
  46 |  8808 | -3.15 | 1326.80 |     0 |     0 |     0 |  333.89 |    0.00 |    0.00 |     0 | 0.00 || 1.57234 -0.51849 -1.61896 42.56811 -12.41325 76.14837
  47 |  8786 | -3.35 | 1188.80 |     0 |     0 |     0 |  339.82 |    0.00 |    0.00 |     0 | 0.00 || -3.11680 0.27649 -2.03428 -9.25014 12.66250 98.92847
  48 |  8778 | -3.85 | 1622.50 |     0 |     0 |     0 |  252.26 |    0.00 |    0.00 |     0 | 0.00 || -1.17556 0.31402 -2.35527 -32.09404 37.85821 44.04591
  49 |  8758 | -2.51 | 1065.70 |     0 |     0 |     0 |  177.76 |    0.00 |    0.00 |     0 | 0.00 || 1.04251 1.26902 0.85438 -21.19841 43.75824 57.45411
  50 |  8726 | -3.38 | 1346.00 |     0 |     0 |     0 |  367.63 |    0.00 |    0.00 |     0 | 0.00 || -0.12826 -0.51162 -2.81710 -1.29732 32.91745 32.46978
  51 |  8720 | -3.58 | 1374.50 |     0 |     0 |     0 |  246.41 |    0.00 |    0.00 |     0 | 0.00 || 2.26941 -0.30721 -0.71351 19.07843 39.96415 65.91536
  52 |  8718 | -3.34 | 1210.30 |     0 |     0 |     0 |  354.11 |    0.00 |    0.00 |     0 | 0.00 || 2.11133 -0.33126 1.06424 -46.99850 19.29296 60.67186
  53 |  8710 | -3.37 | 1327.10 |     0 |     0 |     0 |  281.42 |    0.00 |    0.00 |     0 | 0.00 || -2.56664 0.93909 1.29608 -7.83570 -35.61419 49.81565
  54 |  8660 | -3.38 | 1568.20 |     0 |     0 |     0 |  278.19 |    0.00 |    0.00 |     0 | 0.00 || -0.31286 0.57942 1.90055 25.55949 16.56957 15.81355
  55 |  8660 | -3.28 | 1409.90 |     0 |     0 |     0 |  494.40 |    0.00 |    0.00 |     0 | 0.00 || -2.60262 -0.64231 2.06124 -0.70935 20.38137 103.85918
  56 |  8644 | -2.61 | 1083.90 |     0 |     0 |     0 |  426.83 |    0.00 |    0.00 |     0 | 0.00 || 0.20412 -0.15680 -2.31015 -15.14338 14.45711 30.70623
  57 |  8630 | -2.66 | 1040.40 |     0 |     0 |     0 |  412.65 |    0.00 |    0.00 |     0 | 0.00 || -1.16968 0.03532 0.21961 -11.49695 -29.09073 64.47655
  58 |  8612 | -2.65 | 1035.40 |     0 |     0 |     0 |  402.34 |    0.00 |    0.00 |     0 | 0.00 || 2.59093 -0.38339 1.98420 -11.30135 1.24514 102.43941
  59 |  8588 | -3.10 | 1167.40 |     0 |     0 |     0 |   74.71 |    0.00 |    0.00 |     0 | 0.00 || 0.32366 -0.63462 -2.40824 28.59481 4.31316 9.67118
  60 |  8566 | -2.94 | 1284.70 |     0 |     0 |     0 |  341.94 |    0.00 |    0.00 |     0 | 0.00 || 2.87791 0.24190 -0.37260 -20.47867 12.25327 66.35878
  61 |  8562 | -3.25 | 1283.80 |     0 |     0 |     0 |  360.30 |    0.00 |    0.00 |     0 | 0.00 || 1.73938 0.44323 1.99704 -50.02947 -23.45063 49.15060
  62 |  8556 | -2.58 | 1050.60 |     0 |     0 |     0 |  283.06 |    0.00 |    0.00 |     0 | 0.00 || 1.04632 0.53619 -1.11816 9.61143 6.85030 47.49483
  63 |  8550 | -2.63 | 1148.60 |     0 |     0 |     0 |  369.31 |    0.00 |    0.00 |     0 | 0.00 || 1.89752 0.71373 -2.41835 38.19934 -18.22577 79.76170
  64 |  8538 | -3.27 | 1173.80 |     0 |     0 |     0 |  367.09 |    0.00 |    0.00 |     0 | 0.00 || 1.23616 0.94181 1.97817 -46.19464 6.16790 54.52633
  65 |  8524 | -2.90 | 1149.60 |     0 |     0 |     0 |  249.32 |    0.00 |    0.00 |     0 | 0.00 || 2.38752 -0.02461 1.34239 -41.07295 2.78733 93.55372
  66 |  8520 | -3.04 | 1251.20 |     0 |     0 |     0 |  424.55 |    0.00 |    0.00 |     0 | 0.00 || -1.29754 1.12386 -0.15688 -16.88444 -58.85990 51.39068
  67 |  8496 | -2.31 |  968.70 |     0 |     0 |     0 |  223.79 |    0.00 |    0.00 |     0 | 0.00 || 2.71908 -1.34101 -3.03830 -37.55748 -26.54269 41.81850
