*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1EZU_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1EZU/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1EZU_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 14492 | -2.95 | 1862.00 |     0 |     0 |     0 |  293.08 |    0.00 |    0.00 |     0 | 0.00 || 0.39731 0.34484 -1.15646 13.97212 -7.12820 29.20479
   2 | 14240 | -3.36 | 2260.00 |     0 |     0 |     0 |  445.11 |    0.00 |    0.00 |     0 | 0.00 || 2.34660 -0.11324 0.02486 -16.48624 2.04290 75.27306
   3 | 14132 | -3.93 | 2261.60 |     0 |     0 |     0 |  371.69 |    0.00 |    0.00 |     0 | 0.00 || -2.95978 -0.07838 2.78956 -12.46256 19.56213 67.93446
   4 | 13776 | -2.67 | 1764.60 |     0 |     0 |     0 |   81.80 |    0.00 |    0.00 |     0 | 0.00 || -1.31595 -0.78788 0.06834 -40.34881 -7.33778 44.70734
   5 | 13592 | -3.33 | 2286.60 |     0 |     0 |     0 |  199.83 |    0.00 |    0.00 |     0 | 0.00 || -2.70007 -0.50251 2.63278 -27.38489 38.76488 75.01369
   6 | 13586 | -3.12 | 2357.60 |     0 |     0 |     0 |  389.89 |    0.00 |    0.00 |     0 | 0.00 || -0.52050 -1.32910 0.02730 -58.64830 -1.26044 38.74323
   7 | 13472 | -3.51 | 1846.30 |     0 |     0 |     0 |  374.47 |    0.00 |    0.00 |     0 | 0.00 || 0.40392 0.20855 -2.64767 -20.39694 -30.79967 30.35284
   8 | 13286 | -3.82 | 1890.10 |     0 |     0 |     0 |  390.34 |    0.00 |    0.00 |     0 | 0.00 || 2.40812 0.09598 0.27310 -28.93999 42.47559 46.63589
   9 | 13054 | -3.03 | 1666.50 |     0 |     0 |     0 |  485.80 |    0.00 |    0.00 |     0 | 0.00 || 2.65447 -0.90943 2.51087 -47.31774 21.25913 69.93891
  10 | 13004 | -3.80 | 2389.50 |     0 |     0 |     0 |  214.61 |    0.00 |    0.00 |     0 | 0.00 || -0.76458 0.01197 -0.03549 -21.96412 3.47683 35.16914
  11 | 12908 | -2.74 | 1634.90 |     0 |     0 |     0 |  264.62 |    0.00 |    0.00 |     0 | 0.00 || -2.39242 -0.35427 -2.58308 -42.77339 -17.42984 87.30643
