*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1F34_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1F34/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1F34_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 15396 | -3.62 | 2398.20 |     0 |     0 |     0 | -164.04 |    0.00 |    0.00 |     0 | 0.00 || -3.01338 -0.07400 2.89489 37.21381 -39.86494 95.94157
   2 | 14708 | -2.97 | 1871.90 |     0 |     0 |     0 |  275.65 |    0.00 |    0.00 |     0 | 0.00 || -2.30509 0.50336 -2.77147 92.06927 48.70161 93.43954
   3 | 14200 | -3.65 | 2410.20 |     0 |     0 |     0 | -191.15 |    0.00 |    0.00 |     0 | 0.00 || -0.72463 -1.34424 2.84342 38.23158 77.16926 60.19987
   4 | 13724 | -3.07 | 2150.70 |     0 |     0 |     0 | -371.65 |    0.00 |    0.00 |     0 | 0.00 || 0.51397 -0.99245 -0.74128 -27.80061 57.78624 40.77259
   5 | 13674 | -3.56 | 2155.50 |     0 |     0 |     0 | -137.42 |    0.00 |    0.00 |     0 | 0.00 || -2.82487 1.15657 -0.50051 -12.20356 74.79909 41.64476
   6 | 13290 | -3.14 | 1833.90 |     0 |     0 |     0 |  131.59 |    0.00 |    0.00 |     0 | 0.00 || -0.32159 -0.61676 1.69746 107.31435 -3.66556 39.00657
   7 | 13186 | -3.29 | 1925.50 |     0 |     0 |     0 | -288.72 |    0.00 |    0.00 |     0 | 0.00 || 2.03178 0.36019 -1.52178 62.36758 39.34743 38.54339
   8 | 13088 | -2.85 | 1758.10 |     0 |     0 |     0 | -245.41 |    0.00 |    0.00 |     0 | 0.00 || -1.62923 -0.81484 2.00488 34.06150 50.66676 91.27798
   9 | 13080 | -3.57 | 2001.90 |     0 |     0 |     0 |  156.64 |    0.00 |    0.00 |     0 | 0.00 || 1.23518 -0.92447 0.32255 -69.58967 7.02032 42.47743
  10 | 12878 | -3.40 | 1710.70 |     0 |     0 |     0 | -310.02 |    0.00 |    0.00 |     0 | 0.00 || 0.06177 0.05410 0.19311 10.11807 -1.55527 -2.25526
  11 | 12746 | -3.78 | 2799.20 |     0 |     0 |     0 | -482.73 |    0.00 |    0.00 |     0 | 0.00 || -0.03386 -0.08855 -1.18823 -23.76611 33.55415 0.41684
  12 | 12652 | -4.31 | 2201.00 |     0 |     0 |     0 |  165.03 |    0.00 |    0.00 |     0 | 0.00 || -2.41864 -0.36568 -1.43612 13.40457 14.82079 110.52916
  13 | 12480 | -3.40 | 1702.00 |     0 |     0 |     0 |  210.43 |    0.00 |    0.00 |     0 | 0.00 || 2.84700 -0.94733 1.25671 -57.21206 38.50673 108.41122
  14 | 12474 | -3.68 | 2083.00 |     0 |     0 |     0 | -107.57 |    0.00 |    0.00 |     0 | 0.00 || -1.06166 0.91426 -2.71541 25.85058 81.04690 21.93228
  15 | 12472 | -3.40 | 1612.20 |     0 |     0 |     0 |   69.68 |    0.00 |    0.00 |     0 | 0.00 || 1.24132 -0.90578 1.71691 14.97180 -61.89389 12.17691
  16 | 12430 | -3.81 | 1975.90 |     0 |     0 |     0 | -136.49 |    0.00 |    0.00 |     0 | 0.00 || 2.78193 -1.20811 -0.81301 74.69305 49.48376 61.01164
  17 | 12362 | -2.92 | 1699.50 |     0 |     0 |     0 |  121.67 |    0.00 |    0.00 |     0 | 0.00 || 0.85979 0.54427 -0.15786 16.38341 14.44084 -40.95711
  18 | 12232 | -2.92 | 1551.20 |     0 |     0 |     0 |  298.93 |    0.00 |    0.00 |     0 | 0.00 || -2.73176 1.15638 1.65221 -22.61304 -50.41584 31.75470
  19 | 12182 | -2.65 | 1400.00 |     0 |     0 |     0 | -288.06 |    0.00 |    0.00 |     0 | 0.00 || 2.08135 0.85669 -1.61874 63.58846 26.52058 39.46997
  20 | 12144 | -2.77 | 1538.60 |     0 |     0 |     0 |  299.46 |    0.00 |    0.00 |     0 | 0.00 || -1.87698 0.00288 -1.94462 -15.39305 45.45622 102.38646
  21 | 12094 | -3.64 | 1878.40 |     0 |     0 |     0 |  125.15 |    0.00 |    0.00 |     0 | 0.00 || -0.04419 -0.92639 -2.57098 30.44873 80.96596 32.94436
  22 | 12056 | -3.40 | 1930.00 |     0 |     0 |     0 | -218.65 |    0.00 |    0.00 |     0 | 0.00 || 1.64243 0.39624 -0.81669 28.83759 54.13222 13.71706
  23 | 12048 | -2.78 | 1438.20 |     0 |     0 |     0 | -193.14 |    0.00 |    0.00 |     0 | 0.00 || -2.43335 -0.22298 0.11949 6.99237 3.32087 111.73575
  24 | 11952 | -3.31 | 1658.00 |     0 |     0 |     0 |  328.06 |    0.00 |    0.00 |     0 | 0.00 || -2.53852 -0.46634 -1.84336 11.30234 5.01785 111.68852
  25 | 11930 | -2.72 | 1426.10 |     0 |     0 |     0 |   21.96 |    0.00 |    0.00 |     0 | 0.00 || -2.63121 0.23198 -1.68660 54.82474 86.24961 112.25179
  26 | 11838 | -2.94 | 1574.80 |     0 |     0 |     0 |  -60.93 |    0.00 |    0.00 |     0 | 0.00 || 2.18836 -0.26796 -0.12904 19.59693 97.31599 28.22245
  27 | 11804 | -3.16 | 1870.50 |     0 |     0 |     0 | -126.72 |    0.00 |    0.00 |     0 | 0.00 || -2.34181 -0.98102 0.99506 19.35382 50.20469 98.51241
  28 | 11800 | -3.11 | 1545.10 |     0 |     0 |     0 |   37.58 |    0.00 |    0.00 |     0 | 0.00 || -1.53088 0.79617 2.79407 106.47233 48.69225 54.35752
  29 | 11782 | -2.79 | 1559.40 |     0 |     0 |     0 | -443.68 |    0.00 |    0.00 |     0 | 0.00 || 0.43987 -0.69336 0.28033 -23.62273 3.65839 23.12309
  30 | 11772 | -3.90 | 1985.20 |     0 |     0 |     0 | -521.14 |    0.00 |    0.00 |     0 | 0.00 || 0.80014 -1.02164 0.79319 -21.55017 -9.42970 46.75562
  31 | 11634 | -3.37 | 1614.40 |     0 |     0 |     0 |   61.12 |    0.00 |    0.00 |     0 | 0.00 || 1.99064 -1.19287 -0.64265 24.96492 81.34254 44.77883
  32 | 11582 | -2.52 | 1407.00 |     0 |     0 |     0 |  186.52 |    0.00 |    0.00 |     0 | 0.00 || -1.88130 0.89687 0.56956 -38.22084 -58.21940 75.96910
  33 | 11566 | -3.23 | 1579.20 |     0 |     0 |     0 |    5.55 |    0.00 |    0.00 |     0 | 0.00 || -0.94479 0.23014 -2.93938 19.21478 77.09009 55.02146
  34 | 11558 | -3.59 | 1519.60 |     0 |     0 |     0 |  136.67 |    0.00 |    0.00 |     0 | 0.00 || 0.83887 -1.14281 -2.55709 78.89516 56.12655 22.36572
  35 | 11550 | -2.90 | 1441.50 |     0 |     0 |     0 |  153.27 |    0.00 |    0.00 |     0 | 0.00 || 3.05725 0.60881 1.41442 -67.56987 -7.52792 50.51347
  36 | 11544 | -3.76 | 1830.90 |     0 |     0 |     0 |  -87.44 |    0.00 |    0.00 |     0 | 0.00 || 1.30453 -0.07929 -2.90948 46.62629 -19.01077 13.48822
  37 | 11528 | -3.35 | 1532.10 |     0 |     0 |     0 |  311.58 |    0.00 |    0.00 |     0 | 0.00 || -1.35132 0.19368 1.70902 65.69214 -25.08584 79.11259
  38 | 11518 | -2.96 | 1555.90 |     0 |     0 |     0 |  -76.16 |    0.00 |    0.00 |     0 | 0.00 || -1.96405 -0.80424 1.34395 28.97081 40.58844 95.46196
  39 | 11500 | -2.72 | 1435.30 |     0 |     0 |     0 |    1.77 |    0.00 |    0.00 |     0 | 0.00 || -1.81244 0.52728 -3.12506 60.47674 45.47723 66.80508
  40 | 11492 | -3.71 | 1741.60 |     0 |     0 |     0 | -230.21 |    0.00 |    0.00 |     0 | 0.00 || 2.66692 0.49929 2.11525 -17.24343 -9.60652 47.40049
  41 | 11492 | -3.12 | 1595.90 |     0 |     0 |     0 |  217.62 |    0.00 |    0.00 |     0 | 0.00 || 0.33905 0.38925 0.62204 37.24053 -19.91624 -32.83555
  42 | 11452 | -3.96 | 2176.10 |     0 |     0 |     0 | -133.56 |    0.00 |    0.00 |     0 | 0.00 || 1.55717 0.01250 1.27782 -10.29597 11.23842 -12.06642
  43 | 11380 | -3.37 | 1494.40 |     0 |     0 |     0 |   -5.29 |    0.00 |    0.00 |     0 | 0.00 || 1.42761 -0.87960 -2.31109 93.07610 72.26793 34.50956
  44 | 11378 | -3.42 | 1782.50 |     0 |     0 |     0 | -318.42 |    0.00 |    0.00 |     0 | 0.00 || -2.85401 0.72799 -2.22934 61.31918 51.29770 56.00670
  45 | 11340 | -3.25 | 1576.00 |     0 |     0 |     0 |  -55.23 |    0.00 |    0.00 |     0 | 0.00 || -1.34585 0.72602 2.65922 62.64866 41.95243 53.71343
  46 | 11308 | -2.77 | 1367.10 |     0 |     0 |     0 |  134.37 |    0.00 |    0.00 |     0 | 0.00 || 1.14407 0.17143 0.15045 13.89842 53.60812 0.69376
  47 | 11304 | -3.04 | 1637.00 |     0 |     0 |     0 |  -12.61 |    0.00 |    0.00 |     0 | 0.00 || 0.91989 0.52191 0.09729 20.39639 17.04845 -40.01971
  48 | 11294 | -3.07 | 1557.00 |     0 |     0 |     0 | -131.40 |    0.00 |    0.00 |     0 | 0.00 || 1.42814 -0.18921 1.21415 -26.84766 22.47823 17.16423
  49 | 11272 | -3.70 | 1696.10 |     0 |     0 |     0 | -248.59 |    0.00 |    0.00 |     0 | 0.00 || -0.01692 1.40459 -1.93776 -27.79940 21.21547 16.12210
  50 | 11240 | -2.98 | 1484.50 |     0 |     0 |     0 |  204.62 |    0.00 |    0.00 |     0 | 0.00 || -0.95086 -0.18399 1.69525 69.00811 -6.97665 84.10252
  51 | 11228 | -2.89 | 1403.50 |     0 |     0 |     0 |   25.26 |    0.00 |    0.00 |     0 | 0.00 || 2.49021 0.68710 2.02330 -50.02610 -40.73537 23.51849
  52 | 11208 | -3.75 | 2045.10 |     0 |     0 |     0 | -582.54 |    0.00 |    0.00 |     0 | 0.00 || -2.42807 0.86461 0.35967 -32.02166 10.10540 67.12247
  53 | 11184 | -2.78 | 1429.60 |     0 |     0 |     0 |  130.91 |    0.00 |    0.00 |     0 | 0.00 || 0.47789 -0.61353 -2.60432 49.99312 68.70257 -12.12453
  54 | 11182 | -2.89 | 1511.00 |     0 |     0 |     0 |  -51.23 |    0.00 |    0.00 |     0 | 0.00 || -2.52118 0.53413 0.47185 -18.45950 4.11112 107.28949
  55 | 11164 | -4.11 | 1736.00 |     0 |     0 |     0 |   73.69 |    0.00 |    0.00 |     0 | 0.00 || -1.53056 0.29507 -1.64786 -26.19730 97.15372 92.17101
  56 | 11144 | -3.46 | 1647.70 |     0 |     0 |     0 |  -14.00 |    0.00 |    0.00 |     0 | 0.00 || -2.72425 -0.82462 2.33307 -6.21027 13.38931 106.32668
  57 | 11118 | -3.38 | 2077.30 |     0 |     0 |     0 |   74.90 |    0.00 |    0.00 |     0 | 0.00 || 0.15721 0.59693 2.92940 4.67338 57.48321 12.83549
  58 | 11114 | -3.40 | 1580.90 |     0 |     0 |     0 |  275.92 |    0.00 |    0.00 |     0 | 0.00 || 1.98302 0.33058 2.53821 -11.49808 -50.42356 -4.32275
  59 | 11112 | -3.46 | 1574.30 |     0 |     0 |     0 | -463.56 |    0.00 |    0.00 |     0 | 0.00 || 1.41556 0.70342 2.42333 -2.54830 23.12718 -11.37888
