*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1FC2_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1FC2/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1FC2_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 14548 | -2.28 | 1668.90 |     0 |     0 |     0 |  296.33 |    0.00 |    0.00 |     0 | 0.00 || -0.02502 1.17042 2.77655 -4.87879 59.49957 48.80588
   2 | 13876 | -2.84 | 1874.70 |     0 |     0 |     0 |  409.63 |    0.00 |    0.00 |     0 | 0.00 || -0.13321 0.97563 -0.03037 28.76675 20.41547 45.97127
   3 | 13524 | -2.57 | 1669.10 |     0 |     0 |     0 |  290.03 |    0.00 |    0.00 |     0 | 0.00 || -1.98444 -0.47484 1.06610 36.62772 44.08215 67.21192
   4 | 13382 | -3.21 | 2158.80 |     0 |     0 |     0 |  481.32 |    0.00 |    0.00 |     0 | 0.00 || 0.25817 1.16000 0.00330 38.98410 29.63994 45.29366
   5 | 13360 | -3.76 | 1933.00 |     0 |     0 |     0 |  366.28 |    0.00 |    0.00 |     0 | 0.00 || -1.75834 1.08801 1.66126 23.11762 22.92305 61.61327
   6 | 13076 | -3.20 | 1651.70 |     0 |     0 |     0 |  429.27 |    0.00 |    0.00 |     0 | 0.00 || 0.10014 -0.21740 -1.90327 -10.38870 42.37911 33.60804
   7 | 12988 | -2.98 | 1633.90 |     0 |     0 |     0 |  328.57 |    0.00 |    0.00 |     0 | 0.00 || -0.59638 0.69825 0.35379 22.70355 14.12868 42.46724
   8 | 12848 | -2.62 | 1544.70 |     0 |     0 |     0 |  431.98 |    0.00 |    0.00 |     0 | 0.00 || 2.36372 -0.98428 0.88088 -2.95014 65.50365 46.60998
   9 | 12646 | -2.85 | 1529.90 |     0 |     0 |     0 |  316.46 |    0.00 |    0.00 |     0 | 0.00 || 2.40099 -0.13356 2.43861 -7.33698 23.50736 50.93170
  10 | 12550 | -3.10 | 1805.90 |     0 |     0 |     0 |  310.94 |    0.00 |    0.00 |     0 | 0.00 || -1.62075 -0.05040 -1.68946 -23.06160 29.21369 62.68321
  11 | 12538 | -2.77 | 1734.00 |     0 |     0 |     0 |  341.03 |    0.00 |    0.00 |     0 | 0.00 || -0.58940 0.49591 -0.03866 12.16435 14.82782 56.37012
  12 | 12524 | -3.55 | 1819.40 |     0 |     0 |     0 |  499.81 |    0.00 |    0.00 |     0 | 0.00 || 2.57042 -0.05296 0.41843 17.93219 59.11814 70.11615
  13 | 12402 | -3.03 | 1774.80 |     0 |     0 |     0 |  309.34 |    0.00 |    0.00 |     0 | 0.00 || -2.26367 -0.41731 -2.14874 -11.00175 30.04402 72.06074
  14 | 12376 | -3.54 | 1748.10 |     0 |     0 |     0 |  455.45 |    0.00 |    0.00 |     0 | 0.00 || -3.05749 -1.37853 -0.85049 54.45024 9.53363 47.79657
  15 | 12370 | -2.69 | 1482.80 |     0 |     0 |     0 |  424.92 |    0.00 |    0.00 |     0 | 0.00 || -1.25553 0.45241 -2.66056 -6.50226 53.85005 35.56654
  16 | 12320 | -3.34 | 1925.30 |     0 |     0 |     0 |  239.12 |    0.00 |    0.00 |     0 | 0.00 || 0.91479 0.64752 0.88925 5.60251 62.11826 34.02800
  17 | 12314 | -3.02 | 1771.00 |     0 |     0 |     0 |  498.44 |    0.00 |    0.00 |     0 | 0.00 || -2.89121 -0.18874 2.50453 -4.49276 28.72025 57.05984
  18 | 12270 | -3.25 | 1817.00 |     0 |     0 |     0 |  404.26 |    0.00 |    0.00 |     0 | 0.00 || 1.46567 0.68934 0.51276 29.68453 46.45482 39.76371
  19 | 12168 | -2.63 | 1528.90 |     0 |     0 |     0 |  303.82 |    0.00 |    0.00 |     0 | 0.00 || -2.39341 -0.01657 -2.12016 -9.28963 30.08177 74.51499
  20 | 12160 | -2.81 | 1610.90 |     0 |     0 |     0 |  197.77 |    0.00 |    0.00 |     0 | 0.00 || 2.85318 -0.74174 2.22301 -8.45594 29.17177 51.84424
  21 | 12158 | -2.84 | 1510.50 |     0 |     0 |     0 |  337.67 |    0.00 |    0.00 |     0 | 0.00 || -1.73143 -0.72206 2.12533 5.21523 59.11535 60.10802
