*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1FLE_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1FLE/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1FLE_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 12270 | -3.21 | 1818.60 |     0 |     0 |     0 | -109.10 |    0.00 |    0.00 |     0 | 0.00 || 0.29907 -0.16040 -1.07308 -28.40993 55.02238 3.56190
   2 | 11428 | -3.33 | 1523.30 |     0 |     0 |     0 |  -49.42 |    0.00 |    0.00 |     0 | 0.00 || -0.66113 -0.93214 3.09622 29.79705 95.95084 64.64871
   3 | 11324 | -3.57 | 1700.10 |     0 |     0 |     0 | -413.44 |    0.00 |    0.00 |     0 | 0.00 || -0.08475 1.17442 -0.35429 9.87391 -3.59038 1.65386
   4 | 11094 | -4.29 | 1917.30 |     0 |     0 |     0 |  331.73 |    0.00 |    0.00 |     0 | 0.00 || 0.34317 -0.24065 2.39817 62.00785 39.26050 4.66750
   5 | 10814 | -3.74 | 1725.60 |     0 |     0 |     0 |  205.62 |    0.00 |    0.00 |     0 | 0.00 || 1.88231 0.61251 -0.02529 13.82635 80.61013 -5.47988
   6 | 10700 | -2.35 | 1222.50 |     0 |     0 |     0 |  205.50 |    0.00 |    0.00 |     0 | 0.00 || -1.75095 0.88496 -1.98000 19.82698 96.29623 41.20638
   7 | 10604 | -3.56 | 1938.30 |     0 |     0 |     0 | -245.23 |    0.00 |    0.00 |     0 | 0.00 || -0.89122 -0.74010 1.56750 62.14280 31.43980 57.39876
   8 | 10554 | -2.56 | 1255.40 |     0 |     0 |     0 | -112.72 |    0.00 |    0.00 |     0 | 0.00 || 0.86482 -0.73359 -2.76042 62.95059 33.77132 42.27334
   9 | 10508 | -2.47 | 1204.70 |     0 |     0 |     0 |  300.78 |    0.00 |    0.00 |     0 | 0.00 || -2.62694 -0.03637 0.38512 -15.36907 54.31560 80.14451
  10 | 10402 | -3.48 | 1645.90 |     0 |     0 |     0 | -467.99 |    0.00 |    0.00 |     0 | 0.00 || -2.96401 0.47757 2.84167 36.63781 0.73948 62.13018
  11 | 10286 | -3.23 | 1448.80 |     0 |     0 |     0 |   90.51 |    0.00 |    0.00 |     0 | 0.00 || 2.86120 -0.06556 0.07722 -16.82841 92.07968 64.21953
  12 | 10274 | -4.14 | 1536.00 |     0 |     0 |     0 |  444.94 |    0.00 |    0.00 |     0 | 0.00 || 0.29964 -0.11108 2.46337 62.70591 42.68275 -6.90244
  13 | 10148 | -2.89 | 1213.50 |     0 |     0 |     0 |   79.99 |    0.00 |    0.00 |     0 | 0.00 || 1.46105 0.95900 0.52539 16.12047 80.25180 -0.97409
  14 | 10068 | -3.37 | 1651.20 |     0 |     0 |     0 | -315.80 |    0.00 |    0.00 |     0 | 0.00 || 1.59838 -0.05486 2.08105 -11.14503 -29.59940 16.03788
  15 | 10004 | -2.37 | 1205.30 |     0 |     0 |     0 | -238.21 |    0.00 |    0.00 |     0 | 0.00 || -0.24431 0.32210 -2.75863 16.51181 54.94764 6.23815
  16 |  9986 | -3.40 | 1469.80 |     0 |     0 |     0 |   65.75 |    0.00 |    0.00 |     0 | 0.00 || -2.82013 0.19701 -0.94561 19.41529 87.64678 68.81906
  17 |  9964 | -2.73 | 1255.70 |     0 |     0 |     0 | -275.19 |    0.00 |    0.00 |     0 | 0.00 || -2.36793 -0.28003 0.34476 -3.72546 8.37393 86.60162
  18 |  9950 | -3.36 | 1502.40 |     0 |     0 |     0 | -346.04 |    0.00 |    0.00 |     0 | 0.00 || -2.45618 0.11689 0.82475 -9.37685 -7.19494 80.02930
  19 |  9942 | -3.17 | 1660.90 |     0 |     0 |     0 |   99.57 |    0.00 |    0.00 |     0 | 0.00 || -2.02547 -1.21532 0.60910 56.40279 46.40829 64.53960
  20 |  9928 | -2.98 | 1569.70 |     0 |     0 |     0 | -438.37 |    0.00 |    0.00 |     0 | 0.00 || -2.29718 0.68989 -2.79182 61.28878 59.08289 72.66968
  21 |  9926 | -3.36 | 1758.40 |     0 |     0 |     0 |  -35.02 |    0.00 |    0.00 |     0 | 0.00 || 1.05580 0.34669 1.52382 5.18915 39.54786 -13.10100
  22 |  9922 | -2.91 | 1224.00 |     0 |     0 |     0 |   32.80 |    0.00 |    0.00 |     0 | 0.00 || 2.12639 0.79729 0.72455 -30.13466 79.96621 21.61245
