*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1FQJ_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1FQJ/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1FQJ_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 14280 | -3.51 | 1985.00 |     0 |     0 |     0 |  371.58 |    0.00 |    0.00 |     0 | 0.00 || -1.39570 -0.20223 1.15193 148.13269 -56.07164 115.31413
   2 | 14050 | -3.13 | 1823.10 |     0 |     0 |     0 |  472.98 |    0.00 |    0.00 |     0 | 0.00 || -0.66445 -0.48515 2.01589 153.31451 19.16972 21.45917
   3 | 13870 | -3.18 | 2083.00 |     0 |     0 |     0 |  478.21 |    0.00 |    0.00 |     0 | 0.00 || -1.36127 -1.30623 -2.57521 -57.16124 100.77688 114.60939
   4 | 13682 | -3.18 | 1981.50 |     0 |     0 |     0 |  425.48 |    0.00 |    0.00 |     0 | 0.00 || -2.89414 0.40294 1.33209 -23.03649 -21.12227 166.01297
   5 | 13106 | -3.22 | 1970.40 |     0 |     0 |     0 |  359.81 |    0.00 |    0.00 |     0 | 0.00 || -1.73557 1.01759 -2.01073 -10.80900 135.25797 107.06979
   6 | 13016 | -3.26 | 1838.90 |     0 |     0 |     0 |  299.09 |    0.00 |    0.00 |     0 | 0.00 || -0.08548 1.13956 -0.73425 49.36444 -59.97505 41.55923
   7 | 12962 | -3.12 | 1723.90 |     0 |     0 |     0 |  139.45 |    0.00 |    0.00 |     0 | 0.00 || 0.91946 0.92186 1.99761 -67.73281 42.10910 -14.10284
   8 | 12860 | -4.37 | 2256.50 |     0 |     0 |     0 |  487.92 |    0.00 |    0.00 |     0 | 0.00 || -0.68767 0.85058 -1.51065 -87.33719 -0.22281 30.66256
   9 | 12828 | -3.10 | 1824.50 |     0 |     0 |     0 |  256.17 |    0.00 |    0.00 |     0 | 0.00 || -2.37831 -0.07004 1.49504 102.26648 8.58919 182.16812
  10 | 12768 | -3.47 | 1528.80 |     0 |     0 |     0 |  476.89 |    0.00 |    0.00 |     0 | 0.00 || -2.00001 -1.09950 -1.26526 -49.46485 -40.65158 130.81055
  11 | 12696 | -3.02 | 1793.30 |     0 |     0 |     0 |  342.31 |    0.00 |    0.00 |     0 | 0.00 || 1.65945 0.93476 -0.41835 102.67558 112.16245 27.73327
  12 | 12658 | -3.67 | 1615.80 |     0 |     0 |     0 |  353.43 |    0.00 |    0.00 |     0 | 0.00 || 1.53388 -1.01483 -1.99419 136.52681 42.55247 105.17474
  13 | 12462 | -3.35 | 1778.90 |     0 |     0 |     0 |  298.00 |    0.00 |    0.00 |     0 | 0.00 || 2.78121 0.30104 2.48503 6.88730 -77.10770 141.77815
  14 | 12420 | -2.94 | 1705.40 |     0 |     0 |     0 |  457.77 |    0.00 |    0.00 |     0 | 0.00 || -2.74226 0.61791 1.20336 7.98438 -82.87039 146.13441
  15 | 12298 | -3.26 | 1729.70 |     0 |     0 |     0 |  389.39 |    0.00 |    0.00 |     0 | 0.00 || 0.29535 0.53454 -2.19681 -7.56452 3.24755 -2.85931
  16 | 12278 | -3.43 | 1852.80 |     0 |     0 |     0 |  389.61 |    0.00 |    0.00 |     0 | 0.00 || 1.30521 -0.19210 1.42116 -89.47607 3.64067 17.91862
  17 | 12214 | -3.58 | 1777.00 |     0 |     0 |     0 |  437.43 |    0.00 |    0.00 |     0 | 0.00 || -0.91939 -0.51397 3.08421 75.72301 134.29782 95.66211
  18 | 12204 | -3.45 | 1892.80 |     0 |     0 |     0 |  371.29 |    0.00 |    0.00 |     0 | 0.00 || 1.59753 0.27842 -1.42924 142.35284 80.76285 51.92074
  19 | 12202 | -3.24 | 1652.70 |     0 |     0 |     0 |  352.21 |    0.00 |    0.00 |     0 | 0.00 || 2.04053 -0.10063 -1.21508 127.69405 105.44984 62.71806
  20 | 12048 | -3.00 | 1493.20 |     0 |     0 |     0 |  300.86 |    0.00 |    0.00 |     0 | 0.00 || -2.13736 -0.01346 0.90155 76.29086 -56.86090 164.71359
  21 | 12006 | -2.43 | 1350.50 |     0 |     0 |     0 |  279.41 |    0.00 |    0.00 |     0 | 0.00 || -2.87448 -0.60339 1.05574 55.76548 87.97278 205.43506
  22 | 11918 | -2.88 | 1424.20 |     0 |     0 |     0 |  436.00 |    0.00 |    0.00 |     0 | 0.00 || 1.08534 -0.17027 -2.80898 105.46355 -12.53645 24.53409
  23 | 11900 | -3.70 | 1754.80 |     0 |     0 |     0 |  416.79 |    0.00 |    0.00 |     0 | 0.00 || -2.17543 0.73287 1.70594 93.40104 -35.41062 154.37506
  24 | 11896 | -2.65 | 1365.80 |     0 |     0 |     0 |  287.15 |    0.00 |    0.00 |     0 | 0.00 || -0.71385 -0.24286 0.47720 9.99436 -72.90241 30.93219
  25 | 11884 | -3.24 | 1643.90 |     0 |     0 |     0 |  410.08 |    0.00 |    0.00 |     0 | 0.00 || 1.49987 -0.57297 2.94142 75.53695 -71.46207 29.42378
  26 | 11838 | -3.16 | 1554.80 |     0 |     0 |     0 |  490.38 |    0.00 |    0.00 |     0 | 0.00 || 2.83078 0.10585 -2.50821 113.67226 5.81784 184.27441
  27 | 11800 | -2.91 | 1470.50 |     0 |     0 |     0 |  296.97 |    0.00 |    0.00 |     0 | 0.00 || -3.05088 0.01370 -1.54846 55.86360 75.18286 208.45831
