*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1FSK_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1FSK/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1FSK_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 15014 | -3.54 | 2560.30 |     0 |     0 |     0 |  473.02 |    0.00 |    0.00 |     0 | 0.00 || -1.03720 -0.39510 -0.23134 -13.19473 76.63345 42.42540
   2 | 14530 | -3.17 | 1931.20 |     0 |     0 |     0 | -129.47 |    0.00 |    0.00 |     0 | 0.00 || 3.01217 -0.06673 -2.31347 2.44706 61.55922 -22.58193
   3 | 14154 | -2.96 | 1913.30 |     0 |     0 |     0 |  315.28 |    0.00 |    0.00 |     0 | 0.00 || -1.66328 1.02251 -0.75236 -22.71218 141.54416 56.48397
   4 | 13984 | -3.35 | 1986.00 |     0 |     0 |     0 |  382.25 |    0.00 |    0.00 |     0 | 0.00 || -0.87531 -0.14067 0.90368 -2.86616 100.47523 49.50750
   5 | 13942 | -2.72 | 1733.40 |     0 |     0 |     0 |  303.33 |    0.00 |    0.00 |     0 | 0.00 || -2.35635 1.11496 0.96300 -56.65767 113.64459 -1.49969
   6 | 13898 | -2.73 | 1700.10 |     0 |     0 |     0 |  491.99 |    0.00 |    0.00 |     0 | 0.00 || 0.81810 -0.81912 -1.32807 -90.66191 127.00838 -45.91510
   7 | 13730 | -3.41 | 2201.70 |     0 |     0 |     0 |  148.55 |    0.00 |    0.00 |     0 | 0.00 || -3.02969 1.18987 -1.69091 30.48064 103.75602 -10.78850
   8 | 13672 | -3.02 | 1838.90 |     0 |     0 |     0 |  410.47 |    0.00 |    0.00 |     0 | 0.00 || 1.51649 -0.35712 1.51000 0.08970 97.35754 -32.11320
   9 | 13626 | -3.54 | 2227.40 |     0 |     0 |     0 |   91.88 |    0.00 |    0.00 |     0 | 0.00 || -1.64513 0.33261 -0.40243 -46.09379 129.35103 53.30370
  10 | 13620 | -3.37 | 2236.40 |     0 |     0 |     0 |  -12.41 |    0.00 |    0.00 |     0 | 0.00 || -0.01024 0.34082 1.92059 20.01661 146.99071 -1.08507
  11 | 13534 | -3.14 | 1799.30 |     0 |     0 |     0 |  460.45 |    0.00 |    0.00 |     0 | 0.00 || -1.73102 -1.00978 -2.02043 -0.76287 50.69513 5.82283
  12 | 13522 | -3.12 | 1916.40 |     0 |     0 |     0 |  321.50 |    0.00 |    0.00 |     0 | 0.00 || -2.26455 -0.87113 -0.75353 21.42319 109.12604 16.05378
  13 | 13360 | -3.18 | 2042.20 |     0 |     0 |     0 |  419.66 |    0.00 |    0.00 |     0 | 0.00 || -2.73391 0.24904 0.44817 -61.32683 170.14384 3.06419
  14 | 13332 | -3.81 | 2724.10 |     0 |     0 |     0 |  349.98 |    0.00 |    0.00 |     0 | 0.00 || 2.58837 0.74288 0.54771 5.09134 165.66812 -10.69308
  15 | 13272 | -3.61 | 1872.50 |     0 |     0 |     0 |  335.46 |    0.00 |    0.00 |     0 | 0.00 || -1.68340 -0.01599 2.64371 -52.66327 106.18243 51.74081
  16 | 13196 | -3.54 | 2043.00 |     0 |     0 |     0 |  209.45 |    0.00 |    0.00 |     0 | 0.00 || -1.09084 -0.19916 -2.35071 -67.99484 112.81114 42.91137
  17 | 13136 | -3.08 | 1664.80 |     0 |     0 |     0 |  466.22 |    0.00 |    0.00 |     0 | 0.00 || -1.26899 -0.50339 1.67745 -34.95072 151.01901 51.91270
  18 | 13098 | -3.59 | 1866.80 |     0 |     0 |     0 |  310.47 |    0.00 |    0.00 |     0 | 0.00 || 0.82020 -0.37648 -2.46952 -61.73787 151.86369 -50.10289
  19 | 12980 | -3.41 | 1786.20 |     0 |     0 |     0 |  435.91 |    0.00 |    0.00 |     0 | 0.00 || -0.89377 -0.55200 -0.51674 10.99888 61.07276 67.86540
  20 | 12896 | -3.43 | 2057.00 |     0 |     0 |     0 |   18.24 |    0.00 |    0.00 |     0 | 0.00 || 1.17386 -0.04635 -2.03351 -34.89220 114.41581 -29.99280
  21 | 12884 | -2.99 | 1833.70 |     0 |     0 |     0 |  112.32 |    0.00 |    0.00 |     0 | 0.00 || -0.61553 -0.89388 1.63827 11.05350 156.89636 3.67869
  22 | 12880 | -3.56 | 2123.30 |     0 |     0 |     0 |  341.79 |    0.00 |    0.00 |     0 | 0.00 || 2.23852 0.63448 -2.13037 15.45677 55.45963 -30.50038
  23 | 12868 | -4.16 | 2313.60 |     0 |     0 |     0 |  415.25 |    0.00 |    0.00 |     0 | 0.00 || -0.85002 -1.08306 2.39508 -7.92896 166.95062 30.96862
  24 | 12830 | -3.90 | 1931.60 |     0 |     0 |     0 |  151.86 |    0.00 |    0.00 |     0 | 0.00 || 2.96232 1.10754 -2.37451 27.76343 48.79505 20.93055
  25 | 12820 | -3.30 | 1890.90 |     0 |     0 |     0 |  441.55 |    0.00 |    0.00 |     0 | 0.00 || 0.62255 0.20336 -1.35688 -71.14424 97.88020 1.52415
  26 | 12766 | -3.20 | 1851.80 |     0 |     0 |     0 |   24.73 |    0.00 |    0.00 |     0 | 0.00 || -2.00753 0.82706 -2.10986 6.01361 124.34830 37.38337
  27 | 12688 | -3.22 | 1940.80 |     0 |     0 |     0 |  297.98 |    0.00 |    0.00 |     0 | 0.00 || 1.90189 0.96087 -2.09780 -12.07730 49.27380 -13.22927
  28 | 12654 | -3.75 | 2107.00 |     0 |     0 |     0 |  329.44 |    0.00 |    0.00 |     0 | 0.00 || -2.22834 0.50593 3.05784 -26.78534 70.46118 36.32219
  29 | 12624 | -3.76 | 1892.10 |     0 |     0 |     0 |  374.24 |    0.00 |    0.00 |     0 | 0.00 || 0.14240 -0.60616 0.37537 -10.38821 53.75326 -11.67486
  30 | 12598 | -3.10 | 1846.00 |     0 |     0 |     0 |  405.33 |    0.00 |    0.00 |     0 | 0.00 || -0.80847 0.43633 -1.12227 -79.68694 111.05807 39.89838
  31 | 12586 | -3.98 | 2033.40 |     0 |     0 |     0 |   42.05 |    0.00 |    0.00 |     0 | 0.00 || -2.20028 0.36420 -1.67820 4.61522 109.17515 39.89490
  32 | 12568 | -3.49 | 1777.30 |     0 |     0 |     0 |  342.76 |    0.00 |    0.00 |     0 | 0.00 || -0.50142 -0.75303 1.96228 40.12057 155.43555 -7.99300
  33 | 12566 | -3.32 | 1892.90 |     0 |     0 |     0 |  262.81 |    0.00 |    0.00 |     0 | 0.00 || -0.60523 -0.05691 1.05692 10.96899 92.82289 29.99533
  34 | 12528 | -3.70 | 1907.70 |     0 |     0 |     0 |  249.61 |    0.00 |    0.00 |     0 | 0.00 || 0.70239 -0.53689 0.57450 -2.42547 81.27849 -4.94375
  35 | 12426 | -3.15 | 1744.70 |     0 |     0 |     0 |  405.63 |    0.00 |    0.00 |     0 | 0.00 || 1.69186 0.13141 -1.15301 -33.88385 99.91896 -71.36384
  36 | 12380 | -3.41 | 1963.10 |     0 |     0 |     0 |  493.66 |    0.00 |    0.00 |     0 | 0.00 || -1.96823 -1.14025 -2.58805 -67.64359 60.46923 4.36198
  37 | 12266 | -3.66 | 1847.50 |     0 |     0 |     0 |  302.06 |    0.00 |    0.00 |     0 | 0.00 || -3.10581 0.32056 2.49315 -82.71342 69.73828 -12.80144
  38 | 12236 | -3.57 | 2295.00 |     0 |     0 |     0 |  123.79 |    0.00 |    0.00 |     0 | 0.00 || 1.48369 -0.21813 1.77915 1.96170 116.53436 -34.26125
  39 | 12208 | -3.17 | 1588.20 |     0 |     0 |     0 |  444.73 |    0.00 |    0.00 |     0 | 0.00 || -1.44740 -0.23799 1.94218 -4.15372 121.55692 79.43885
  40 | 12156 | -3.56 | 1971.60 |     0 |     0 |     0 |  114.50 |    0.00 |    0.00 |     0 | 0.00 || -0.17726 0.73599 1.91066 23.87022 139.05396 2.51662
  41 | 12116 | -3.20 | 1693.80 |     0 |     0 |     0 |  370.41 |    0.00 |    0.00 |     0 | 0.00 || 0.66342 -0.19595 -0.85665 -50.08955 78.90118 -5.33112
  42 | 12098 | -4.26 | 2185.80 |     0 |     0 |     0 |  315.83 |    0.00 |    0.00 |     0 | 0.00 || -0.88184 -0.54274 0.79275 12.55684 111.53455 33.36162
  43 | 12090 | -3.67 | 1824.60 |     0 |     0 |     0 |  174.98 |    0.00 |    0.00 |     0 | 0.00 || -2.95602 1.10231 2.83886 -14.27761 46.10959 27.73737
  44 | 12084 | -3.50 | 1803.40 |     0 |     0 |     0 |  360.75 |    0.00 |    0.00 |     0 | 0.00 || 1.29589 0.28041 2.57271 -9.45553 148.67422 -29.30874
  45 | 12058 | -3.47 | 2015.20 |     0 |     0 |     0 |  436.91 |    0.00 |    0.00 |     0 | 0.00 || -0.58828 0.01179 -1.62757 -47.21533 105.28188 64.16529
  46 | 12000 | -3.88 | 2233.50 |     0 |     0 |     0 |   98.10 |    0.00 |    0.00 |     0 | 0.00 || 0.84025 -1.08218 -1.50527 -47.02459 136.85098 -12.58765
  47 | 11970 | -3.19 | 1778.10 |     0 |     0 |     0 |  466.09 |    0.00 |    0.00 |     0 | 0.00 || -3.00453 -0.36979 3.02893 -12.26083 37.32992 18.61842
  48 | 11828 | -4.11 | 2107.10 |     0 |     0 |     0 |   57.74 |    0.00 |    0.00 |     0 | 0.00 || -2.78841 -0.10146 0.48827 -10.74140 164.01260 21.77658
  49 | 11824 | -3.13 | 1616.60 |     0 |     0 |     0 |  350.75 |    0.00 |    0.00 |     0 | 0.00 || 0.16258 0.17649 1.35173 44.63979 110.48714 31.53078
  50 | 11728 | -2.88 | 1526.60 |     0 |     0 |     0 |  356.60 |    0.00 |    0.00 |     0 | 0.00 || -3.03806 0.63166 -2.37568 36.13211 60.06322 30.78520
  51 | 11712 | -3.05 | 1714.10 |     0 |     0 |     0 |  255.21 |    0.00 |    0.00 |     0 | 0.00 || -2.65320 0.70518 1.77870 -50.82428 88.44521 -0.30976
  52 | 11672 | -3.54 | 1804.60 |     0 |     0 |     0 |  123.13 |    0.00 |    0.00 |     0 | 0.00 || -1.21084 -0.73458 0.10432 8.49302 104.10439 36.28549
  53 | 11644 | -3.74 | 1873.70 |     0 |     0 |     0 |  420.64 |    0.00 |    0.00 |     0 | 0.00 || -1.37381 0.45028 -1.31587 -26.74825 137.91927 91.57076
  54 | 11584 | -3.40 | 1761.80 |     0 |     0 |     0 |   27.85 |    0.00 |    0.00 |     0 | 0.00 || 2.32664 0.30705 -1.22916 48.67439 91.33092 -30.43801
  55 | 11568 | -2.89 | 1482.50 |     0 |     0 |     0 |   18.60 |    0.00 |    0.00 |     0 | 0.00 || 1.92039 -0.37273 -1.71355 1.00670 164.97717 -39.04108
  56 | 11564 | -3.04 | 1759.70 |     0 |     0 |     0 |    0.18 |    0.00 |    0.00 |     0 | 0.00 || 0.70759 0.36152 -1.89833 -75.20396 115.76352 1.57420
  57 | 11554 | -2.96 | 1498.30 |     0 |     0 |     0 |  482.65 |    0.00 |    0.00 |     0 | 0.00 || -3.03921 0.61585 -1.43354 28.27647 116.76399 -7.11436
  58 | 11524 | -3.67 | 1815.60 |     0 |     0 |     0 |  481.18 |    0.00 |    0.00 |     0 | 0.00 || 2.90150 -0.14540 -0.67053 43.00340 139.79065 -3.53829
  59 | 11524 | -4.43 | 2056.90 |     0 |     0 |     0 |  348.86 |    0.00 |    0.00 |     0 | 0.00 || -3.07968 -0.88654 1.87924 -65.19727 88.55420 17.41771
  60 | 11486 | -3.84 | 2063.10 |     0 |     0 |     0 |  307.66 |    0.00 |    0.00 |     0 | 0.00 || 1.77426 0.36423 0.72510 -20.14293 134.21332 -65.89837
  61 | 11456 | -3.15 | 1719.70 |     0 |     0 |     0 |  337.67 |    0.00 |    0.00 |     0 | 0.00 || -1.95035 -0.43935 -0.23884 -9.41019 139.46054 55.60107
  62 | 11424 | -3.73 | 1836.50 |     0 |     0 |     0 |  450.39 |    0.00 |    0.00 |     0 | 0.00 || 2.43989 -0.58429 1.88910 -71.00597 72.53891 -62.69109
  63 | 11424 | -3.14 | 1674.50 |     0 |     0 |     0 |  426.73 |    0.00 |    0.00 |     0 | 0.00 || 0.96903 -0.41335 1.02757 19.98874 76.01622 -15.17295
  64 | 11422 | -2.98 | 1657.70 |     0 |     0 |     0 |  182.90 |    0.00 |    0.00 |     0 | 0.00 || -0.70728 1.14008 -2.73960 -21.98216 163.80876 24.11292
  65 | 11416 | -3.34 | 1500.20 |     0 |     0 |     0 |  368.25 |    0.00 |    0.00 |     0 | 0.00 || -0.74054 1.18287 2.73698 13.07188 144.20033 20.27580
  66 | 11398 | -2.91 | 1564.30 |     0 |     0 |     0 |  132.43 |    0.00 |    0.00 |     0 | 0.00 || -0.21341 -0.21021 2.11684 42.65164 107.31866 26.93160
  67 | 11394 | -3.46 | 1771.70 |     0 |     0 |     0 |  183.84 |    0.00 |    0.00 |     0 | 0.00 || -2.31303 -0.71343 1.92710 -89.87654 132.47412 9.48916
  68 | 11394 | -3.73 | 2032.60 |     0 |     0 |     0 |  333.68 |    0.00 |    0.00 |     0 | 0.00 || -0.64021 0.09375 0.44336 -14.16752 43.84395 28.48553
  69 | 11372 | -3.68 | 1693.00 |     0 |     0 |     0 |  336.54 |    0.00 |    0.00 |     0 | 0.00 || 1.76875 -0.31418 -1.90911 -30.59177 123.93738 -71.58208
  70 | 11348 | -2.90 | 1588.60 |     0 |     0 |     0 |  160.98 |    0.00 |    0.00 |     0 | 0.00 || 1.02702 -0.51721 -0.25493 -34.25859 75.46706 -19.91501
  71 | 11312 | -3.34 | 2039.40 |     0 |     0 |     0 |  486.21 |    0.00 |    0.00 |     0 | 0.00 || 2.94817 1.04977 2.13745 -100.72339 97.37973 -13.47117
