*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1GL1_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1GL1/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1GL1_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 10044 | -3.03 | 1255.70 |     0 |     0 |     0 |   76.82 |    0.00 |    0.00 |     0 | 0.00 || 1.83369 -0.41879 1.02475 -34.71784 1.20613 -60.82870
   2 |  9900 | -3.30 | 1267.70 |     0 |     0 |     0 | -168.13 |    0.00 |    0.00 |     0 | 0.00 || 1.62263 0.48118 0.89452 35.38057 70.16138 -77.30965
   3 |  9848 | -2.70 | 1146.70 |     0 |     0 |     0 |  131.16 |    0.00 |    0.00 |     0 | 0.00 || -0.72264 0.33247 3.05426 96.52116 108.03430 39.41669
   4 |  9590 | -3.24 | 1464.30 |     0 |     0 |     0 |  -81.57 |    0.00 |    0.00 |     0 | 0.00 || -0.09078 -0.30628 0.79886 67.17276 -5.86131 28.37260
   5 |  9556 | -2.78 | 1224.20 |     0 |     0 |     0 |  341.22 |    0.00 |    0.00 |     0 | 0.00 || 2.42977 1.08688 -2.54622 36.82944 -13.33545 -71.59848
   6 |  9504 | -2.62 | 1106.70 |     0 |     0 |     0 |  127.17 |    0.00 |    0.00 |     0 | 0.00 || -0.92843 0.16718 2.03572 75.79813 46.55267 72.97256
   7 |  9340 | -3.01 | 1274.80 |     0 |     0 |     0 |   11.66 |    0.00 |    0.00 |     0 | 0.00 || 0.55203 -0.18149 -1.31326 -32.40255 91.51195 -29.93129
   8 |  9242 | -3.51 | 1321.60 |     0 |     0 |     0 |   21.44 |    0.00 |    0.00 |     0 | 0.00 || 0.02512 0.44172 -2.53110 -3.17649 150.39697 -15.47606
   9 |  8980 | -2.85 | 1216.70 |     0 |     0 |     0 |  126.95 |    0.00 |    0.00 |     0 | 0.00 || 0.80386 -0.88050 -1.56051 -25.35762 134.62775 4.85047
  10 |  8948 | -3.43 | 1332.80 |     0 |     0 |     0 | -234.37 |    0.00 |    0.00 |     0 | 0.00 || -2.77845 0.40625 0.81408 -39.80715 83.05865 2.48749
  11 |  8926 | -2.37 |  987.90 |     0 |     0 |     0 |   65.21 |    0.00 |    0.00 |     0 | 0.00 || 3.07032 0.16406 0.84864 -72.77829 88.40216 -13.07675
  12 |  8900 | -3.42 | 1341.10 |     0 |     0 |     0 |  187.36 |    0.00 |    0.00 |     0 | 0.00 || -2.36841 0.30234 -0.11426 -20.04697 126.63026 53.67323
  13 |  8882 | -3.01 | 1205.30 |     0 |     0 |     0 |   23.44 |    0.00 |    0.00 |     0 | 0.00 || -0.96937 0.22787 0.33474 -24.61662 -7.76607 59.18218
  14 |  8854 | -2.89 | 1112.10 |     0 |     0 |     0 |   87.60 |    0.00 |    0.00 |     0 | 0.00 || 2.84626 0.00497 -1.88796 116.27202 74.55813 -17.78003
  15 |  8838 | -2.95 | 1332.60 |     0 |     0 |     0 |  123.35 |    0.00 |    0.00 |     0 | 0.00 || -2.34365 -0.35128 1.64406 -38.94313 33.98320 78.75185
  16 |  8836 | -3.49 | 1302.80 |     0 |     0 |     0 |  -65.61 |    0.00 |    0.00 |     0 | 0.00 || 3.08820 0.63766 -0.09898 10.07313 146.77284 -18.79983
  17 |  8798 | -3.36 | 1482.10 |     0 |     0 |     0 |   63.90 |    0.00 |    0.00 |     0 | 0.00 || 1.03588 -0.85360 -2.16027 37.16087 149.98218 -9.24422
  18 |  8772 | -3.52 | 1228.00 |     0 |     0 |     0 |  342.05 |    0.00 |    0.00 |     0 | 0.00 || -1.89421 -0.45787 2.48568 6.58991 32.55822 99.79167
  19 |  8746 | -3.32 | 1347.00 |     0 |     0 |     0 |  -47.81 |    0.00 |    0.00 |     0 | 0.00 || 2.09551 0.07057 1.73719 17.83385 28.56113 -73.45412
