*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1GLA_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1GLA/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1GLA_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 13474 | -2.64 | 1655.80 |     0 |     0 |     0 |  374.64 |    0.00 |    0.00 |     0 | 0.00 || -2.35221 -0.05745 -0.61479 26.66494 60.36806 81.10400
   2 | 12354 | -2.79 | 1466.40 |     0 |     0 |     0 |  374.67 |    0.00 |    0.00 |     0 | 0.00 || 0.56015 -0.50892 -2.65911 15.71758 89.97418 -34.71142
   3 | 12324 | -2.53 | 1419.40 |     0 |     0 |     0 |  345.12 |    0.00 |    0.00 |     0 | 0.00 || 0.34370 0.14842 0.90950 46.80474 73.05658 -21.18629
   4 | 12020 | -3.09 | 1664.50 |     0 |     0 |     0 |  405.02 |    0.00 |    0.00 |     0 | 0.00 || -3.05908 -0.77951 1.90128 -40.29468 39.77026 23.74493
   5 | 11970 | -2.94 | 1557.30 |     0 |     0 |     0 |  367.84 |    0.00 |    0.00 |     0 | 0.00 || -2.81093 0.17607 -0.68024 29.20115 29.29945 54.78176
   6 | 11944 | -2.84 | 1495.20 |     0 |     0 |     0 |  252.79 |    0.00 |    0.00 |     0 | 0.00 || -1.98374 -0.11952 -2.82734 -15.40090 22.90303 54.68581
   7 | 11844 | -2.78 | 1443.50 |     0 |     0 |     0 |  268.08 |    0.00 |    0.00 |     0 | 0.00 || 1.61280 0.81646 0.97129 1.02428 123.74286 4.75559
   8 | 11774 | -3.05 | 1730.30 |     0 |     0 |     0 |  423.03 |    0.00 |    0.00 |     0 | 0.00 || 0.43328 -0.72994 -0.09153 -10.12712 54.37107 -24.50028
   9 | 11766 | -2.63 | 1560.50 |     0 |     0 |     0 |  209.82 |    0.00 |    0.00 |     0 | 0.00 || -2.86605 0.67900 -0.87010 58.73920 98.51881 42.08120
  10 | 11758 | -3.96 | 1859.90 |     0 |     0 |     0 | -255.98 |    0.00 |    0.00 |     0 | 0.00 || 0.69913 -0.85443 0.44739 -29.35677 25.90897 -57.42759
