*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1GPW_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1GPW/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1GPW_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 12878 | -3.23 | 2151.60 |     0 |     0 |     0 |  132.61 |    0.00 |    0.00 |     0 | 0.00 || -2.87958 -0.03635 -0.28371 -5.36468 -1.51556 121.63170
   2 | 12794 | -4.03 | 1945.40 |     0 |     0 |     0 |  398.22 |    0.00 |    0.00 |     0 | 0.00 || -1.57084 -0.26222 -2.94538 10.26779 26.48920 106.54137
   3 | 12624 | -3.15 | 1798.90 |     0 |     0 |     0 |  182.81 |    0.00 |    0.00 |     0 | 0.00 || 0.23270 0.03100 0.19542 2.13719 7.54485 -0.34346
   4 | 12464 | -3.12 | 1949.30 |     0 |     0 |     0 |  403.04 |    0.00 |    0.00 |     0 | 0.00 || 0.03544 -0.87552 -1.64868 -7.80808 58.30962 25.67441
   5 | 12160 | -3.26 | 1883.50 |     0 |     0 |     0 |  329.11 |    0.00 |    0.00 |     0 | 0.00 || -0.43511 0.66215 2.73318 14.40195 18.01556 52.93160
   6 | 11884 | -2.76 | 1499.10 |     0 |     0 |     0 |  230.37 |    0.00 |    0.00 |     0 | 0.00 || 1.54780 -0.49106 1.90816 -19.63232 -54.41191 68.61712
   7 | 11872 | -2.72 | 1573.80 |     0 |     0 |     0 |  287.44 |    0.00 |    0.00 |     0 | 0.00 || 1.26997 1.25165 2.53083 -28.69020 6.06681 10.06208
   8 | 11850 | -2.87 | 1527.60 |     0 |     0 |     0 |  229.73 |    0.00 |    0.00 |     0 | 0.00 || -0.28032 0.11321 1.86733 28.18460 21.43760 8.49562
   9 | 11844 | -3.12 | 1802.40 |     0 |     0 |     0 |  143.32 |    0.00 |    0.00 |     0 | 0.00 || -0.63459 -0.12866 2.33812 40.49491 33.81520 21.23800
  10 | 11838 | -3.26 | 1568.20 |     0 |     0 |     0 |  122.56 |    0.00 |    0.00 |     0 | 0.00 || -1.75999 -0.80165 -2.48566 -16.81446 34.04754 57.51463
