*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1GXD_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1GXD/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1GXD_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 16976 | -3.82 | 2770.50 |     0 |     0 |     0 | -151.92 |    0.00 |    0.00 |     0 | 0.00 || -0.72575 -0.77114 2.91035 137.85626 101.59756 51.98581
   2 | 16210 | -3.01 | 2170.20 |     0 |     0 |     0 |  429.43 |    0.00 |    0.00 |     0 | 0.00 || 2.72643 1.47590 -3.13375 90.46403 23.98421 -57.60175
   3 | 15872 | -3.72 | 2251.30 |     0 |     0 |     0 |  270.35 |    0.00 |    0.00 |     0 | 0.00 || 0.01188 -0.04507 -0.25327 -30.51195 56.84708 -11.28465
   4 | 15810 | -3.45 | 2219.60 |     0 |     0 |     0 |  327.96 |    0.00 |    0.00 |     0 | 0.00 || -2.83744 0.98828 2.22429 72.13963 16.26455 6.67252
   5 | 15766 | -4.42 | 2978.50 |     0 |     0 |     0 |  406.42 |    0.00 |    0.00 |     0 | 0.00 || 1.33282 1.09710 -2.51226 93.32185 29.48054 -57.73694
   6 | 15764 | -3.59 | 2868.20 |     0 |     0 |     0 |   21.35 |    0.00 |    0.00 |     0 | 0.00 || 1.76485 -1.07424 -2.76372 105.77652 29.53350 56.96320
   7 | 15688 | -3.46 | 2526.70 |     0 |     0 |     0 |  204.83 |    0.00 |    0.00 |     0 | 0.00 || 3.10433 0.57532 2.22728 127.49129 -4.20007 18.87927
   8 | 15302 | -4.04 | 2749.30 |     0 |     0 |     0 |  217.77 |    0.00 |    0.00 |     0 | 0.00 || 1.67822 1.17985 -3.00385 93.51688 9.30228 -50.38260
   9 | 15292 | -3.35 | 2330.00 |     0 |     0 |     0 | -193.25 |    0.00 |    0.00 |     0 | 0.00 || -0.56164 -0.05300 -2.88773 133.97946 118.69674 -9.55722
  10 | 15242 | -3.28 | 2707.80 |     0 |     0 |     0 |  -33.43 |    0.00 |    0.00 |     0 | 0.00 || -2.48128 -0.94079 0.67947 61.36065 78.09711 99.59007
  11 | 15234 | -3.62 | 2812.50 |     0 |     0 |     0 |  191.00 |    0.00 |    0.00 |     0 | 0.00 || 3.08537 0.97115 2.85335 123.53373 16.33138 -25.67620
  12 | 15172 | -2.84 | 1860.40 |     0 |     0 |     0 |  260.22 |    0.00 |    0.00 |     0 | 0.00 || -2.00829 -0.81875 -0.47954 16.12360 26.68274 110.06597
  13 | 15096 | -3.28 | 2162.00 |     0 |     0 |     0 |  460.75 |    0.00 |    0.00 |     0 | 0.00 || 0.98046 1.22909 -2.19808 50.47767 37.64083 -29.86865
  14 | 15082 | -3.72 | 2358.80 |     0 |     0 |     0 |  -64.52 |    0.00 |    0.00 |     0 | 0.00 || -1.50117 -0.75486 2.69628 107.39979 110.18539 86.38478
  15 | 15062 | -4.22 | 2319.00 |     0 |     0 |     0 |   89.33 |    0.00 |    0.00 |     0 | 0.00 || 2.23289 0.99717 -1.26043 72.83109 162.45551 -16.07632
  16 | 14984 | -3.05 | 1785.40 |     0 |     0 |     0 |  286.15 |    0.00 |    0.00 |     0 | 0.00 || 0.65996 -0.53780 0.81057 -15.62321 -2.68549 48.04576
  17 | 14920 | -4.17 | 2569.40 |     0 |     0 |     0 |  238.54 |    0.00 |    0.00 |     0 | 0.00 || 0.60523 0.05842 -0.11179 -26.32189 65.13624 -16.26664
  18 | 14868 | -2.94 | 1957.00 |     0 |     0 |     0 |  150.47 |    0.00 |    0.00 |     0 | 0.00 || -1.45581 -0.00647 2.57726 149.31905 59.68446 -5.09120
  19 | 14724 | -4.38 | 3012.00 |     0 |     0 |     0 | -219.00 |    0.00 |    0.00 |     0 | 0.00 || 2.65706 0.33306 -1.79530 93.73883 156.77455 44.26070
  20 | 14622 | -4.05 | 2973.60 |     0 |     0 |     0 |  317.24 |    0.00 |    0.00 |     0 | 0.00 || 0.85963 0.11430 0.02710 -25.08012 102.81564 8.41019
  21 | 14568 | -3.51 | 2108.90 |     0 |     0 |     0 |  456.91 |    0.00 |    0.00 |     0 | 0.00 || -3.04480 1.22252 2.72238 103.53618 80.24855 -36.42310
  22 | 14504 | -3.37 | 2244.00 |     0 |     0 |     0 | -115.80 |    0.00 |    0.00 |     0 | 0.00 || -1.10076 0.12555 -2.99003 110.39197 140.88431 -9.06461
  23 | 14490 | -4.18 | 2255.10 |     0 |     0 |     0 | -142.79 |    0.00 |    0.00 |     0 | 0.00 || -1.35404 -0.18431 -2.16147 74.78401 158.89026 41.85567
  24 | 14480 | -3.60 | 2418.10 |     0 |     0 |     0 |  134.27 |    0.00 |    0.00 |     0 | 0.00 || 2.29928 -0.04390 -0.51130 48.15988 133.59457 59.83920
  25 | 14470 | -4.16 | 2374.60 |     0 |     0 |     0 |  298.02 |    0.00 |    0.00 |     0 | 0.00 || 1.38879 -0.69598 2.63201 113.54385 0.60609 74.30878
  26 | 14254 | -3.70 | 2097.90 |     0 |     0 |     0 |  313.92 |    0.00 |    0.00 |     0 | 0.00 || -0.94436 -0.04179 -2.87508 130.87567 86.31497 9.01504
  27 | 14170 | -3.92 | 3093.40 |     0 |     0 |     0 |  110.32 |    0.00 |    0.00 |     0 | 0.00 || 1.45628 1.34802 2.73034 49.49875 -3.07030 -59.65227
  28 | 14162 | -3.70 | 2592.00 |     0 |     0 |     0 |   16.26 |    0.00 |    0.00 |     0 | 0.00 || -1.21131 -1.09521 1.02822 66.65840 -27.16921 93.42280
  29 | 14160 | -3.77 | 2082.00 |     0 |     0 |     0 |  202.17 |    0.00 |    0.00 |     0 | 0.00 || 1.03497 -0.00942 -0.60722 3.74467 151.76457 19.28096
  30 | 14158 | -3.59 | 2340.20 |     0 |     0 |     0 |  436.81 |    0.00 |    0.00 |     0 | 0.00 || -0.06914 -0.35202 -1.48332 27.36259 111.52471 -12.96502
  31 | 14150 | -3.37 | 2124.70 |     0 |     0 |     0 |  240.03 |    0.00 |    0.00 |     0 | 0.00 || 2.87614 0.05361 -2.57227 134.17397 110.96521 61.44500
  32 | 14132 | -4.03 | 2648.20 |     0 |     0 |     0 |  374.70 |    0.00 |    0.00 |     0 | 0.00 || -2.40696 -1.10916 -2.60036 26.21442 68.28107 110.69188
  33 | 14094 | -3.41 | 1927.70 |     0 |     0 |     0 |  -33.92 |    0.00 |    0.00 |     0 | 0.00 || -2.18699 0.43522 -1.96031 69.49796 161.79395 21.22127
  34 | 14058 | -4.60 | 2655.20 |     0 |     0 |     0 | -339.22 |    0.00 |    0.00 |     0 | 0.00 || -2.13389 0.22385 -0.09066 -38.70082 14.03196 27.03979
  35 | 14028 | -3.18 | 1933.30 |     0 |     0 |     0 |  102.17 |    0.00 |    0.00 |     0 | 0.00 || 2.43730 0.35239 1.80029 26.77134 -8.39996 62.68397
  36 | 14000 | -3.05 | 2134.70 |     0 |     0 |     0 |  473.62 |    0.00 |    0.00 |     0 | 0.00 || -1.66026 0.18378 -0.37184 -42.30471 36.91930 14.16633
  37 | 13982 | -4.09 | 2123.20 |     0 |     0 |     0 |   90.62 |    0.00 |    0.00 |     0 | 0.00 || 1.84075 -0.67445 3.12891 114.54375 37.09577 99.57520
  38 | 13946 | -3.78 | 2134.60 |     0 |     0 |     0 |  457.07 |    0.00 |    0.00 |     0 | 0.00 || 0.61400 -1.13550 -2.40011 78.38646 81.55939 67.55276
  39 | 13882 | -3.41 | 2044.50 |     0 |     0 |     0 | -116.12 |    0.00 |    0.00 |     0 | 0.00 || 3.06222 -1.01329 -0.77635 80.50896 74.74147 123.58337
