*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1H1V_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1H1V/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1H1V_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 17078 | -3.28 | 2356.70 |     0 |     0 |     0 |  119.76 |    0.00 |    0.00 |     0 | 0.00 || -2.07736 -0.60594 -0.94209 -10.01857 35.92203 72.14536
   2 | 16758 | -3.88 | 2380.40 |     0 |     0 |     0 |   79.51 |    0.00 |    0.00 |     0 | 0.00 || 2.55936 0.59387 1.53847 -33.16696 37.32806 85.27678
   3 | 16382 | -3.77 | 2361.90 |     0 |     0 |     0 |  190.58 |    0.00 |    0.00 |     0 | 0.00 || 2.13428 0.66077 1.13083 -28.60978 63.49197 53.04591
   4 | 16322 | -4.16 | 2657.60 |     0 |     0 |     0 |   22.73 |    0.00 |    0.00 |     0 | 0.00 || -0.23948 0.69811 0.88938 66.51167 45.54111 21.81104
   5 | 16294 | -2.64 | 1983.10 |     0 |     0 |     0 |  117.99 |    0.00 |    0.00 |     0 | 0.00 || 2.21047 0.36569 0.10490 11.68291 80.79447 106.37694
   6 | 16192 | -3.24 | 2242.30 |     0 |     0 |     0 |  199.66 |    0.00 |    0.00 |     0 | 0.00 || 1.23464 0.52351 0.17979 30.20160 96.11331 53.72853
   7 | 16142 | -3.35 | 2261.30 |     0 |     0 |     0 |  462.42 |    0.00 |    0.00 |     0 | 0.00 || 2.34111 -1.28361 -0.70209 62.52444 61.72503 37.01499
   8 | 16004 | -3.01 | 2321.70 |     0 |     0 |     0 |  474.06 |    0.00 |    0.00 |     0 | 0.00 || 2.30375 -0.64321 2.51710 -32.81662 45.75008 84.27673
   9 | 15870 | -3.89 | 2363.90 |     0 |     0 |     0 |  313.74 |    0.00 |    0.00 |     0 | 0.00 || 1.90451 -1.46435 -1.76429 75.94310 31.69553 35.17120
  10 | 15790 | -3.58 | 2568.60 |     0 |     0 |     0 |  -39.28 |    0.00 |    0.00 |     0 | 0.00 || -1.23209 0.22264 -1.75916 -49.26291 29.20593 54.69791
  11 | 15720 | -2.52 | 1779.50 |     0 |     0 |     0 |  410.56 |    0.00 |    0.00 |     0 | 0.00 || 1.36853 -1.39950 0.78918 -38.81976 100.58015 39.47989
  12 | 15718 | -3.52 | 2446.70 |     0 |     0 |     0 |   30.95 |    0.00 |    0.00 |     0 | 0.00 || 1.61796 0.83837 -0.28619 37.37678 75.82983 67.87102
  13 | 15696 | -3.28 | 2176.70 |     0 |     0 |     0 |  476.93 |    0.00 |    0.00 |     0 | 0.00 || 1.22930 0.86028 2.78571 -40.85579 8.75025 23.76368
  14 | 15580 | -3.74 | 2464.80 |     0 |     0 |     0 | -100.83 |    0.00 |    0.00 |     0 | 0.00 || 0.45940 -0.25983 3.07608 -0.79060 31.99227 7.81769
  15 | 15508 | -3.00 | 2070.00 |     0 |     0 |     0 |  -91.70 |    0.00 |    0.00 |     0 | 0.00 || 2.15591 0.27824 0.36056 -49.63925 83.67099 90.77699
  16 | 15472 | -3.48 | 2035.00 |     0 |     0 |     0 |  311.34 |    0.00 |    0.00 |     0 | 0.00 || 2.65451 -0.83057 -0.56321 75.48298 75.17589 84.55083
  17 | 15466 | -3.19 | 2199.80 |     0 |     0 |     0 |  172.16 |    0.00 |    0.00 |     0 | 0.00 || 1.65630 -0.93873 -3.03346 2.55034 -17.07862 27.17058
  18 | 15466 | -3.82 | 2797.80 |     0 |     0 |     0 |  143.90 |    0.00 |    0.00 |     0 | 0.00 || -1.17535 -0.34662 -1.02108 -26.56036 -2.05795 44.59700
  19 | 15450 | -3.43 | 2216.50 |     0 |     0 |     0 |   30.06 |    0.00 |    0.00 |     0 | 0.00 || 2.99442 0.11144 1.22543 -25.84580 49.62473 100.87135
  20 | 15426 | -3.88 | 2873.00 |     0 |     0 |     0 |  473.68 |    0.00 |    0.00 |     0 | 0.00 || 1.98113 0.30283 1.50448 -23.94378 52.57664 51.11067
  21 | 15418 | -3.79 | 2041.30 |     0 |     0 |     0 |   53.61 |    0.00 |    0.00 |     0 | 0.00 || -2.46496 0.84851 3.04052 40.57997 39.95522 87.44028
  22 | 15396 | -3.89 | 2434.40 |     0 |     0 |     0 |  426.79 |    0.00 |    0.00 |     0 | 0.00 || 2.26931 -0.94331 2.87193 -28.63131 34.94318 75.54293
  23 | 15396 | -3.79 | 2204.10 |     0 |     0 |     0 |  274.34 |    0.00 |    0.00 |     0 | 0.00 || -1.62417 -0.25666 -1.32253 -29.10086 16.44681 77.15392
  24 | 15324 | -3.04 | 2052.90 |     0 |     0 |     0 |  -12.35 |    0.00 |    0.00 |     0 | 0.00 || 0.82881 -0.02737 2.01431 -15.45733 47.51941 23.29329
  25 | 15248 | -3.56 | 2239.00 |     0 |     0 |     0 | -243.49 |    0.00 |    0.00 |     0 | 0.00 || -0.45654 0.20908 1.18252 40.91679 64.83600 26.58525
  26 | 15108 | -3.53 | 2383.40 |     0 |     0 |     0 |  173.91 |    0.00 |    0.00 |     0 | 0.00 || -2.83612 -0.37678 0.80908 35.48331 69.03306 99.17950
  27 | 15078 | -4.02 | 2353.30 |     0 |     0 |     0 |  148.45 |    0.00 |    0.00 |     0 | 0.00 || 2.45669 -1.32323 -0.29948 43.92701 84.64363 66.32990
  28 | 14944 | -3.43 | 2141.50 |     0 |     0 |     0 |  215.29 |    0.00 |    0.00 |     0 | 0.00 || -2.80456 -0.07428 0.77062 28.87653 56.76097 109.68825
  29 | 14846 | -2.95 | 2109.00 |     0 |     0 |     0 |  483.00 |    0.00 |    0.00 |     0 | 0.00 || -0.91379 -1.01055 -1.93145 -28.42621 106.43026 13.19137
  30 | 14844 | -3.63 | 2038.70 |     0 |     0 |     0 |  496.87 |    0.00 |    0.00 |     0 | 0.00 || 1.92215 -1.16462 -1.36315 75.91209 51.95711 34.80234
