*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1H9D_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1H9D/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1H9D_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 14884 | -3.31 | 2010.60 |     0 |     0 |     0 |  274.95 |    0.00 |    0.00 |     0 | 0.00 || -2.05194 0.33119 -0.33410 -28.36778 195.70027 173.49243
   2 | 14008 | -2.86 | 1773.60 |     0 |     0 |     0 |  358.80 |    0.00 |    0.00 |     0 | 0.00 || -1.67396 0.03308 -0.39315 -7.47755 128.34576 204.77353
   3 | 13054 | -3.86 | 1884.00 |     0 |     0 |     0 | -102.19 |    0.00 |    0.00 |     0 | 0.00 || -1.55455 -1.04231 -0.66773 128.67480 41.71133 217.89995
   4 | 12722 | -3.21 | 1625.10 |     0 |     0 |     0 | -156.59 |    0.00 |    0.00 |     0 | 0.00 || 2.66237 0.56943 0.39182 -28.21113 258.56226 -14.15419
   5 | 12312 | -2.67 | 1699.00 |     0 |     0 |     0 |  268.01 |    0.00 |    0.00 |     0 | 0.00 || -1.62811 -1.09097 -0.39958 174.63803 44.95294 212.48647
   6 | 12228 | -2.91 | 1436.80 |     0 |     0 |     0 |  203.50 |    0.00 |    0.00 |     0 | 0.00 || 0.34564 0.09234 -1.23286 -40.25797 184.10379 -67.41386
   7 | 12078 | -2.87 | 1606.10 |     0 |     0 |     0 |  213.79 |    0.00 |    0.00 |     0 | 0.00 || 0.37311 1.17642 1.52553 225.58679 194.60550 -83.71600
   8 | 11944 | -2.53 | 1376.70 |     0 |     0 |     0 |   61.25 |    0.00 |    0.00 |     0 | 0.00 || 2.22897 0.32567 -2.39641 254.29674 76.74999 -52.57396
   9 | 11918 | -3.07 | 1830.50 |     0 |     0 |     0 |   60.23 |    0.00 |    0.00 |     0 | 0.00 || -0.09367 -0.24971 -1.82754 -25.39177 287.55170 30.60241
  10 | 11890 | -3.41 | 1831.30 |     0 |     0 |     0 |   79.49 |    0.00 |    0.00 |     0 | 0.00 || -0.76025 0.32896 -2.18295 38.62660 325.49573 82.74944
  11 | 11828 | -3.13 | 1674.90 |     0 |     0 |     0 |  390.59 |    0.00 |    0.00 |     0 | 0.00 || 2.83579 -0.11578 1.11744 -83.06889 125.02135 81.13192
  12 | 11760 | -3.27 | 1770.40 |     0 |     0 |     0 |  356.75 |    0.00 |    0.00 |     0 | 0.00 || -0.85575 1.17270 -2.26044 54.12592 305.53540 -9.57210
  13 | 11696 | -2.79 | 1482.20 |     0 |     0 |     0 |  316.03 |    0.00 |    0.00 |     0 | 0.00 || -1.70912 -0.20257 3.06502 143.65390 165.20490 230.31519
  14 | 11632 | -3.36 | 1734.60 |     0 |     0 |     0 |  456.36 |    0.00 |    0.00 |     0 | 0.00 || 2.46943 -0.18139 2.76702 129.22206 -18.86859 7.09879
  15 | 11524 | -2.92 | 1433.80 |     0 |     0 |     0 |  360.62 |    0.00 |    0.00 |     0 | 0.00 || 1.40415 0.20041 0.50611 65.54545 126.36804 -117.27695
  16 | 11458 | -3.14 | 1463.20 |     0 |     0 |     0 |  389.35 |    0.00 |    0.00 |     0 | 0.00 || -2.48790 -0.64586 1.70356 23.37632 138.74391 230.06427
  17 | 11430 | -3.15 | 2083.60 |     0 |     0 |     0 | -320.16 |    0.00 |    0.00 |     0 | 0.00 || -0.19332 -0.07871 -0.81259 -83.00746 100.71674 29.83745
  18 | 11402 | -2.65 | 1392.10 |     0 |     0 |     0 |  256.07 |    0.00 |    0.00 |     0 | 0.00 || 1.24559 0.02298 1.00182 44.08680 64.68286 -123.55528
  19 | 11368 | -2.73 | 1399.80 |     0 |     0 |     0 |  355.29 |    0.00 |    0.00 |     0 | 0.00 || 3.08379 -0.95184 -3.04936 129.67456 -3.36032 169.76811
  20 | 11284 | -3.13 | 1723.60 |     0 |     0 |     0 |  177.10 |    0.00 |    0.00 |     0 | 0.00 || 1.21857 1.11180 0.98187 155.46594 224.52948 -108.24718
  21 | 11276 | -3.34 | 1739.60 |     0 |     0 |     0 |  288.78 |    0.00 |    0.00 |     0 | 0.00 || 2.61839 -0.42944 2.33391 49.43118 -50.72695 74.64908
  22 | 11192 | -4.12 | 1864.40 |     0 |     0 |     0 |  301.59 |    0.00 |    0.00 |     0 | 0.00 || 0.69987 0.54893 -0.79737 49.51026 92.64024 -122.03165
  23 | 11114 | -2.84 | 1569.90 |     0 |     0 |     0 |   36.00 |    0.00 |    0.00 |     0 | 0.00 || -1.89009 0.64553 2.90076 283.33014 114.30408 133.65338
  24 | 11110 | -3.17 | 1492.90 |     0 |     0 |     0 |  290.90 |    0.00 |    0.00 |     0 | 0.00 || 0.31513 -0.47526 3.02926 256.09183 241.55333 -1.50771
  25 | 11086 | -2.75 | 1492.50 |     0 |     0 |     0 |  412.98 |    0.00 |    0.00 |     0 | 0.00 || 0.30801 1.54718 -0.39175 132.41081 -7.61290 -15.02261
  26 | 11026 | -3.40 | 1681.00 |     0 |     0 |     0 |  408.68 |    0.00 |    0.00 |     0 | 0.00 || -2.39286 -1.38115 -0.75072 252.56955 94.93990 176.77954
  27 | 10974 | -3.39 | 1747.70 |     0 |     0 |     0 |  -56.24 |    0.00 |    0.00 |     0 | 0.00 || -2.73059 -0.06991 -0.34640 62.13726 288.36856 186.10245
  28 | 10948 | -3.67 | 1561.50 |     0 |     0 |     0 |   45.16 |    0.00 |    0.00 |     0 | 0.00 || -0.70401 0.94997 -2.69909 123.49622 334.01163 9.16991
  29 | 10948 | -2.61 | 1425.80 |     0 |     0 |     0 |   61.97 |    0.00 |    0.00 |     0 | 0.00 || -1.23363 -0.88942 -0.79015 49.96782 43.04396 211.31989
