*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1HIA_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1HIA/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1HIA_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 12544 | -3.01 | 1879.90 |     0 |     0 |     0 | -203.83 |    0.00 |    0.00 |     0 | 0.00 || -1.68141 -0.70890 -0.83875 20.73486 19.29433 23.38150
   2 | 10468 | -2.95 | 1466.10 |     0 |     0 |     0 |  187.94 |    0.00 |    0.00 |     0 | 0.00 || -2.58405 1.53709 2.85180 54.56533 9.70946 -19.79462
   3 | 10448 | -3.11 | 1525.60 |     0 |     0 |     0 |   50.02 |    0.00 |    0.00 |     0 | 0.00 || 1.54687 0.42488 1.68344 51.31861 27.10414 -27.61007
   4 | 10392 | -2.64 | 1269.50 |     0 |     0 |     0 |  107.17 |    0.00 |    0.00 |     0 | 0.00 || -2.34039 0.80619 -0.73465 11.28550 39.96835 -0.87658
   5 | 10340 | -3.02 | 1334.60 |     0 |     0 |     0 |  -20.73 |    0.00 |    0.00 |     0 | 0.00 || -0.58220 -0.26516 2.54674 66.96254 50.04377 14.27988
   6 | 10314 | -3.05 | 1302.10 |     0 |     0 |     0 |  161.16 |    0.00 |    0.00 |     0 | 0.00 || 0.79001 -0.18886 -1.34359 33.18403 43.53304 -11.66470
   7 | 10240 | -3.80 | 1637.40 |     0 |     0 |     0 |    4.60 |    0.00 |    0.00 |     0 | 0.00 || -1.80523 -0.52765 -1.41719 56.98380 24.77411 32.04119
   8 | 10224 | -3.04 | 1542.00 |     0 |     0 |     0 | -151.58 |    0.00 |    0.00 |     0 | 0.00 || -0.61813 0.97662 -2.64154 56.80012 46.88150 9.50577
   9 | 10178 | -2.53 | 1386.10 |     0 |     0 |     0 |  -22.47 |    0.00 |    0.00 |     0 | 0.00 || -1.05244 -0.75338 2.54370 15.28873 35.71793 19.91619
  10 | 10164 | -2.52 | 1220.90 |     0 |     0 |     0 |   79.66 |    0.00 |    0.00 |     0 | 0.00 || 2.85117 0.27610 1.84965 13.66315 15.62510 -30.20098
  11 | 10154 | -2.94 | 1392.30 |     0 |     0 |     0 |  -88.25 |    0.00 |    0.00 |     0 | 0.00 || -1.73527 -0.42177 2.77464 55.99366 20.32046 17.86894
