*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1IB1_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1IB1/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1IB1_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 20182 | -3.38 | 2796.10 |     0 |     0 |     0 |  179.53 |    0.00 |    0.00 |     0 | 0.00 || 2.57459 0.01337 0.42346 -36.51460 52.97499 79.00794
   2 | 19322 | -3.09 | 2440.40 |     0 |     0 |     0 |  456.39 |    0.00 |    0.00 |     0 | 0.00 || 2.75035 0.08264 -2.68325 174.21648 17.91549 89.22491
   3 | 17984 | -3.89 | 2797.10 |     0 |     0 |     0 |  282.45 |    0.00 |    0.00 |     0 | 0.00 || -2.52820 -0.13234 1.88025 98.50073 -38.15042 131.92918
   4 | 17658 | -3.31 | 2507.40 |     0 |     0 |     0 |  427.27 |    0.00 |    0.00 |     0 | 0.00 || -0.83526 -0.21057 -1.70777 7.74681 126.10049 49.33990
   5 | 17646 | -3.21 | 2545.20 |     0 |     0 |     0 |  280.45 |    0.00 |    0.00 |     0 | 0.00 || -2.65288 1.42401 -3.13320 154.37244 29.81166 -24.59793
   6 | 17292 | -3.84 | 2901.20 |     0 |     0 |     0 |  446.42 |    0.00 |    0.00 |     0 | 0.00 || -2.96560 0.16374 0.23339 -28.79327 35.14389 105.08929
   7 | 16354 | -3.82 | 2350.00 |     0 |     0 |     0 |  463.69 |    0.00 |    0.00 |     0 | 0.00 || -3.10503 0.72536 -3.04493 177.72638 6.25472 40.18877
   8 | 15880 | -4.78 | 3362.40 |     0 |     0 |     0 |  472.28 |    0.00 |    0.00 |     0 | 0.00 || 0.88139 -0.76616 -0.79990 10.82518 125.59561 57.10570
   9 | 15736 | -3.66 | 2474.20 |     0 |     0 |     0 |  431.65 |    0.00 |    0.00 |     0 | 0.00 || -0.53832 0.65733 -2.88143 91.94562 96.31343 -39.10016
  10 | 15554 | -4.33 | 2926.90 |     0 |     0 |     0 |  429.14 |    0.00 |    0.00 |     0 | 0.00 || 2.50465 -0.69541 0.45825 -3.33095 70.32141 124.97922
  11 | 15388 | -3.08 | 2090.70 |     0 |     0 |     0 |  496.86 |    0.00 |    0.00 |     0 | 0.00 || -0.69713 -0.37384 -0.86661 -29.13000 84.49599 27.13502
  12 | 15190 | -3.67 | 2244.10 |     0 |     0 |     0 |  370.78 |    0.00 |    0.00 |     0 | 0.00 || 1.26311 0.49612 -0.80239 74.60597 106.28197 -29.62645
  13 | 15120 | -4.68 | 2462.60 |     0 |     0 |     0 |  495.00 |    0.00 |    0.00 |     0 | 0.00 || -1.23868 0.76785 1.84301 153.81232 -22.59111 -5.27726
  14 | 15094 | -2.86 | 1856.20 |     0 |     0 |     0 |  392.27 |    0.00 |    0.00 |     0 | 0.00 || -1.32828 0.26985 -1.04187 -36.50002 71.09453 49.43283
  15 | 14920 | -3.17 | 2240.00 |     0 |     0 |     0 |  -35.97 |    0.00 |    0.00 |     0 | 0.00 || -1.00963 0.01730 -0.75406 -42.49264 29.97246 42.53594
  16 | 14884 | -4.12 | 2353.90 |     0 |     0 |     0 |  252.98 |    0.00 |    0.00 |     0 | 0.00 || 1.87734 0.46594 1.91053 28.95287 -48.75581 8.97699
  17 | 14846 | -3.13 | 1924.30 |     0 |     0 |     0 |  282.30 |    0.00 |    0.00 |     0 | 0.00 || -0.66699 -1.13415 -0.21033 -6.02154 -26.62755 110.94933
  18 | 14486 | -3.27 | 2489.70 |     0 |     0 |     0 |  408.48 |    0.00 |    0.00 |     0 | 0.00 || -0.03394 0.49812 -2.90308 102.33865 77.99178 -47.42148
  19 | 14278 | -3.77 | 2006.30 |     0 |     0 |     0 |  430.00 |    0.00 |    0.00 |     0 | 0.00 || 1.24832 -0.41517 -1.41415 109.30988 166.41769 0.62165
  20 | 14210 | -4.46 | 2853.60 |     0 |     0 |     0 |  306.81 |    0.00 |    0.00 |     0 | 0.00 || -0.45690 -0.15311 -1.17502 -21.92558 92.09337 20.52840
  21 | 14168 | -3.67 | 2065.90 |     0 |     0 |     0 |  414.27 |    0.00 |    0.00 |     0 | 0.00 || -0.49614 -0.71692 -1.33479 -11.25199 106.25284 80.94118
