*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1J2J_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1J2J/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1J2J_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 10438 | -2.75 | 1341.00 |     0 |     0 |     0 |  164.17 |    0.00 |    0.00 |     0 | 0.00 || -1.21766 1.01911 -1.13303 -28.33632 38.90752 15.19695
   2 | 10076 | -3.43 | 1347.20 |     0 |     0 |     0 |  362.83 |    0.00 |    0.00 |     0 | 0.00 || -0.91717 0.63307 -3.13539 26.90198 64.19939 -21.11234
   3 |  9968 | -3.67 | 1462.30 |     0 |     0 |     0 |  108.95 |    0.00 |    0.00 |     0 | 0.00 || -0.76899 -0.40025 1.91734 57.78748 21.21307 36.30876
   4 |  9880 | -2.73 | 1342.20 |     0 |     0 |     0 | -100.83 |    0.00 |    0.00 |     0 | 0.00 || 1.77991 -0.10606 -2.46772 56.44617 17.23781 -0.86831
   5 |  9660 | -3.01 | 1321.90 |     0 |     0 |     0 |  412.83 |    0.00 |    0.00 |     0 | 0.00 || 2.89204 0.15077 -2.32986 60.11700 19.16946 35.47825
   6 |  9432 | -2.68 | 1117.70 |     0 |     0 |     0 |  148.06 |    0.00 |    0.00 |     0 | 0.00 || 0.16132 -0.22847 -0.10154 -29.64587 -0.11740 -0.65682
   7 |  9290 | -3.02 | 1272.00 |     0 |     0 |     0 |  -19.62 |    0.00 |    0.00 |     0 | 0.00 || 1.42852 0.00685 -2.43711 43.88313 26.20028 -9.80509
   8 |  9276 | -3.35 | 1394.10 |     0 |     0 |     0 |  324.28 |    0.00 |    0.00 |     0 | 0.00 || 1.97258 1.09339 -0.76288 36.25210 46.37623 -13.01376
   9 |  9268 | -2.55 | 1230.60 |     0 |     0 |     0 |  485.48 |    0.00 |    0.00 |     0 | 0.00 || 3.03353 -0.36681 -3.03184 29.33254 20.47347 82.11246
  10 |  9268 | -2.61 | 1095.50 |     0 |     0 |     0 |  196.28 |    0.00 |    0.00 |     0 | 0.00 || 3.12569 -0.41187 -2.47116 38.24671 2.12133 57.44940
  11 |  9192 | -3.01 | 1314.40 |     0 |     0 |     0 |  159.66 |    0.00 |    0.00 |     0 | 0.00 || 3.13488 -0.03143 -0.39900 11.48227 61.30378 51.03469
  12 |  9184 | -2.69 | 1239.20 |     0 |     0 |     0 |  147.38 |    0.00 |    0.00 |     0 | 0.00 || 1.09580 -0.93881 2.13963 29.98477 -13.06892 15.38739
  13 |  9162 | -3.02 | 1508.60 |     0 |     0 |     0 |   78.03 |    0.00 |    0.00 |     0 | 0.00 || 1.85117 -0.20428 -1.70239 50.53625 49.16206 4.83145
