*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1JIW_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1JIW/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1JIW_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 13066 | -3.40 | 1908.10 |     0 |     0 |     0 |  378.55 |    0.00 |    0.00 |     0 | 0.00 || 1.27225 -0.73847 -0.26117 -23.31557 -7.98716 2.98485
   2 | 12744 | -2.84 | 1659.80 |     0 |     0 |     0 |  439.41 |    0.00 |    0.00 |     0 | 0.00 || 0.49609 -0.24704 -1.03318 -21.46433 24.67075 15.39314
   3 | 12252 | -3.15 | 1554.10 |     0 |     0 |     0 |  499.85 |    0.00 |    0.00 |     0 | 0.00 || 0.28902 0.97029 2.47448 118.53098 35.88562 -31.02779
   4 | 12040 | -3.28 | 1794.60 |     0 |     0 |     0 |  440.57 |    0.00 |    0.00 |     0 | 0.00 || 2.78263 -0.90591 1.39457 1.27461 -41.65043 12.83367
   5 | 11840 | -3.27 | 1775.30 |     0 |     0 |     0 |  109.11 |    0.00 |    0.00 |     0 | 0.00 || -0.04005 1.27455 -1.06953 -14.51718 59.21443 -80.74121
   6 | 11760 | -2.83 | 1543.20 |     0 |     0 |     0 |   17.51 |    0.00 |    0.00 |     0 | 0.00 || 0.88857 0.55830 2.61117 118.10537 44.75688 -42.23766
   7 | 11512 | -3.04 | 1656.80 |     0 |     0 |     0 |  469.53 |    0.00 |    0.00 |     0 | 0.00 || 2.45220 0.84900 -0.85890 88.31126 6.53568 -88.39066
   8 | 11508 | -3.26 | 1736.50 |     0 |     0 |     0 |  372.28 |    0.00 |    0.00 |     0 | 0.00 || -1.17758 -0.58993 -0.34310 40.70308 30.87170 77.02674
   9 | 11426 | -3.23 | 1779.40 |     0 |     0 |     0 |  435.67 |    0.00 |    0.00 |     0 | 0.00 || 0.47793 0.58968 -0.95694 -23.82714 19.73096 -21.98961
  10 | 11426 | -3.02 | 1514.20 |     0 |     0 |     0 | -109.74 |    0.00 |    0.00 |     0 | 0.00 || 1.07765 -0.39004 2.99727 131.18698 45.74713 -25.51660
  11 | 11330 | -3.02 | 1413.90 |     0 |     0 |     0 |  303.49 |    0.00 |    0.00 |     0 | 0.00 || 2.37795 -0.12278 0.72160 -6.17186 -7.08278 -50.85920
  12 | 11308 | -2.95 | 1584.30 |     0 |     0 |     0 |  345.25 |    0.00 |    0.00 |     0 | 0.00 || 1.02652 0.28779 2.68714 104.85501 47.41953 -41.14179
