*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1JMO_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1JMO/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1JMO_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 15156 | -3.12 | 2096.90 |     0 |     0 |     0 |  417.10 |    0.00 |    0.00 |     0 | 0.00 || -0.93639 -0.36935 1.09942 105.00069 -66.22888 130.49585
   2 | 13992 | -2.93 | 1677.40 |     0 |     0 |     0 |  359.07 |    0.00 |    0.00 |     0 | 0.00 || -1.66549 0.28045 -1.72086 -69.01615 147.82773 109.31470
   3 | 13566 | -4.30 | 1943.10 |     0 |     0 |     0 |  461.97 |    0.00 |    0.00 |     0 | 0.00 || 2.82431 -0.58407 -1.96506 122.55172 46.13587 223.77081
   4 | 13512 | -2.94 | 1956.20 |     0 |     0 |     0 |  469.34 |    0.00 |    0.00 |     0 | 0.00 || 2.41052 0.72086 2.63283 56.36948 -86.50441 150.17581
   5 | 13252 | -3.14 | 1784.30 |     0 |     0 |     0 |  457.23 |    0.00 |    0.00 |     0 | 0.00 || 2.66400 0.00624 3.00977 85.81218 -53.19743 168.48561
   6 | 13244 | -3.55 | 1920.90 |     0 |     0 |     0 |  434.62 |    0.00 |    0.00 |     0 | 0.00 || -0.43575 -0.32011 -2.22653 21.65359 192.91959 75.91032
   7 | 13178 | -3.13 | 1807.50 |     0 |     0 |     0 |  183.55 |    0.00 |    0.00 |     0 | 0.00 || -0.89515 -0.30272 0.76189 61.24999 -78.57143 120.87954
   8 | 13168 | -3.37 | 1843.70 |     0 |     0 |     0 |  468.22 |    0.00 |    0.00 |     0 | 0.00 || 3.10831 -0.48480 -1.31456 94.81326 93.67618 243.10875
   9 | 13162 | -3.08 | 1708.20 |     0 |     0 |     0 |  413.99 |    0.00 |    0.00 |     0 | 0.00 || -1.15915 -0.27238 -1.85852 -93.94581 197.28853 123.01396
  10 | 12932 | -3.32 | 1780.80 |     0 |     0 |     0 |  256.33 |    0.00 |    0.00 |     0 | 0.00 || -1.35299 0.84026 0.90001 95.87949 -64.55424 99.69357
  11 | 12872 | -2.99 | 1788.70 |     0 |     0 |     0 |  489.17 |    0.00 |    0.00 |     0 | 0.00 || -0.45933 -0.19678 2.19258 129.71706 65.25904 35.69339
  12 | 12864 | -2.72 | 1564.50 |     0 |     0 |     0 |  450.93 |    0.00 |    0.00 |     0 | 0.00 || 2.85075 -0.00130 -0.86688 46.52505 158.82925 186.47549
  13 | 12718 | -2.60 | 1551.00 |     0 |     0 |     0 |  475.15 |    0.00 |    0.00 |     0 | 0.00 || -1.07323 0.86125 1.27487 139.47287 -5.46616 75.49184
  14 | 12664 | -3.72 | 1834.90 |     0 |     0 |     0 |  367.02 |    0.00 |    0.00 |     0 | 0.00 || 1.29815 0.43730 0.78313 -59.11423 92.88063 -15.31499
  15 | 12642 | -2.81 | 1569.00 |     0 |     0 |     0 |  392.63 |    0.00 |    0.00 |     0 | 0.00 || 0.10289 -0.77834 1.31698 32.28753 -64.08389 46.17052
  16 | 12554 | -3.51 | 1737.20 |     0 |     0 |     0 |  403.51 |    0.00 |    0.00 |     0 | 0.00 || -1.19834 -0.07493 0.30577 3.87524 -95.72537 144.67377
  17 | 12504 | -3.47 | 1802.40 |     0 |     0 |     0 |  313.80 |    0.00 |    0.00 |     0 | 0.00 || 0.23204 -0.14176 -1.56144 -0.81230 179.15909 -6.72380
  18 | 12502 | -3.17 | 1933.80 |     0 |     0 |     0 |  430.76 |    0.00 |    0.00 |     0 | 0.00 || 1.84764 1.21975 0.39330 -34.29580 182.13889 7.68693
  19 | 12484 | -3.91 | 2139.70 |     0 |     0 |     0 |  402.14 |    0.00 |    0.00 |     0 | 0.00 || 1.72203 -0.22690 3.08711 119.88817 -55.06479 97.78163
  20 | 12348 | -3.58 | 1730.00 |     0 |     0 |     0 |  359.09 |    0.00 |    0.00 |     0 | 0.00 || 0.30920 0.69774 -1.31540 55.54341 48.39518 -55.29092
  21 | 12320 | -2.83 | 1622.30 |     0 |     0 |     0 |  366.02 |    0.00 |    0.00 |     0 | 0.00 || -2.40928 0.51740 0.65567 -39.57210 -71.55754 220.62445
  22 | 12318 | -2.95 | 1637.90 |     0 |     0 |     0 |  419.42 |    0.00 |    0.00 |     0 | 0.00 || -0.39507 1.38558 1.61150 96.31436 111.07693 13.66869
  23 | 12254 | -2.86 | 1556.50 |     0 |     0 |     0 |  201.73 |    0.00 |    0.00 |     0 | 0.00 || 2.13419 -0.22526 -2.72418 166.19516 -10.98394 152.60449
  24 | 12234 | -3.67 | 1664.20 |     0 |     0 |     0 |  449.38 |    0.00 |    0.00 |     0 | 0.00 || -0.55725 -0.58156 -1.87105 -51.32113 222.58722 85.61011
  25 | 12232 | -3.82 | 1922.00 |     0 |     0 |     0 |  367.46 |    0.00 |    0.00 |     0 | 0.00 || 1.86594 -0.66737 -2.84061 125.13902 -53.11444 189.07990
  26 | 12204 | -2.57 | 1440.50 |     0 |     0 |     0 |  498.17 |    0.00 |    0.00 |     0 | 0.00 || 1.35570 0.01332 1.06443 -110.09484 44.34434 3.45640
  27 | 12202 | -3.83 | 1761.50 |     0 |     0 |     0 |  234.37 |    0.00 |    0.00 |     0 | 0.00 || 2.98585 0.15280 0.97197 -86.16681 -19.72612 211.90173
  28 | 12174 | -3.13 | 1548.90 |     0 |     0 |     0 |  381.65 |    0.00 |    0.00 |     0 | 0.00 || -2.60698 -0.83060 -0.31051 83.20381 32.29540 230.22057
  29 | 12116 | -3.24 | 1816.40 |     0 |     0 |     0 |  497.07 |    0.00 |    0.00 |     0 | 0.00 || -1.42337 0.54236 -1.28028 -106.98568 76.81992 61.88889
  30 | 12064 | -4.53 | 2047.00 |     0 |     0 |     0 |  488.05 |    0.00 |    0.00 |     0 | 0.00 || -2.87826 0.62161 -0.65381 -52.83554 165.45155 164.99522
  31 | 12046 | -3.80 | 2174.10 |     0 |     0 |     0 |  357.38 |    0.00 |    0.00 |     0 | 0.00 || -0.61624 -0.13389 -1.58010 -71.92867 142.37309 76.14444
  32 | 12030 | -3.10 | 1526.40 |     0 |     0 |     0 |  338.55 |    0.00 |    0.00 |     0 | 0.00 || -0.70797 -0.63283 2.10654 173.39384 18.52968 133.43713
  33 | 11994 | -3.14 | 1626.90 |     0 |     0 |     0 |  203.86 |    0.00 |    0.00 |     0 | 0.00 || -1.32483 0.32292 1.27853 138.30196 -29.41528 124.86040
  34 | 11990 | -3.00 | 1448.40 |     0 |     0 |     0 |  324.77 |    0.00 |    0.00 |     0 | 0.00 || -0.58304 -0.39258 -0.31522 -57.35415 -28.54135 74.97841
  35 | 11984 | -2.74 | 1472.60 |     0 |     0 |     0 |  389.87 |    0.00 |    0.00 |     0 | 0.00 || 1.62299 1.51917 2.37923 -84.45171 -21.68385 -2.19792
  36 | 11946 | -3.10 | 1831.30 |     0 |     0 |     0 |  344.05 |    0.00 |    0.00 |     0 | 0.00 || -2.35709 -0.02940 -0.57962 -87.08507 72.99404 233.07965
  37 | 11934 | -3.10 | 1655.10 |     0 |     0 |     0 |  257.07 |    0.00 |    0.00 |     0 | 0.00 || -0.41646 -0.10288 1.79053 122.92928 -42.40223 24.36696
  38 | 11924 | -3.94 | 1879.70 |     0 |     0 |     0 |  348.82 |    0.00 |    0.00 |     0 | 0.00 || 1.58749 0.13495 2.47473 24.82929 -61.60614 52.30019
  39 | 11898 | -3.06 | 1680.60 |     0 |     0 |     0 |  489.82 |    0.00 |    0.00 |     0 | 0.00 || -2.29901 -1.10346 0.21316 113.22815 -2.12630 188.70871
  40 | 11894 | -2.80 | 1495.50 |     0 |     0 |     0 |  336.93 |    0.00 |    0.00 |     0 | 0.00 || -0.37361 -0.42101 -2.74555 102.44551 181.56223 82.11591
  41 | 11886 | -3.20 | 1679.50 |     0 |     0 |     0 |  122.50 |    0.00 |    0.00 |     0 | 0.00 || -0.74129 -0.70910 1.74605 162.54010 -7.20221 140.28375
  42 | 11884 | -3.15 | 1738.90 |     0 |     0 |     0 |  193.49 |    0.00 |    0.00 |     0 | 0.00 || -2.77589 -0.92497 -2.64862 -27.44357 27.25796 286.92487
  43 | 11836 | -3.26 | 1507.40 |     0 |     0 |     0 |  488.29 |    0.00 |    0.00 |     0 | 0.00 || 0.84177 1.04110 0.79756 56.20493 122.99611 7.70428
  44 | 11824 | -2.51 | 1346.00 |     0 |     0 |     0 |  434.21 |    0.00 |    0.00 |     0 | 0.00 || 1.88297 -0.38559 -1.13315 113.56250 133.56339 133.21223
  45 | 11792 | -3.08 | 1517.40 |     0 |     0 |     0 |  278.69 |    0.00 |    0.00 |     0 | 0.00 || -2.84823 -0.45120 -0.09036 46.26719 76.74556 243.81689
  46 | 11772 | -3.51 | 1506.40 |     0 |     0 |     0 |  269.05 |    0.00 |    0.00 |     0 | 0.00 || 2.82306 1.02591 2.47335 40.77029 -76.84785 114.97820
  47 | 11770 | -3.70 | 1784.80 |     0 |     0 |     0 |  260.24 |    0.00 |    0.00 |     0 | 0.00 || -0.35926 -0.29618 0.56111 -11.65394 -57.32944 67.10260
  48 | 11768 | -3.26 | 1595.20 |     0 |     0 |     0 |  297.74 |    0.00 |    0.00 |     0 | 0.00 || 2.09435 -0.80260 2.16498 -52.23096 -47.16866 150.49088
  49 | 11766 | -2.65 | 1460.70 |     0 |     0 |     0 |  446.98 |    0.00 |    0.00 |     0 | 0.00 || 0.98237 -0.38168 1.78459 -31.86502 -62.02208 77.66119
  50 | 11756 | -3.04 | 1580.20 |     0 |     0 |     0 |  387.18 |    0.00 |    0.00 |     0 | 0.00 || 2.90524 1.00647 -1.89987 143.24969 157.43971 150.73352
  51 | 11750 | -3.62 | 1925.80 |     0 |     0 |     0 |  430.55 |    0.00 |    0.00 |     0 | 0.00 || -1.12015 0.15584 2.60714 163.97322 117.83953 52.76735
  52 | 11692 | -3.12 | 1669.20 |     0 |     0 |     0 |   12.72 |    0.00 |    0.00 |     0 | 0.00 || -0.65231 0.10250 -0.24719 -49.92472 -19.65231 62.34795
  53 | 11658 | -2.86 | 1641.60 |     0 |     0 |     0 |  274.27 |    0.00 |    0.00 |     0 | 0.00 || 1.72099 -0.21940 -0.42960 -9.13830 238.31900 105.67553
  54 | 11618 | -2.57 | 1430.90 |     0 |     0 |     0 |  489.01 |    0.00 |    0.00 |     0 | 0.00 || 1.57182 0.57430 1.65342 -87.63661 12.27419 77.18917
  55 | 11594 | -4.25 | 1778.10 |     0 |     0 |     0 |  416.12 |    0.00 |    0.00 |     0 | 0.00 || -2.50631 1.28685 -2.87022 174.65479 122.17461 111.51009
  56 | 11584 | -2.77 | 1375.00 |     0 |     0 |     0 |  341.74 |    0.00 |    0.00 |     0 | 0.00 || 2.99841 -0.09891 -1.11423 84.85376 159.24060 231.05856
  57 | 11582 | -3.70 | 2049.30 |     0 |     0 |     0 |  411.97 |    0.00 |    0.00 |     0 | 0.00 || -0.74346 -0.04105 -0.76423 -104.05107 21.09326 83.36224
  58 | 11572 | -2.80 | 1651.00 |     0 |     0 |     0 |  490.54 |    0.00 |    0.00 |     0 | 0.00 || 2.84780 0.02302 1.99904 22.72853 -72.14365 231.39877
  59 | 11568 | -3.55 | 2132.50 |     0 |     0 |     0 |  279.68 |    0.00 |    0.00 |     0 | 0.00 || 2.00632 0.49826 0.65226 -98.70784 110.94456 60.04778
  60 | 11558 | -2.85 | 1490.00 |     0 |     0 |     0 |  477.56 |    0.00 |    0.00 |     0 | 0.00 || 1.80345 0.15359 0.03219 -9.18993 162.97813 110.83543
  61 | 11552 | -2.81 | 1581.00 |     0 |     0 |     0 |  184.05 |    0.00 |    0.00 |     0 | 0.00 || -0.71332 -0.63845 2.15397 185.21048 51.73360 130.36993
  62 | 11548 | -3.20 | 1617.50 |     0 |     0 |     0 |  424.74 |    0.00 |    0.00 |     0 | 0.00 || 0.98115 0.82531 -1.48120 111.70129 -1.78930 0.46277
  63 | 11538 | -3.06 | 1614.30 |     0 |     0 |     0 |  445.06 |    0.00 |    0.00 |     0 | 0.00 || -2.90189 -0.41467 -1.19272 50.85033 96.69588 247.71844
  64 | 11538 | -3.20 | 1469.10 |     0 |     0 |     0 |  425.04 |    0.00 |    0.00 |     0 | 0.00 || 1.75329 1.35124 -1.59706 155.77628 50.62526 75.11604
  65 | 11510 | -3.49 | 1780.80 |     0 |     0 |     0 |  427.23 |    0.00 |    0.00 |     0 | 0.00 || 0.13046 -0.35822 -2.10896 72.95619 166.90277 50.94420
  66 | 11492 | -3.01 | 1490.30 |     0 |     0 |     0 |  405.89 |    0.00 |    0.00 |     0 | 0.00 || -0.75082 0.71771 -1.76874 -60.17894 106.84264 -8.04683
  67 | 11456 | -3.46 | 1579.80 |     0 |     0 |     0 |  416.13 |    0.00 |    0.00 |     0 | 0.00 || -1.85739 -0.55110 2.43163 155.62735 103.71561 228.38449
  68 | 11436 | -2.46 | 1328.20 |     0 |     0 |     0 |  347.10 |    0.00 |    0.00 |     0 | 0.00 || 2.29179 -1.11656 2.81096 -6.64386 -40.53790 172.05707
  69 | 11430 | -3.64 | 1827.50 |     0 |     0 |     0 |  367.24 |    0.00 |    0.00 |     0 | 0.00 || -1.04417 -0.88858 -0.55728 -102.47516 -18.87413 185.72409
  70 | 11422 | -3.74 | 1634.60 |     0 |     0 |     0 |  353.82 |    0.00 |    0.00 |     0 | 0.00 || -2.84336 -0.63179 0.56642 38.67404 36.89563 241.33902
  71 | 11420 | -3.02 | 1846.80 |     0 |     0 |     0 |  461.68 |    0.00 |    0.00 |     0 | 0.00 || -1.36652 -0.97018 1.31575 171.87228 23.21569 179.59286
  72 | 11420 | -2.72 | 1466.70 |     0 |     0 |     0 |  376.97 |    0.00 |    0.00 |     0 | 0.00 || 2.33896 0.72813 0.52973 -113.89542 118.72511 143.85150
  73 | 11392 | -3.06 | 1584.10 |     0 |     0 |     0 |  419.73 |    0.00 |    0.00 |     0 | 0.00 || 0.62759 -0.27254 2.64671 136.20372 -55.18974 22.41261
  74 | 11390 | -3.36 | 1568.20 |     0 |     0 |     0 |  415.64 |    0.00 |    0.00 |     0 | 0.00 || -2.75607 -1.20218 2.42363 -48.74319 94.20509 214.26759
  75 | 11386 | -3.37 | 1523.50 |     0 |     0 |     0 |  498.35 |    0.00 |    0.00 |     0 | 0.00 || 2.82002 -0.05394 -1.35210 91.36053 131.99765 185.49538
  76 | 11370 | -3.67 | 1662.70 |     0 |     0 |     0 |  305.63 |    0.00 |    0.00 |     0 | 0.00 || -3.05870 -0.17836 -2.67572 95.24683 83.44427 259.18158
  77 | 11366 | -2.96 | 1490.30 |     0 |     0 |     0 |  289.57 |    0.00 |    0.00 |     0 | 0.00 || 2.71760 -0.81229 1.59867 -56.33905 77.42061 269.42377
  78 | 11358 | -3.07 | 1536.30 |     0 |     0 |     0 |  449.69 |    0.00 |    0.00 |     0 | 0.00 || -2.16867 -0.29885 -0.95812 -58.52905 37.59647 273.00488
