*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1JPS_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1JPS/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1JPS_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 16442 | -2.92 | 2177.10 |     0 |     0 |     0 |  378.66 |    0.00 |    0.00 |     0 | 0.00 || 0.70748 -0.57638 1.92107 31.99076 37.11123 48.22919
   2 | 16264 | -3.13 | 2236.80 |     0 |     0 |     0 |  393.44 |    0.00 |    0.00 |     0 | 0.00 || 2.99822 -0.46062 -1.72625 46.51043 -5.55087 18.83641
   3 | 16170 | -3.87 | 2722.20 |     0 |     0 |     0 |  236.40 |    0.00 |    0.00 |     0 | 0.00 || 2.00311 -0.73499 0.88227 8.40732 3.77463 -8.21429
   4 | 16062 | -4.08 | 2870.80 |     0 |     0 |     0 |  445.22 |    0.00 |    0.00 |     0 | 0.00 || 1.64356 0.49163 -1.42442 4.12661 0.15622 -8.12256
   5 | 15714 | -3.02 | 2377.90 |     0 |     0 |     0 |  365.98 |    0.00 |    0.00 |     0 | 0.00 || 0.85203 0.80912 0.98549 31.62136 36.88839 51.19575
   6 | 15554 | -3.44 | 2314.80 |     0 |     0 |     0 |  341.25 |    0.00 |    0.00 |     0 | 0.00 || 2.90598 -1.26902 -2.72023 18.32385 -11.22241 -0.11296
   7 | 15170 | -2.96 | 1958.40 |     0 |     0 |     0 |  445.25 |    0.00 |    0.00 |     0 | 0.00 || -0.63423 0.45894 -1.09339 -14.06077 -3.41697 68.97365
   8 | 14910 | -3.49 | 1982.70 |     0 |     0 |     0 |  342.30 |    0.00 |    0.00 |     0 | 0.00 || 0.44770 0.68771 -0.13232 26.95035 -26.79734 38.35746
   9 | 14872 | -3.19 | 2312.00 |     0 |     0 |     0 |  346.13 |    0.00 |    0.00 |     0 | 0.00 || 2.14676 -0.86423 -2.81307 19.94041 10.83705 33.56270
  10 | 14862 | -3.31 | 1790.90 |     0 |     0 |     0 |   65.90 |    0.00 |    0.00 |     0 | 0.00 || -0.48454 -0.49128 0.18214 44.22344 -7.78910 9.55899
  11 | 14736 | -3.11 | 1872.70 |     0 |     0 |     0 |  155.82 |    0.00 |    0.00 |     0 | 0.00 || -1.68284 1.11914 2.24520 8.14394 -5.31642 73.95014
  12 | 14588 | -3.33 | 2243.10 |     0 |     0 |     0 |  345.37 |    0.00 |    0.00 |     0 | 0.00 || -2.47411 1.04709 3.13263 18.29181 -13.03419 22.91944
  13 | 14546 | -3.79 | 2237.50 |     0 |     0 |     0 |  414.08 |    0.00 |    0.00 |     0 | 0.00 || -2.19402 -0.98224 3.02412 -22.58656 -1.83162 54.17215
  14 | 14458 | -3.67 | 2347.80 |     0 |     0 |     0 |  303.81 |    0.00 |    0.00 |     0 | 0.00 || -1.25807 0.03965 2.59007 3.67241 61.32538 76.95980
  15 | 14428 | -4.15 | 2703.30 |     0 |     0 |     0 |  376.15 |    0.00 |    0.00 |     0 | 0.00 || 2.62864 0.09864 -1.51001 51.53513 0.07472 16.40756
  16 | 14200 | -2.63 | 1754.50 |     0 |     0 |     0 |  339.77 |    0.00 |    0.00 |     0 | 0.00 || 2.41223 -0.28690 -1.78136 26.19766 20.50112 41.36927
  17 | 14142 | -3.44 | 2048.40 |     0 |     0 |     0 |  440.89 |    0.00 |    0.00 |     0 | 0.00 || 1.17532 -0.37808 0.81367 39.26885 14.97574 -4.31113
  18 | 14054 | -3.86 | 1883.50 |     0 |     0 |     0 |  431.29 |    0.00 |    0.00 |     0 | 0.00 || 1.73098 -0.24064 -1.71103 -2.13433 32.96171 28.86353
  19 | 13998 | -4.08 | 2448.70 |     0 |     0 |     0 |  165.65 |    0.00 |    0.00 |     0 | 0.00 || -1.35825 -0.39449 -1.59545 -17.26052 5.14393 68.78300
  20 | 13894 | -3.94 | 2009.40 |     0 |     0 |     0 |  478.20 |    0.00 |    0.00 |     0 | 0.00 || -1.78142 0.67345 2.65583 9.60568 -1.12101 77.58505
  21 | 13870 | -3.98 | 3101.10 |     0 |     0 |     0 |  164.54 |    0.00 |    0.00 |     0 | 0.00 || -1.42421 -0.43237 -1.07761 6.43275 -6.58487 68.63482
  22 | 13818 | -3.78 | 2255.90 |     0 |     0 |     0 |  269.43 |    0.00 |    0.00 |     0 | 0.00 || 2.17195 -0.17564 -0.71979 27.78926 13.01237 -5.60394
  23 | 13678 | -3.38 | 1774.00 |     0 |     0 |     0 |   28.29 |    0.00 |    0.00 |     0 | 0.00 || 0.09815 -0.69352 0.15848 29.64313 0.29099 70.01424
  24 | 13630 | -3.20 | 2279.00 |     0 |     0 |     0 |  349.78 |    0.00 |    0.00 |     0 | 0.00 || -1.02600 1.05131 1.83841 17.24301 34.02313 74.25566
  25 | 13614 | -3.14 | 2097.60 |     0 |     0 |     0 |  411.41 |    0.00 |    0.00 |     0 | 0.00 || -2.27839 -0.71086 2.73778 -30.82627 3.02936 55.10366
  26 | 13532 | -3.66 | 1973.20 |     0 |     0 |     0 |  213.72 |    0.00 |    0.00 |     0 | 0.00 || -2.42616 0.46562 0.85293 20.20008 25.96614 47.73058
  27 | 13512 | -2.55 | 1606.50 |     0 |     0 |     0 |  321.20 |    0.00 |    0.00 |     0 | 0.00 || -1.81766 0.65924 1.23852 40.25079 2.08415 77.67194
  28 | 13460 | -3.53 | 2027.10 |     0 |     0 |     0 |  118.80 |    0.00 |    0.00 |     0 | 0.00 || -2.04028 -0.33508 2.41980 -22.88230 19.04116 70.02628
