*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/DockingBenchmark5/1JTD_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1JTD/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/DockingBenchmark5/1JTD_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 14332 | -3.07 | 1896.10 |     0 |     0 |     0 |  283.19 |    0.00 |    0.00 |     0 | 0.00 || 0.53461 0.53245 -0.53431 6.63120 43.27462 40.02757
   2 | 14164 | -2.80 | 1777.30 |     0 |     0 |     0 |  329.36 |    0.00 |    0.00 |     0 | 0.00 || 0.99749 -0.32380 0.91702 -6.28108 51.01262 37.91248
   3 | 13930 | -2.83 | 1805.40 |     0 |     0 |     0 |  306.25 |    0.00 |    0.00 |     0 | 0.00 || 0.57573 -0.02198 0.15830 2.78528 49.45259 36.17422
   4 | 13834 | -3.63 | 2103.10 |     0 |     0 |     0 |  292.61 |    0.00 |    0.00 |     0 | 0.00 || 1.23278 0.06610 -2.47168 10.77442 45.79641 39.76193
   5 | 13636 | -3.33 | 2035.40 |     0 |     0 |     0 |  357.42 |    0.00 |    0.00 |     0 | 0.00 || 0.09261 -0.75277 -0.11698 -14.98847 43.05161 47.79460
   6 | 13570 | -3.42 | 1904.30 |     0 |     0 |     0 |  293.99 |    0.00 |    0.00 |     0 | 0.00 || 0.88857 0.85832 -1.39707 6.41213 37.34295 44.15160
   7 | 13288 | -2.80 | 1725.70 |     0 |     0 |     0 |   46.35 |    0.00 |    0.00 |     0 | 0.00 || -0.36927 0.02574 -0.00092 0.02660 -5.33319 9.01022
   8 | 13216 | -3.83 | 2048.30 |     0 |     0 |     0 |  230.15 |    0.00 |    0.00 |     0 | 0.00 || 1.51143 -0.32514 1.92666 -12.37115 44.42779 42.61432
   9 | 13092 | -2.97 | 1606.90 |     0 |     0 |     0 |  171.98 |    0.00 |    0.00 |     0 | 0.00 || -1.86165 -0.70603 1.91536 17.23556 50.45103 61.62047
  10 | 12844 | -3.88 | 1886.00 |     0 |     0 |     0 |  323.85 |    0.00 |    0.00 |     0 | 0.00 || 1.42031 0.86430 -2.14228 2.35263 38.80861 45.17742
  11 | 12632 | -2.87 | 1674.20 |     0 |     0 |     0 |  154.78 |    0.00 |    0.00 |     0 | 0.00 || 2.18575 1.38367 -0.96555 11.08917 61.68153 49.59669
  12 | 12212 | -2.67 | 1494.80 |     0 |     0 |     0 |  270.56 |    0.00 |    0.00 |     0 | 0.00 || 1.72199 -0.34874 0.53984 -7.90148 23.99270 -1.99346
  13 | 12124 | -3.75 | 1986.60 |     0 |     0 |     0 |  224.01 |    0.00 |    0.00 |     0 | 0.00 || 1.49695 -0.34739 3.10451 8.81732 35.96013 46.78303
  14 | 12090 | -3.39 | 2122.30 |     0 |     0 |     0 |  348.19 |    0.00 |    0.00 |     0 | 0.00 || 1.88035 0.09065 2.58929 -10.64746 38.66295 47.23486
  15 | 12064 | -2.73 | 1607.90 |     0 |     0 |     0 |  -54.42 |    0.00 |    0.00 |     0 | 0.00 || 0.13245 -0.26329 0.57632 3.95454 8.47270 -5.57086
