*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1JTG_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1JTG/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1JTG_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 13800 | -2.91 | 1948.50 |     0 |     0 |     0 |  407.33 |    0.00 |    0.00 |     0 | 0.00 || 0.53228 -0.26036 0.99303 -3.61423 -16.21175 -0.76828
   2 | 13694 | -3.03 | 1733.90 |     0 |     0 |     0 |  108.79 |    0.00 |    0.00 |     0 | 0.00 || -0.13260 -0.16850 0.01778 -7.25146 -6.31462 8.86270
   3 | 13626 | -3.20 | 1866.60 |     0 |     0 |     0 |  108.37 |    0.00 |    0.00 |     0 | 0.00 || 2.25734 -0.23380 -1.41220 41.88534 57.28160 38.10119
   4 | 13594 | -3.17 | 1822.30 |     0 |     0 |     0 |  162.06 |    0.00 |    0.00 |     0 | 0.00 || 0.02256 0.55083 0.26775 44.11570 -6.66516 5.34827
   5 | 12608 | -2.78 | 1718.60 |     0 |     0 |     0 |  412.53 |    0.00 |    0.00 |     0 | 0.00 || -2.46604 -0.99191 -2.33566 21.87936 -0.31445 95.06485
   6 | 12506 | -2.99 | 1652.50 |     0 |     0 |     0 |   67.89 |    0.00 |    0.00 |     0 | 0.00 || -1.91595 0.67519 1.11731 -10.97866 -5.10577 81.25251
   7 | 12460 | -2.84 | 1550.50 |     0 |     0 |     0 |  154.25 |    0.00 |    0.00 |     0 | 0.00 || 0.31737 -0.20166 1.80355 52.76600 11.19492 44.67415
   8 | 12458 | -3.39 | 1674.80 |     0 |     0 |     0 |  257.43 |    0.00 |    0.00 |     0 | 0.00 || -0.34907 -1.42826 -1.42299 -58.13889 50.39702 75.84666
   9 | 12286 | -3.19 | 1779.20 |     0 |     0 |     0 |  114.53 |    0.00 |    0.00 |     0 | 0.00 || -2.36516 0.45911 1.68397 -6.99332 -15.64796 82.65625
  10 | 12242 | -3.21 | 1908.80 |     0 |     0 |     0 |  396.38 |    0.00 |    0.00 |     0 | 0.00 || -0.06625 0.40039 -2.02804 -31.45905 32.73195 6.95683
  11 | 12242 | -2.49 | 1507.30 |     0 |     0 |     0 |  344.45 |    0.00 |    0.00 |     0 | 0.00 || 2.26091 -0.11759 -0.23013 -3.82765 55.05548 38.03926
  12 | 12112 | -2.83 | 1674.90 |     0 |     0 |     0 |  332.86 |    0.00 |    0.00 |     0 | 0.00 || -0.80564 0.47311 1.41001 82.91496 -3.15913 52.15177
  13 | 12012 | -3.61 | 1933.30 |     0 |     0 |     0 |  326.85 |    0.00 |    0.00 |     0 | 0.00 || 2.94377 0.31593 -1.57260 52.84709 36.79791 56.59248
  14 | 11924 | -4.00 | 1959.00 |     0 |     0 |     0 |   86.39 |    0.00 |    0.00 |     0 | 0.00 || -2.73488 0.13514 -1.50794 40.95480 54.41795 123.77382
  15 | 11888 | -3.54 | 1981.50 |     0 |     0 |     0 |   37.63 |    0.00 |    0.00 |     0 | 0.00 || 1.45482 -0.05864 2.44318 -0.55326 -28.09700 5.30583
  16 | 11790 | -3.79 | 1881.40 |     0 |     0 |     0 |  173.28 |    0.00 |    0.00 |     0 | 0.00 || -0.39589 -0.07323 -2.06961 -38.36932 83.28703 40.95792
  17 | 11754 | -3.39 | 1567.80 |     0 |     0 |     0 |   67.22 |    0.00 |    0.00 |     0 | 0.00 || 0.37212 -0.30572 1.36430 32.19531 -2.39783 47.83271
  18 | 11744 | -2.97 | 1512.10 |     0 |     0 |     0 |  278.55 |    0.00 |    0.00 |     0 | 0.00 || 0.98735 -0.01837 2.27521 33.78157 15.81444 31.73745
  19 | 11700 | -3.09 | 1612.30 |     0 |     0 |     0 |  389.86 |    0.00 |    0.00 |     0 | 0.00 || 0.29168 -0.36394 1.22860 38.19198 -6.69352 49.05364
  20 | 11614 | -3.85 | 2317.20 |     0 |     0 |     0 |  353.24 |    0.00 |    0.00 |     0 | 0.00 || -2.92214 -0.99083 -1.01964 62.40748 3.55701 106.31299
  21 | 11594 | -3.09 | 1597.40 |     0 |     0 |     0 |  193.64 |    0.00 |    0.00 |     0 | 0.00 || 2.10528 -0.22678 -0.21735 8.24368 107.15855 49.59445
  22 | 11546 | -4.09 | 1652.00 |     0 |     0 |     0 |  111.03 |    0.00 |    0.00 |     0 | 0.00 || 2.81210 0.66140 0.92047 -19.77863 32.32156 47.79199
  23 | 11504 | -2.82 | 1372.00 |     0 |     0 |     0 |  181.82 |    0.00 |    0.00 |     0 | 0.00 || 2.07610 0.05906 -0.56403 34.23285 103.45002 36.22602
  24 | 11482 | -3.04 | 1514.30 |     0 |     0 |     0 |  223.35 |    0.00 |    0.00 |     0 | 0.00 || -0.27620 0.36648 -2.94704 28.56315 70.76993 52.73520
  25 | 11462 | -3.38 | 2033.00 |     0 |     0 |     0 |  -31.20 |    0.00 |    0.00 |     0 | 0.00 || 0.94183 -0.75357 -2.52209 73.69197 46.56450 23.31519
  26 | 11432 | -2.92 | 1466.50 |     0 |     0 |     0 |  314.98 |    0.00 |    0.00 |     0 | 0.00 || -1.63017 1.22922 1.19764 33.03818 -51.45988 59.14243
  27 | 11428 | -3.95 | 1735.40 |     0 |     0 |     0 |  176.43 |    0.00 |    0.00 |     0 | 0.00 || -0.45791 -1.06959 -1.60847 -57.56233 53.89783 65.02925
  28 | 11366 | -3.06 | 1486.00 |     0 |     0 |     0 |  245.46 |    0.00 |    0.00 |     0 | 0.00 || 0.34521 1.02588 0.37586 70.63346 14.97934 13.29231
  29 | 11330 | -3.14 | 1593.40 |     0 |     0 |     0 |  192.98 |    0.00 |    0.00 |     0 | 0.00 || 1.89024 -0.42970 -2.08202 53.62539 56.91772 37.16123
  30 | 11312 | -3.64 | 1564.70 |     0 |     0 |     0 |  396.93 |    0.00 |    0.00 |     0 | 0.00 || -1.89493 -1.12461 1.47448 59.98632 68.64677 97.56878
  31 | 11302 | -3.81 | 1917.20 |     0 |     0 |     0 |  271.70 |    0.00 |    0.00 |     0 | 0.00 || 1.15032 0.36357 2.10652 -14.15034 26.37225 -7.41879
  32 | 11280 | -2.78 | 1680.00 |     0 |     0 |     0 |  191.30 |    0.00 |    0.00 |     0 | 0.00 || 0.99700 -0.21433 1.59501 3.27765 -12.36970 -7.18780
  33 | 11252 | -2.65 | 1316.30 |     0 |     0 |     0 |  228.16 |    0.00 |    0.00 |     0 | 0.00 || 0.29226 -0.21079 -0.62540 -23.16046 29.55688 -3.71186
  34 | 11226 | -2.88 | 1518.50 |     0 |     0 |     0 |   -7.35 |    0.00 |    0.00 |     0 | 0.00 || -2.75339 0.24495 -1.50091 7.24001 44.11375 84.13049
