*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1JWH_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1JWH/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1JWH_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 16008 | -3.09 | 2147.20 |     0 |     0 |     0 |  389.31 |    0.00 |    0.00 |     0 | 0.00 || 0.31396 0.29806 2.76279 63.16106 90.19588 4.48340
   2 | 15450 | -3.47 | 1927.10 |     0 |     0 |     0 |  494.73 |    0.00 |    0.00 |     0 | 0.00 || -1.65720 -0.34062 2.67274 -32.59734 -22.91341 18.14497
   3 | 15132 | -3.46 | 2281.40 |     0 |     0 |     0 |  488.15 |    0.00 |    0.00 |     0 | 0.00 || -0.36816 0.22764 -1.23804 -26.52745 -1.42490 -15.85183
   4 | 15094 | -3.56 | 1988.50 |     0 |     0 |     0 |  378.52 |    0.00 |    0.00 |     0 | 0.00 || 1.60553 0.50077 0.56421 81.81791 1.23443 -146.36391
   5 | 14874 | -3.26 | 2127.40 |     0 |     0 |     0 |  435.60 |    0.00 |    0.00 |     0 | 0.00 || 2.02528 -0.30773 2.35855 73.08770 57.70517 -144.66550
   6 | 14556 | -2.90 | 1804.30 |     0 |     0 |     0 |  323.31 |    0.00 |    0.00 |     0 | 0.00 || -0.08512 -0.57424 -2.12572 -79.55703 -2.11319 -9.92211
   7 | 14552 | -2.78 | 1761.80 |     0 |     0 |     0 |  407.99 |    0.00 |    0.00 |     0 | 0.00 || 1.60493 0.91369 1.69082 60.64626 88.02032 -128.76683
   8 | 14462 | -4.06 | 2115.10 |     0 |     0 |     0 |  433.36 |    0.00 |    0.00 |     0 | 0.00 || -1.01491 -0.21882 1.71500 -0.72192 46.05807 47.15519
   9 | 14302 | -2.68 | 1654.00 |     0 |     0 |     0 |  247.69 |    0.00 |    0.00 |     0 | 0.00 || 3.04182 0.42899 -1.79056 84.78706 -61.24373 -125.82900
  10 | 14300 | -4.24 | 2100.30 |     0 |     0 |     0 |  457.52 |    0.00 |    0.00 |     0 | 0.00 || 2.21266 0.37585 0.66772 68.29031 41.54930 -168.34515
  11 | 14218 | -3.34 | 1997.70 |     0 |     0 |     0 |  426.21 |    0.00 |    0.00 |     0 | 0.00 || -0.66351 -0.11334 1.34398 31.31620 10.72997 6.22643
  12 | 14168 | -2.96 | 1818.00 |     0 |     0 |     0 |  375.52 |    0.00 |    0.00 |     0 | 0.00 || 2.06619 -0.33556 0.64695 35.98847 -9.73749 -112.92596
  13 | 14052 | -3.26 | 2304.40 |     0 |     0 |     0 |  423.91 |    0.00 |    0.00 |     0 | 0.00 || -2.15212 -0.93872 -2.70295 29.79074 -83.36856 -79.25714
  14 | 13918 | -3.50 | 1954.60 |     0 |     0 |     0 |  445.98 |    0.00 |    0.00 |     0 | 0.00 || -0.81063 -0.30874 1.33278 31.79531 58.76579 47.13026
  15 | 13906 | -3.39 | 1970.20 |     0 |     0 |     0 |  362.68 |    0.00 |    0.00 |     0 | 0.00 || 2.67922 0.02512 0.94366 -3.53581 22.09467 -128.32361
  16 | 13856 | -3.35 | 1970.80 |     0 |     0 |     0 |  335.48 |    0.00 |    0.00 |     0 | 0.00 || -0.70206 -0.02142 0.16006 35.46099 5.97396 49.88810
  17 | 13814 | -3.82 | 1822.10 |     0 |     0 |     0 |  348.25 |    0.00 |    0.00 |     0 | 0.00 || -1.67867 -0.33721 1.80056 -38.13501 27.46893 18.68515
  18 | 13802 | -3.44 | 2060.90 |     0 |     0 |     0 |  489.00 |    0.00 |    0.00 |     0 | 0.00 || 1.09714 -0.57005 0.34587 39.58606 -49.29861 -129.69403
  19 | 13782 | -2.98 | 1948.70 |     0 |     0 |     0 |  435.26 |    0.00 |    0.00 |     0 | 0.00 || -0.24714 -0.07570 2.48494 62.57868 104.96312 2.37528
  20 | 13764 | -2.81 | 1705.00 |     0 |     0 |     0 |  358.30 |    0.00 |    0.00 |     0 | 0.00 || 1.53526 -0.10707 -0.22348 11.01332 -20.77496 -159.02939
  21 | 13692 | -2.81 | 1787.60 |     0 |     0 |     0 |  307.03 |    0.00 |    0.00 |     0 | 0.00 || -1.81729 0.08393 2.60271 -5.92863 -34.27566 21.56748
  22 | 13592 | -3.22 | 2207.10 |     0 |     0 |     0 |  479.07 |    0.00 |    0.00 |     0 | 0.00 || 0.33373 1.34033 2.21723 112.78423 86.38129 -49.50258
  23 | 13586 | -3.19 | 1987.10 |     0 |     0 |     0 |  413.55 |    0.00 |    0.00 |     0 | 0.00 || -2.47758 -0.39491 0.01325 11.15936 83.55949 -77.80060
  24 | 13580 | -3.23 | 2036.70 |     0 |     0 |     0 |  467.25 |    0.00 |    0.00 |     0 | 0.00 || 2.44192 0.36230 1.10663 38.53897 65.50092 -168.45316
  25 | 13576 | -4.04 | 2062.60 |     0 |     0 |     0 |  449.48 |    0.00 |    0.00 |     0 | 0.00 || -1.34252 0.69513 0.63281 -28.07763 23.10737 33.06915
  26 | 13548 | -3.43 | 1839.80 |     0 |     0 |     0 |  462.00 |    0.00 |    0.00 |     0 | 0.00 || -2.36265 0.61309 2.32780 -32.24730 -36.22624 -14.93708
  27 | 13472 | -3.26 | 1907.00 |     0 |     0 |     0 |  454.26 |    0.00 |    0.00 |     0 | 0.00 || -1.42622 0.39887 -1.47768 66.06656 34.30283 39.26189
  28 | 13464 | -2.81 | 1667.60 |     0 |     0 |     0 |  426.88 |    0.00 |    0.00 |     0 | 0.00 || -0.80053 -0.44541 0.80782 51.59928 57.05795 42.03699
  29 | 13452 | -3.04 | 1792.60 |     0 |     0 |     0 |  464.95 |    0.00 |    0.00 |     0 | 0.00 || 2.93882 -0.20131 -0.80681 69.46677 61.00344 -95.62818
  30 | 13408 | -3.25 | 2336.20 |     0 |     0 |     0 |  360.92 |    0.00 |    0.00 |     0 | 0.00 || -0.23801 0.08851 0.33303 27.17437 -39.74705 24.79238
  31 | 13398 | -3.52 | 2067.90 |     0 |     0 |     0 |  395.04 |    0.00 |    0.00 |     0 | 0.00 || 2.19219 0.00594 2.47890 20.09383 37.00473 -176.72615
  32 | 13264 | -3.62 | 1849.10 |     0 |     0 |     0 |  441.58 |    0.00 |    0.00 |     0 | 0.00 || 1.93973 -0.59229 -2.74824 51.49158 53.85338 -108.80492
  33 | 13246 | -2.94 | 1713.40 |     0 |     0 |     0 |  345.73 |    0.00 |    0.00 |     0 | 0.00 || -0.82373 1.18799 -3.00359 59.05223 20.72178 -21.01679
  34 | 13226 | -3.49 | 1820.30 |     0 |     0 |     0 |  291.47 |    0.00 |    0.00 |     0 | 0.00 || -1.58408 -0.22104 0.72405 -7.25244 54.77721 14.81833
  35 | 13218 | -3.40 | 1816.20 |     0 |     0 |     0 |  424.08 |    0.00 |    0.00 |     0 | 0.00 || -0.25439 -0.87508 -1.08207 20.63548 -57.71270 9.67216
  36 | 13210 | -3.64 | 2115.80 |     0 |     0 |     0 |  482.95 |    0.00 |    0.00 |     0 | 0.00 || 1.35178 0.19991 2.14459 60.29040 45.87873 -113.42615
  37 | 13194 | -3.53 | 2309.10 |     0 |     0 |     0 |  452.58 |    0.00 |    0.00 |     0 | 0.00 || 2.14117 -0.34389 1.12251 74.11493 -9.77457 -135.40865
  38 | 13192 | -2.78 | 1774.80 |     0 |     0 |     0 |  478.16 |    0.00 |    0.00 |     0 | 0.00 || -1.34260 -0.00958 0.50140 38.43604 93.72385 17.55026
  39 | 13190 | -3.42 | 1864.30 |     0 |     0 |     0 |  432.11 |    0.00 |    0.00 |     0 | 0.00 || -1.60559 0.82978 1.27514 -39.25096 -6.53400 18.52420
  40 | 13162 | -3.35 | 1842.20 |     0 |     0 |     0 |  385.09 |    0.00 |    0.00 |     0 | 0.00 || 1.78978 -0.70944 0.56272 14.19294 -52.80119 -148.43704
  41 | 13154 | -2.84 | 1814.30 |     0 |     0 |     0 |  488.84 |    0.00 |    0.00 |     0 | 0.00 || 0.04192 -0.25347 2.21625 73.33746 45.84652 -17.95232
  42 | 13128 | -3.64 | 1949.90 |     0 |     0 |     0 |  493.80 |    0.00 |    0.00 |     0 | 0.00 || 2.73718 -0.40440 -2.71860 51.61508 -27.19962 -111.87273
  43 | 13126 | -3.15 | 1833.40 |     0 |     0 |     0 |  399.76 |    0.00 |    0.00 |     0 | 0.00 || 2.73314 1.40056 -2.76787 -40.79662 -43.21718 -98.77695
  44 | 13118 | -3.08 | 1656.40 |     0 |     0 |     0 |  237.97 |    0.00 |    0.00 |     0 | 0.00 || -0.44995 0.33999 -1.71664 -31.34495 82.88327 20.38123
  45 | 13116 | -3.87 | 1961.20 |     0 |     0 |     0 |  441.40 |    0.00 |    0.00 |     0 | 0.00 || 3.03323 0.40271 2.31142 -47.66183 -15.28979 -129.71516
  46 | 13094 | -3.19 | 1565.00 |     0 |     0 |     0 |  227.99 |    0.00 |    0.00 |     0 | 0.00 || 2.42812 -1.12550 -0.94393 10.69037 47.79454 -111.99805
  47 | 13056 | -3.75 | 1958.90 |     0 |     0 |     0 |  372.97 |    0.00 |    0.00 |     0 | 0.00 || 2.55892 1.20096 -2.08627 -5.78866 -81.60006 -98.64177
  48 | 13042 | -3.63 | 2000.20 |     0 |     0 |     0 |  379.67 |    0.00 |    0.00 |     0 | 0.00 || 0.97392 -0.07408 0.93310 88.65466 -34.72955 -112.48289
  49 | 13042 | -3.92 | 1980.90 |     0 |     0 |     0 |  422.39 |    0.00 |    0.00 |     0 | 0.00 || -2.03043 0.37602 1.40242 -59.34375 9.87752 -6.75682
  50 | 13042 | -3.46 | 2071.20 |     0 |     0 |     0 |  494.13 |    0.00 |    0.00 |     0 | 0.00 || -1.98237 -0.44745 1.76808 -59.45623 -1.62137 -48.48053
  51 | 13026 | -2.80 | 1586.50 |     0 |     0 |     0 |  340.57 |    0.00 |    0.00 |     0 | 0.00 || 2.00037 -0.57182 -2.26443 31.29963 70.96101 -104.62195
  52 | 12994 | -4.33 | 1950.30 |     0 |     0 |     0 |  276.84 |    0.00 |    0.00 |     0 | 0.00 || -2.01276 -0.85617 -1.34126 95.42480 12.31106 -80.22705
  53 | 12954 | -3.69 | 1809.00 |     0 |     0 |     0 |  272.15 |    0.00 |    0.00 |     0 | 0.00 || 2.09769 -0.10718 -3.04907 49.08367 76.43462 -142.02463
  54 | 12926 | -3.17 | 1736.40 |     0 |     0 |     0 |  375.47 |    0.00 |    0.00 |     0 | 0.00 || 3.08973 0.36747 0.47282 25.96909 98.46817 -74.26398
  55 | 12918 | -3.99 | 1913.40 |     0 |     0 |     0 |   32.14 |    0.00 |    0.00 |     0 | 0.00 || 2.30458 -0.32632 -1.00792 37.28230 75.57877 -145.63828
  56 | 12886 | -3.71 | 2394.40 |     0 |     0 |     0 |  413.48 |    0.00 |    0.00 |     0 | 0.00 || 1.52842 0.96628 -0.88413 5.14769 -80.20324 -104.76941
  57 | 12876 | -2.79 | 1661.40 |     0 |     0 |     0 |  475.77 |    0.00 |    0.00 |     0 | 0.00 || 2.33703 -0.78507 1.61294 19.92810 -21.29087 -162.28009
  58 | 12876 | -3.13 | 1658.40 |     0 |     0 |     0 |  377.61 |    0.00 |    0.00 |     0 | 0.00 || 1.24616 0.69552 -0.75285 -9.15098 -16.94905 -87.18768
  59 | 12872 | -3.37 | 1891.10 |     0 |     0 |     0 |  449.98 |    0.00 |    0.00 |     0 | 0.00 || 1.12455 0.74967 1.77921 102.13885 105.93755 -67.65238
  60 | 12854 | -3.40 | 1892.70 |     0 |     0 |     0 |  455.14 |    0.00 |    0.00 |     0 | 0.00 || 0.16669 -0.24369 -0.22519 51.37403 -27.54508 -31.69370
  61 | 12848 | -3.42 | 1696.20 |     0 |     0 |     0 |  170.71 |    0.00 |    0.00 |     0 | 0.00 || -1.06243 0.39770 -1.22642 34.22881 39.49229 49.19304
  62 | 12844 | -3.22 | 1748.60 |     0 |     0 |     0 |  330.44 |    0.00 |    0.00 |     0 | 0.00 || 2.96855 -0.28050 0.02267 17.66016 81.79492 -94.55608
  63 | 12796 | -3.79 | 1748.30 |     0 |     0 |     0 |  461.11 |    0.00 |    0.00 |     0 | 0.00 || 2.90807 0.02706 1.33504 -16.19584 33.24976 -161.45636
  64 | 12792 | -2.68 | 1545.10 |     0 |     0 |     0 |  402.85 |    0.00 |    0.00 |     0 | 0.00 || 0.67900 0.28813 -0.83783 -32.74148 -57.25041 -87.38405
  65 | 12780 | -3.90 | 1937.00 |     0 |     0 |     0 |  426.90 |    0.00 |    0.00 |     0 | 0.00 || -1.00387 -0.81044 2.44317 -9.69627 53.12088 20.80630
  66 | 12760 | -2.88 | 1720.60 |     0 |     0 |     0 |  382.70 |    0.00 |    0.00 |     0 | 0.00 || 2.45864 0.38964 -2.50296 -13.62021 -9.80189 -168.90622
  67 | 12746 | -3.63 | 1815.90 |     0 |     0 |     0 |  392.45 |    0.00 |    0.00 |     0 | 0.00 || 1.96333 -0.38678 -2.00372 7.14429 48.30677 -172.45236
