*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1K5D_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1K5D/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1K5D_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 14990 | -3.28 | 2335.10 |     0 |     0 |     0 |  204.29 |    0.00 |    0.00 |     0 | 0.00 || -1.23879 0.26739 1.78430 -24.75593 9.53876 -54.15411
   2 | 14746 | -2.94 | 2046.50 |     0 |     0 |     0 |  345.76 |    0.00 |    0.00 |     0 | 0.00 || -2.30326 0.46187 -1.06340 -6.44235 -26.26050 -49.43784
   3 | 14660 | -2.67 | 1945.50 |     0 |     0 |     0 |  470.45 |    0.00 |    0.00 |     0 | 0.00 || -1.52063 -0.04122 1.66190 -20.08129 11.78212 -65.86491
   4 | 14660 | -3.34 | 2273.00 |     0 |     0 |     0 |  414.49 |    0.00 |    0.00 |     0 | 0.00 || -0.41035 -0.58748 2.24873 -0.66453 -25.40990 -55.23783
   5 | 14100 | -3.55 | 2282.80 |     0 |     0 |     0 |  298.73 |    0.00 |    0.00 |     0 | 0.00 || 2.45685 -0.62212 -2.85710 -12.07202 14.01143 -22.44484
   6 | 14080 | -3.66 | 2273.80 |     0 |     0 |     0 | -309.98 |    0.00 |    0.00 |     0 | 0.00 || -1.41532 0.34708 1.65117 -22.65934 -1.31198 -51.56870
   7 | 13832 | -3.69 | 2396.40 |     0 |     0 |     0 |  353.00 |    0.00 |    0.00 |     0 | 0.00 || -1.77835 1.47724 2.05266 -23.87341 -12.28528 -37.14258
   8 | 13588 | -3.47 | 2007.60 |     0 |     0 |     0 |  403.94 |    0.00 |    0.00 |     0 | 0.00 || -0.97220 0.19596 -0.60300 8.00867 13.83750 -68.93851
   9 | 13460 | -2.53 | 1567.80 |     0 |     0 |     0 |  299.44 |    0.00 |    0.00 |     0 | 0.00 || -3.02013 -0.19699 -2.68404 -13.42760 2.48108 -9.49160
  10 | 13412 | -3.13 | 1732.20 |     0 |     0 |     0 |  230.30 |    0.00 |    0.00 |     0 | 0.00 || -2.86552 -0.34957 1.31004 -20.38207 -10.55406 -62.59579
  11 | 13372 | -3.15 | 1795.80 |     0 |     0 |     0 |  281.05 |    0.00 |    0.00 |     0 | 0.00 || -1.22017 -0.53110 -1.55088 -28.71586 19.08569 -31.59947
  12 | 13346 | -2.95 | 1791.70 |     0 |     0 |     0 |  498.69 |    0.00 |    0.00 |     0 | 0.00 || -0.93744 1.12106 2.26216 -18.84654 1.52725 -58.27565
  13 | 13344 | -2.76 | 1653.90 |     0 |     0 |     0 |  406.74 |    0.00 |    0.00 |     0 | 0.00 || 2.83548 0.59415 1.31561 -18.41566 -19.86132 -69.04266
  14 | 13328 | -3.49 | 1917.90 |     0 |     0 |     0 |  278.25 |    0.00 |    0.00 |     0 | 0.00 || -0.54853 0.82201 1.06662 -22.81523 9.59232 -35.79789
  15 | 13238 | -3.20 | 1743.80 |     0 |     0 |     0 |  447.55 |    0.00 |    0.00 |     0 | 0.00 || 0.10051 0.06924 -0.69580 -34.69613 10.30211 -37.13164
  16 | 13044 | -2.92 | 1884.60 |     0 |     0 |     0 |  385.52 |    0.00 |    0.00 |     0 | 0.00 || 2.63513 -0.14696 0.92562 -21.42371 -15.33043 -63.28619
  17 | 13042 | -2.65 | 1576.30 |     0 |     0 |     0 |  254.15 |    0.00 |    0.00 |     0 | 0.00 || 2.23325 1.02752 -1.06531 -23.98514 -0.33419 -18.45020
  18 | 12992 | -2.63 | 1661.30 |     0 |     0 |     0 |  383.44 |    0.00 |    0.00 |     0 | 0.00 || 1.35303 -1.12740 -0.18337 -15.01405 -7.31470 -73.72066
  19 | 12970 | -4.39 | 2204.10 |     0 |     0 |     0 |  478.92 |    0.00 |    0.00 |     0 | 0.00 || -1.88017 -1.19211 -0.48352 -17.45458 13.45058 -59.52546
  20 | 12912 | -2.94 | 1637.70 |     0 |     0 |     0 |  384.18 |    0.00 |    0.00 |     0 | 0.00 || 1.21289 0.20129 0.44337 -6.17061 29.57842 -29.21899
  21 | 12850 | -3.03 | 1641.20 |     0 |     0 |     0 |  388.61 |    0.00 |    0.00 |     0 | 0.00 || 2.11577 -0.85677 -1.34563 -24.41367 18.80513 -44.85734
  22 | 12836 | -3.32 | 1740.30 |     0 |     0 |     0 |  497.59 |    0.00 |    0.00 |     0 | 0.00 || 1.44103 -0.67139 3.10251 -10.33050 19.95278 -18.70863
  23 | 12830 | -2.86 | 1604.60 |     0 |     0 |     0 |  440.01 |    0.00 |    0.00 |     0 | 0.00 || -2.62768 1.21345 -2.80487 -8.71424 36.38668 -39.59151
  24 | 12824 | -2.90 | 1862.60 |     0 |     0 |     0 |  284.35 |    0.00 |    0.00 |     0 | 0.00 || -3.01366 0.18067 1.99438 -21.19332 -5.24152 -64.73967
  25 | 12788 | -3.33 | 1725.20 |     0 |     0 |     0 |  300.83 |    0.00 |    0.00 |     0 | 0.00 || -0.35696 -0.31107 2.40279 3.06573 -25.07779 -62.40444
  26 | 12740 | -2.78 | 1594.30 |     0 |     0 |     0 |  369.66 |    0.00 |    0.00 |     0 | 0.00 || 3.09467 -0.96021 -2.25781 -2.13308 38.66588 -54.56218
  27 | 12684 | -3.17 | 1674.70 |     0 |     0 |     0 |  434.41 |    0.00 |    0.00 |     0 | 0.00 || 1.98793 -0.79245 0.38478 -22.42124 -8.38804 -60.42659
  28 | 12632 | -4.01 | 2795.10 |     0 |     0 |     0 |  330.95 |    0.00 |    0.00 |     0 | 0.00 || -0.98800 0.25685 -1.16151 -29.64073 19.19753 -37.94401
  29 | 12622 | -2.89 | 1642.00 |     0 |     0 |     0 |  150.16 |    0.00 |    0.00 |     0 | 0.00 || 2.48374 -0.05127 -0.80851 -18.47267 7.86163 -68.82243
  30 | 12618 | -3.64 | 1804.10 |     0 |     0 |     0 |  160.56 |    0.00 |    0.00 |     0 | 0.00 || 2.06704 0.53954 -1.08514 -25.06663 9.59741 -61.29259
  31 | 12612 | -4.74 | 2311.10 |     0 |     0 |     0 |  275.79 |    0.00 |    0.00 |     0 | 0.00 || -0.14137 0.80635 1.91215 -20.74275 4.78105 -44.82901
  32 | 12608 | -3.14 | 1773.40 |     0 |     0 |     0 |  402.25 |    0.00 |    0.00 |     0 | 0.00 || -0.38551 0.91622 -0.00409 -23.78993 -1.57083 -77.07086
  33 | 12528 | -3.86 | 2097.40 |     0 |     0 |     0 |  147.62 |    0.00 |    0.00 |     0 | 0.00 || -0.86125 0.46480 1.32781 -23.73102 13.19908 -37.49062
  34 | 12490 | -2.98 | 1652.40 |     0 |     0 |     0 |  353.25 |    0.00 |    0.00 |     0 | 0.00 || 0.39376 0.19044 -0.31624 -25.98300 -2.76177 -69.22293
  35 | 12456 | -3.50 | 1714.40 |     0 |     0 |     0 |  346.38 |    0.00 |    0.00 |     0 | 0.00 || 0.95547 -0.66130 0.50490 -22.01886 -9.70787 -61.89342
