*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1KAC_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1KAC/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1KAC_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 12380 | -3.01 | 1679.10 |     0 |     0 |     0 |  239.78 |    0.00 |    0.00 |     0 | 0.00 || -0.98294 -0.07869 2.06324 285.19427 -74.76800 54.57517
   2 | 11814 | -2.74 | 1416.70 |     0 |     0 |     0 |  261.61 |    0.00 |    0.00 |     0 | 0.00 || -0.71330 1.02017 -0.20023 108.55853 -50.81253 -61.17695
   3 | 11758 | -2.92 | 1509.50 |     0 |     0 |     0 |  332.52 |    0.00 |    0.00 |     0 | 0.00 || -0.95015 -0.23199 1.96948 280.83240 -86.02743 75.60928
   4 | 11580 | -3.65 | 1682.70 |     0 |     0 |     0 |  176.29 |    0.00 |    0.00 |     0 | 0.00 || 1.81280 0.90247 -3.13754 242.11496 -99.58051 -0.52203
   5 | 11254 | -3.15 | 1404.20 |     0 |     0 |     0 |  149.93 |    0.00 |    0.00 |     0 | 0.00 || 1.15746 0.37847 0.51577 -13.26303 47.58815 -4.19614
   6 | 10990 | -2.70 | 1317.70 |     0 |     0 |     0 |  123.76 |    0.00 |    0.00 |     0 | 0.00 || -2.16827 0.25205 0.87996 115.77080 -174.65437 99.95335
   7 | 10844 | -2.54 | 1291.70 |     0 |     0 |     0 |  246.14 |    0.00 |    0.00 |     0 | 0.00 || -1.75621 -0.08948 -1.98336 100.24872 171.10083 135.96188
   8 | 10758 | -2.97 | 1365.30 |     0 |     0 |     0 |  -34.92 |    0.00 |    0.00 |     0 | 0.00 || -0.34617 1.04384 -0.05320 185.97928 -10.69272 -62.04391
   9 | 10750 | -3.53 | 1519.50 |     0 |     0 |     0 | -322.71 |    0.00 |    0.00 |     0 | 0.00 || 0.93526 0.88031 2.17744 67.65063 -79.97495 -58.39525
  10 | 10718 | -2.98 | 1349.40 |     0 |     0 |     0 |  149.48 |    0.00 |    0.00 |     0 | 0.00 || -1.77913 -0.71558 -1.29822 11.21918 74.64440 214.34367
  11 | 10716 | -2.80 | 1405.00 |     0 |     0 |     0 |  103.73 |    0.00 |    0.00 |     0 | 0.00 || -2.06058 -1.13738 2.06687 226.39281 50.05952 208.66724
