*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1KTZ_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1KTZ/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1KTZ_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 11968 | -2.97 | 1510.30 |     0 |     0 |     0 | -454.54 |    0.00 |    0.00 |     0 | 0.00 || 2.10425 -0.64380 2.66241 22.65987 -25.48154 81.09035
   2 | 11542 | -3.03 | 1401.00 |     0 |     0 |     0 |   99.51 |    0.00 |    0.00 |     0 | 0.00 || 0.88392 0.24165 1.86926 10.80386 97.08322 -3.17621
   3 | 10646 | -2.87 | 1405.60 |     0 |     0 |     0 |  119.36 |    0.00 |    0.00 |     0 | 0.00 || 2.08170 -0.52478 -1.85086 131.60378 67.17119 86.81495
   4 | 10576 | -2.37 | 1223.60 |     0 |     0 |     0 |  180.66 |    0.00 |    0.00 |     0 | 0.00 || 3.04369 0.53247 2.35190 9.52489 6.92819 161.31647
   5 | 10558 | -2.56 | 1257.90 |     0 |     0 |     0 |  108.54 |    0.00 |    0.00 |     0 | 0.00 || -0.76623 -0.39090 0.05610 42.15449 -6.67150 101.89799
   6 | 10476 | -2.78 | 1361.30 |     0 |     0 |     0 |    9.13 |    0.00 |    0.00 |     0 | 0.00 || -0.70788 -0.18532 -1.30674 -49.83698 57.76435 100.93304
   7 | 10462 | -2.77 | 1426.00 |     0 |     0 |     0 |  142.24 |    0.00 |    0.00 |     0 | 0.00 || 2.75108 -0.16986 0.06201 23.44632 149.58737 134.39680
   8 | 10402 | -2.99 | 1437.00 |     0 |     0 |     0 | -253.47 |    0.00 |    0.00 |     0 | 0.00 || -3.00818 -1.04056 -0.61306 122.16148 88.89175 144.72919
   9 | 10384 | -2.85 | 1291.10 |     0 |     0 |     0 |   -4.85 |    0.00 |    0.00 |     0 | 0.00 || -2.65868 -0.71912 -1.18145 91.15283 41.25095 169.12445
  10 | 10310 | -2.49 | 1256.20 |     0 |     0 |     0 |  197.99 |    0.00 |    0.00 |     0 | 0.00 || -1.35740 0.96624 -3.10122 79.51957 160.13373 139.96533
  11 | 10196 | -3.91 | 1691.10 |     0 |     0 |     0 | -212.81 |    0.00 |    0.00 |     0 | 0.00 || -0.30097 0.50656 -1.08423 -39.61217 21.91314 52.29412
  12 | 10162 | -2.81 | 1232.00 |     0 |     0 |     0 |  -48.93 |    0.00 |    0.00 |     0 | 0.00 || 2.62411 -0.64004 -1.81733 128.77046 44.61440 123.16789
  13 | 10136 | -2.47 | 1270.50 |     0 |     0 |     0 |  -95.02 |    0.00 |    0.00 |     0 | 0.00 || -2.65934 -0.52429 1.32751 16.04150 102.25715 178.81071
