*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1KXP_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1KXP/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1KXP_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 18574 | -3.95 | 2889.70 |     0 |     0 |     0 |  350.73 |    0.00 |    0.00 |     0 | 0.00 || 2.76556 1.11595 1.15206 -85.48088 -60.80944 50.43808
   2 | 18012 | -3.25 | 2325.10 |     0 |     0 |     0 |  -36.26 |    0.00 |    0.00 |     0 | 0.00 || -0.44825 -1.19450 1.89714 22.42472 -58.04919 80.90886
   3 | 17656 | -3.94 | 2753.30 |     0 |     0 |     0 |  192.98 |    0.00 |    0.00 |     0 | 0.00 || 2.05237 0.29475 1.54752 -34.71968 -33.85071 90.95105
   4 | 17652 | -4.64 | 3367.30 |     0 |     0 |     0 |   32.84 |    0.00 |    0.00 |     0 | 0.00 || 2.09823 0.49333 -0.72581 2.33525 45.98358 107.21883
   5 | 17524 | -3.61 | 2781.50 |     0 |     0 |     0 |  -32.05 |    0.00 |    0.00 |     0 | 0.00 || 0.46673 -1.11229 -3.12515 36.46131 -36.85772 74.46210
   6 | 17460 | -3.43 | 2284.60 |     0 |     0 |     0 |  249.14 |    0.00 |    0.00 |     0 | 0.00 || -0.52233 -0.15749 0.12458 15.36960 -52.80709 42.68766
   7 | 17306 | -3.54 | 2672.20 |     0 |     0 |     0 |  341.84 |    0.00 |    0.00 |     0 | 0.00 || 2.85021 -0.51508 0.75749 -52.30098 8.83124 138.45343
   8 | 17306 | -4.00 | 2187.70 |     0 |     0 |     0 |  470.22 |    0.00 |    0.00 |     0 | 0.00 || -1.63471 1.11023 2.12150 84.85188 -22.42698 45.14152
   9 | 17100 | -4.03 | 2935.00 |     0 |     0 |     0 |  395.46 |    0.00 |    0.00 |     0 | 0.00 || -1.68697 0.70211 1.18890 41.85636 -42.12946 53.20821
  10 | 16996 | -3.73 | 2441.60 |     0 |     0 |     0 |  245.30 |    0.00 |    0.00 |     0 | 0.00 || 1.20069 0.09283 -0.51081 -5.49802 40.06630 68.43840
  11 | 16712 | -3.39 | 2333.50 |     0 |     0 |     0 |  278.29 |    0.00 |    0.00 |     0 | 0.00 || 0.65477 -0.91690 -0.17482 -73.52789 61.20199 53.59069
  12 | 16628 | -3.75 | 3002.70 |     0 |     0 |     0 |  410.69 |    0.00 |    0.00 |     0 | 0.00 || 1.06468 -0.33179 -1.16257 19.49938 40.83033 78.85210
  13 | 16570 | -3.15 | 2302.80 |     0 |     0 |     0 |  280.35 |    0.00 |    0.00 |     0 | 0.00 || 3.05109 -0.39375 -0.10545 -10.26701 36.43614 168.00867
  14 | 16568 | -3.63 | 2537.10 |     0 |     0 |     0 |  499.83 |    0.00 |    0.00 |     0 | 0.00 || 0.49389 -0.59507 2.46572 18.74664 -49.32944 71.88495
  15 | 16526 | -3.26 | 2455.50 |     0 |     0 |     0 |  334.65 |    0.00 |    0.00 |     0 | 0.00 || 1.14120 -0.18776 0.27825 -70.90948 62.87868 50.54607
  16 | 16456 | -3.30 | 2181.80 |     0 |     0 |     0 |  -87.19 |    0.00 |    0.00 |     0 | 0.00 || -2.84097 0.32029 -0.95459 -47.90070 -9.24774 123.05533
  17 | 16392 | -3.75 | 2564.40 |     0 |     0 |     0 |  156.74 |    0.00 |    0.00 |     0 | 0.00 || -2.01656 0.85293 -1.40640 -49.15532 14.40532 50.82726
  18 | 16300 | -3.51 | 2470.30 |     0 |     0 |     0 |  119.47 |    0.00 |    0.00 |     0 | 0.00 || -3.09806 1.16192 2.82692 100.42432 -37.61816 82.16537
  19 | 16288 | -3.28 | 2257.40 |     0 |     0 |     0 |  463.33 |    0.00 |    0.00 |     0 | 0.00 || 0.13884 -0.09206 2.65783 11.65351 22.70110 38.01260
