*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1KXQ_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1KXQ/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1KXQ_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 13716 | -3.97 | 2178.90 |     0 |     0 |     0 | -179.62 |    0.00 |    0.00 |     0 | 0.00 || 2.94745 0.34000 2.15517 -44.69992 26.65290 -28.64358
   2 | 13404 | -3.28 | 1740.90 |     0 |     0 |     0 |  263.61 |    0.00 |    0.00 |     0 | 0.00 || 0.79333 0.45043 1.27958 -0.78508 17.21343 36.71465
   3 | 13324 | -3.04 | 1665.20 |     0 |     0 |     0 | -116.86 |    0.00 |    0.00 |     0 | 0.00 || 2.32563 -0.47102 2.74623 -34.89727 11.28156 -45.74971
   4 | 13084 | -3.26 | 1770.30 |     0 |     0 |     0 |  -64.98 |    0.00 |    0.00 |     0 | 0.00 || 0.03213 -0.58942 -1.68389 -33.60389 -50.09887 -7.27452
   5 | 12696 | -3.36 | 1539.50 |     0 |     0 |     0 |  215.81 |    0.00 |    0.00 |     0 | 0.00 || -1.36526 -1.30429 2.12241 -47.82156 12.64743 -5.32079
   6 | 12672 | -3.51 | 2018.00 |     0 |     0 |     0 |  399.09 |    0.00 |    0.00 |     0 | 0.00 || -1.57015 1.27581 -0.34728 -9.39065 27.94992 49.14208
   7 | 12534 | -3.14 | 1668.60 |     0 |     0 |     0 |  -47.24 |    0.00 |    0.00 |     0 | 0.00 || -0.82842 -0.31920 0.26468 2.19430 22.50769 -10.24388
   8 | 12414 | -3.33 | 1770.00 |     0 |     0 |     0 |   77.25 |    0.00 |    0.00 |     0 | 0.00 || -0.36554 0.68303 1.87427 20.81196 9.04719 55.25227
   9 | 12324 | -2.92 | 1635.70 |     0 |     0 |     0 |  -48.70 |    0.00 |    0.00 |     0 | 0.00 || -1.48746 -0.05999 0.69090 -15.56821 21.58596 -7.16381
  10 | 12304 | -3.47 | 1792.10 |     0 |     0 |     0 |  -37.02 |    0.00 |    0.00 |     0 | 0.00 || -1.90231 0.22690 0.60951 -14.70687 36.76082 -14.27162
  11 | 12248 | -3.56 | 1588.10 |     0 |     0 |     0 |  142.48 |    0.00 |    0.00 |     0 | 0.00 || -2.98003 0.13090 0.68649 43.34431 30.79730 0.89985
  12 | 12228 | -3.06 | 1854.00 |     0 |     0 |     0 |   67.06 |    0.00 |    0.00 |     0 | 0.00 || 0.81549 0.44916 -1.88929 -3.08975 -29.09388 20.64698
  13 | 12170 | -4.21 | 1772.70 |     0 |     0 |     0 |   60.52 |    0.00 |    0.00 |     0 | 0.00 || -0.69175 -0.21094 -2.37988 -41.27421 -28.32664 -2.12538
  14 | 12160 | -3.22 | 2018.20 |     0 |     0 |     0 | -283.86 |    0.00 |    0.00 |     0 | 0.00 || -0.69187 0.39952 -2.62052 -34.76504 -22.66582 16.77227
  15 | 12090 | -3.17 | 1549.10 |     0 |     0 |     0 |  304.09 |    0.00 |    0.00 |     0 | 0.00 || -2.33820 -0.77473 -0.21662 -10.50188 8.07095 -36.03819
  16 | 11934 | -2.88 | 1679.60 |     0 |     0 |     0 | -158.20 |    0.00 |    0.00 |     0 | 0.00 || 1.15517 0.50416 -1.26792 -41.44921 -41.53993 10.09879
  17 | 11714 | -3.52 | 1528.30 |     0 |     0 |     0 |  128.59 |    0.00 |    0.00 |     0 | 0.00 || -2.34908 -0.18355 1.23244 -35.43780 35.56873 -37.79279
  18 | 11552 | -2.80 | 1537.20 |     0 |     0 |     0 |  -25.08 |    0.00 |    0.00 |     0 | 0.00 || -1.74831 0.31876 -3.02897 -50.02844 -26.62249 -8.22963
  19 | 11494 | -3.87 | 1649.80 |     0 |     0 |     0 |   14.89 |    0.00 |    0.00 |     0 | 0.00 || -1.16545 0.52832 -1.20367 -5.26208 -16.70067 13.24471
  20 | 11478 | -3.08 | 1401.20 |     0 |     0 |     0 |  238.09 |    0.00 |    0.00 |     0 | 0.00 || -0.78293 0.84560 -0.73358 -13.87961 10.72171 52.22859
  21 | 11330 | -3.35 | 1449.50 |     0 |     0 |     0 |   79.34 |    0.00 |    0.00 |     0 | 0.00 || -1.27856 -0.25975 -2.28795 17.42200 -27.68077 24.92882
  22 | 11298 | -3.08 | 1479.00 |     0 |     0 |     0 |  120.70 |    0.00 |    0.00 |     0 | 0.00 || 1.33069 1.13912 -0.19480 -17.03589 -32.57384 11.00598
  23 | 11236 | -4.29 | 1933.80 |     0 |     0 |     0 | -255.18 |    0.00 |    0.00 |     0 | 0.00 || 2.19283 -0.86337 2.81493 -23.87278 16.22773 -51.51918
  24 | 11234 | -3.34 | 1616.60 |     0 |     0 |     0 | -151.52 |    0.00 |    0.00 |     0 | 0.00 || -0.63612 -0.24929 -2.61226 -48.97126 -40.06826 7.16543
  25 | 11230 | -2.77 | 1361.80 |     0 |     0 |     0 |  258.23 |    0.00 |    0.00 |     0 | 0.00 || 0.15059 0.59795 1.61496 32.20143 -4.84634 27.94537
  26 | 11228 | -3.70 | 1833.70 |     0 |     0 |     0 |  128.87 |    0.00 |    0.00 |     0 | 0.00 || -0.31793 0.84165 -0.75960 -22.67862 -7.52110 17.33269
  27 | 11220 | -3.11 | 1508.40 |     0 |     0 |     0 |  136.37 |    0.00 |    0.00 |     0 | 0.00 || 1.53175 0.08007 1.24148 2.11570 8.08822 -15.30691
  28 | 11208 | -3.47 | 1589.60 |     0 |     0 |     0 |  -25.98 |    0.00 |    0.00 |     0 | 0.00 || 0.29284 0.06417 1.87593 -18.32378 12.95065 7.28959
  29 | 11170 | -3.88 | 2057.00 |     0 |     0 |     0 | -105.29 |    0.00 |    0.00 |     0 | 0.00 || 0.28800 -0.89952 1.94428 -22.43561 20.38331 -18.49458
  30 | 11168 | -3.04 | 1497.60 |     0 |     0 |     0 |  262.66 |    0.00 |    0.00 |     0 | 0.00 || -2.31787 -0.63930 1.06012 -35.96776 19.34715 -43.16725
