*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1LFD_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1LFD/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1LFD_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 10744 | -3.02 | 1303.10 |     0 |     0 |     0 |  173.83 |    0.00 |    0.00 |     0 | 0.00 || -0.74012 -0.03586 -2.37835 46.05943 220.22684 67.26334
   2 | 10576 | -2.95 | 1408.50 |     0 |     0 |     0 |  482.15 |    0.00 |    0.00 |     0 | 0.00 || -0.15640 0.84426 -1.10695 -47.95824 111.43860 -31.25106
   3 | 10412 | -2.56 | 1219.80 |     0 |     0 |     0 |  151.88 |    0.00 |    0.00 |     0 | 0.00 || -0.67182 -0.19276 1.82580 151.89542 13.39693 81.50699
   4 | 10220 | -3.55 | 1606.70 |     0 |     0 |     0 |  496.88 |    0.00 |    0.00 |     0 | 0.00 || 1.01803 -0.38767 0.40985 -38.85158 10.46913 -1.12507
   5 | 10184 | -2.97 | 1237.40 |     0 |     0 |     0 |  220.77 |    0.00 |    0.00 |     0 | 0.00 || -0.91989 1.13451 0.21478 -5.66237 -21.61514 -15.95106
   6 | 10174 | -3.55 | 1427.00 |     0 |     0 |     0 |  448.12 |    0.00 |    0.00 |     0 | 0.00 || 0.13391 0.94477 -2.95515 78.35063 187.76157 -43.02291
   7 | 10158 | -2.97 | 1205.60 |     0 |     0 |     0 |  408.35 |    0.00 |    0.00 |     0 | 0.00 || 1.47328 0.13824 1.43629 47.37551 11.07487 -62.17073
   8 |  9970 | -2.89 | 1268.30 |     0 |     0 |     0 |  334.64 |    0.00 |    0.00 |     0 | 0.00 || 1.75587 0.62405 1.51502 -4.29739 83.74304 -73.23698
   9 |  9720 | -2.64 | 1254.30 |     0 |     0 |     0 |  163.36 |    0.00 |    0.00 |     0 | 0.00 || 2.62397 -0.12928 -0.45003 35.40536 226.62042 44.29813
  10 |  9634 | -2.64 | 1164.70 |     0 |     0 |     0 |  479.01 |    0.00 |    0.00 |     0 | 0.00 || -2.71290 -0.81465 -0.72286 82.44856 167.08203 155.15036
  11 |  9612 | -2.96 | 1256.00 |     0 |     0 |     0 |  439.51 |    0.00 |    0.00 |     0 | 0.00 || -3.07931 -0.92057 3.10467 60.08089 26.38744 119.55019
  12 |  9592 | -3.39 | 1602.30 |     0 |     0 |     0 |  312.66 |    0.00 |    0.00 |     0 | 0.00 || 1.49547 -0.73447 -1.83116 112.15961 173.00577 42.36236
