*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1M10_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1M10/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1M10_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 13836 | -2.60 | 1626.30 |     0 |     0 |     0 |  223.58 |    0.00 |    0.00 |     0 | 0.00 || -2.89395 -0.39406 0.23838 40.52410 -96.71975 71.34889
   2 | 13752 | -3.42 | 2046.80 |     0 |     0 |     0 |  243.29 |    0.00 |    0.00 |     0 | 0.00 || 2.69798 -0.81614 -1.39396 -8.56348 -105.01401 75.05855
   3 | 12626 | -3.44 | 1634.70 |     0 |     0 |     0 |  403.02 |    0.00 |    0.00 |     0 | 0.00 || 1.46275 -1.27845 1.17789 -39.20010 10.02977 -1.67296
   4 | 12492 | -3.91 | 2096.40 |     0 |     0 |     0 |  417.44 |    0.00 |    0.00 |     0 | 0.00 || -2.73921 -1.29989 -0.33430 -8.96288 -94.03673 -6.50519
   5 | 12310 | -2.70 | 1477.60 |     0 |     0 |     0 |   31.97 |    0.00 |    0.00 |     0 | 0.00 || -0.33862 0.46298 2.89422 -85.61230 -54.91887 -53.21414
   6 | 11946 | -3.97 | 1646.00 |     0 |     0 |     0 |  426.27 |    0.00 |    0.00 |     0 | 0.00 || -2.49555 -0.54098 -1.05814 -89.85349 -75.44969 29.66783
   7 | 11844 | -3.06 | 1535.50 |     0 |     0 |     0 |  334.84 |    0.00 |    0.00 |     0 | 0.00 || -2.42178 0.05734 1.45815 70.00764 -43.66883 48.12514
   8 | 11810 | -2.85 | 1538.70 |     0 |     0 |     0 |  247.10 |    0.00 |    0.00 |     0 | 0.00 || -2.12336 0.33291 -2.78624 -47.29777 30.71297 42.18288
   9 | 11804 | -4.08 | 1800.50 |     0 |     0 |     0 |   63.24 |    0.00 |    0.00 |     0 | 0.00 || -0.52585 0.76889 0.84774 24.20567 -5.48847 -34.15245
  10 | 11796 | -3.47 | 1609.40 |     0 |     0 |     0 |  471.21 |    0.00 |    0.00 |     0 | 0.00 || -0.38368 -0.67649 2.58009 -22.51029 -46.35690 -35.44486
