*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1MAH_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1MAH/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1MAH_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 12384 | -3.09 | 1768.90 |     0 |     0 |     0 |  414.79 |    0.00 |    0.00 |     0 | 0.00 || 0.65439 0.58053 -2.16240 60.91468 -111.56401 18.89827
   2 | 11732 | -3.30 | 1599.60 |     0 |     0 |     0 |   75.74 |    0.00 |    0.00 |     0 | 0.00 || -0.41751 1.00472 -0.84982 39.92111 -107.09802 68.43859
   3 | 11678 | -3.54 | 1648.00 |     0 |     0 |     0 |  499.19 |    0.00 |    0.00 |     0 | 0.00 || -2.48307 -0.84092 1.87899 73.70871 123.40735 257.22565
   4 | 11516 | -3.24 | 1689.00 |     0 |     0 |     0 |   19.49 |    0.00 |    0.00 |     0 | 0.00 || -0.97751 -0.75285 0.31498 40.99154 -172.24802 137.20764
   5 | 11502 | -2.97 | 1398.20 |     0 |     0 |     0 |  191.75 |    0.00 |    0.00 |     0 | 0.00 || -2.35770 1.14280 -1.27624 -100.59940 94.14808 197.06763
   6 | 11482 | -3.00 | 1514.80 |     0 |     0 |     0 |   75.25 |    0.00 |    0.00 |     0 | 0.00 || -1.52048 -0.86481 1.65673 220.88922 58.04478 203.87607
   7 | 11406 | -2.95 | 1553.10 |     0 |     0 |     0 |  258.14 |    0.00 |    0.00 |     0 | 0.00 || 1.63300 0.69822 0.05506 40.42390 158.13382 161.91359
   8 | 11388 | -2.69 | 1404.20 |     0 |     0 |     0 |  291.48 |    0.00 |    0.00 |     0 | 0.00 || -1.39684 -0.84088 0.41364 94.19188 -157.57036 141.74278
   9 | 11172 | -2.88 | 1458.00 |     0 |     0 |     0 |  302.17 |    0.00 |    0.00 |     0 | 0.00 || 2.16845 -1.24077 0.20631 74.19698 169.49007 172.48190
  10 | 11136 | -3.32 | 1394.10 |     0 |     0 |     0 |  148.70 |    0.00 |    0.00 |     0 | 0.00 || 0.12529 -0.94506 1.96108 72.87949 -124.73908 85.07623
  11 | 11104 | -3.53 | 1534.80 |     0 |     0 |     0 |  -97.66 |    0.00 |    0.00 |     0 | 0.00 || -2.91719 0.68087 0.41751 -73.58614 -25.20020 323.61584
  12 | 11098 | -2.27 | 1303.20 |     0 |     0 |     0 |  420.54 |    0.00 |    0.00 |     0 | 0.00 || 1.12692 -0.28152 1.14220 -104.09943 26.14687 54.64735
  13 | 11092 | -2.51 | 1400.00 |     0 |     0 |     0 |  109.38 |    0.00 |    0.00 |     0 | 0.00 || -1.12437 -0.26091 2.19940 189.71663 119.00577 145.40007
  14 | 11080 | -3.01 | 1493.20 |     0 |     0 |     0 |  402.61 |    0.00 |    0.00 |     0 | 0.00 || -1.17215 1.04067 -2.94032 -21.18097 159.76996 115.24617
  15 | 11066 | -2.76 | 1350.30 |     0 |     0 |     0 |  283.43 |    0.00 |    0.00 |     0 | 0.00 || 2.83137 -0.14504 1.47250 -52.37087 23.00914 345.09302
  16 | 11050 | -3.10 | 1659.40 |     0 |     0 |     0 |  492.49 |    0.00 |    0.00 |     0 | 0.00 || 2.77440 0.10492 -1.86672 119.68411 -3.24598 294.75906
  17 | 11006 | -3.61 | 1884.60 |     0 |     0 |     0 | -292.26 |    0.00 |    0.00 |     0 | 0.00 || -2.17068 0.79409 0.03181 -43.86668 -126.67509 221.57132
  18 | 10980 | -3.07 | 1318.90 |     0 |     0 |     0 |  101.45 |    0.00 |    0.00 |     0 | 0.00 || -2.82198 0.60201 1.17163 -0.16159 -93.93440 315.41028
  19 | 10896 | -3.23 | 1512.70 |     0 |     0 |     0 | -212.15 |    0.00 |    0.00 |     0 | 0.00 || -0.17909 -0.38441 0.11716 -20.22620 -52.71828 -9.45544
  20 | 10878 | -2.61 | 1344.00 |     0 |     0 |     0 |  133.38 |    0.00 |    0.00 |     0 | 0.00 || 1.29078 -1.10609 1.18439 -151.35542 -10.00385 140.61281
  21 | 10802 | -2.74 | 1459.30 |     0 |     0 |     0 |  415.53 |    0.00 |    0.00 |     0 | 0.00 || -1.01898 0.63201 2.01954 142.15649 110.86856 126.25764
  22 | 10712 | -3.44 | 1537.40 |     0 |     0 |     0 |  313.72 |    0.00 |    0.00 |     0 | 0.00 || -0.88650 -0.46343 -2.51488 -6.52377 133.87024 104.67882
  23 | 10708 | -3.06 | 1505.00 |     0 |     0 |     0 |  242.13 |    0.00 |    0.00 |     0 | 0.00 || 2.66042 0.97883 -2.91677 179.65158 -83.40134 251.48236
  24 | 10702 | -3.17 | 1561.00 |     0 |     0 |     0 |  239.34 |    0.00 |    0.00 |     0 | 0.00 || 0.42363 -0.83099 1.24133 -62.10115 -106.66610 44.87293
  25 | 10676 | -3.18 | 1770.80 |     0 |     0 |     0 |  167.16 |    0.00 |    0.00 |     0 | 0.00 || -2.09725 0.31534 -2.15373 -39.20548 142.90059 252.66544
  26 | 10644 | -3.69 | 1850.20 |     0 |     0 |     0 |  434.13 |    0.00 |    0.00 |     0 | 0.00 || 0.96242 -1.36696 -0.35021 -36.61223 158.25200 128.82899
  27 | 10598 | -3.65 | 1445.80 |     0 |     0 |     0 |  369.00 |    0.00 |    0.00 |     0 | 0.00 || 2.72515 -0.34674 2.93253 -12.14715 -46.08436 331.22437
  28 | 10484 | -2.71 | 1307.50 |     0 |     0 |     0 |  152.59 |    0.00 |    0.00 |     0 | 0.00 || 3.03185 0.48545 1.02449 -56.44060 -31.08173 343.74585
  29 | 10474 | -3.36 | 1629.90 |     0 |     0 |     0 |  -13.26 |    0.00 |    0.00 |     0 | 0.00 || -2.73574 -1.18336 -1.52425 8.68743 -163.44385 247.50037
  30 | 10438 | -3.14 | 1280.70 |     0 |     0 |     0 |  121.18 |    0.00 |    0.00 |     0 | 0.00 || 1.07999 -0.45803 -1.96721 158.20558 10.42356 92.77258
  31 | 10408 | -2.95 | 1491.00 |     0 |     0 |     0 |   87.37 |    0.00 |    0.00 |     0 | 0.00 || 0.42509 0.34338 -1.75293 90.51401 -23.42958 28.89949
  32 | 10384 | -2.64 | 1364.30 |     0 |     0 |     0 |  133.02 |    0.00 |    0.00 |     0 | 0.00 || 2.66676 1.22742 -1.42275 125.82098 187.58916 231.61168
  33 | 10324 | -2.78 | 1350.60 |     0 |     0 |     0 |  401.86 |    0.00 |    0.00 |     0 | 0.00 || 0.25610 0.38998 -0.48823 84.33218 -14.66708 -8.14145
  34 | 10310 | -3.17 | 1464.40 |     0 |     0 |     0 |   95.31 |    0.00 |    0.00 |     0 | 0.00 || -0.85328 0.71397 1.24398 217.17494 11.27427 91.71904
  35 | 10294 | -2.89 | 1500.60 |     0 |     0 |     0 |  274.98 |    0.00 |    0.00 |     0 | 0.00 || 0.72480 0.37199 0.81164 -15.31371 106.35727 56.50833
  36 | 10286 | -3.46 | 1437.10 |     0 |     0 |     0 |  247.41 |    0.00 |    0.00 |     0 | 0.00 || -1.54832 -0.92540 -1.75440 -153.21039 31.63491 205.34109
  37 | 10170 | -2.99 | 1510.10 |     0 |     0 |     0 |   27.05 |    0.00 |    0.00 |     0 | 0.00 || -0.84155 -0.36638 -0.29920 -68.27243 -122.30617 87.74908
  38 | 10142 | -3.34 | 1579.80 |     0 |     0 |     0 |  280.91 |    0.00 |    0.00 |     0 | 0.00 || -2.42343 -1.16148 -2.94840 -122.10650 76.08958 260.10428
  39 | 10122 | -3.24 | 1499.70 |     0 |     0 |     0 |   68.43 |    0.00 |    0.00 |     0 | 0.00 || -3.09144 -0.07799 -1.09450 34.00600 40.86396 328.19257
  40 | 10098 | -2.82 | 1415.50 |     0 |     0 |     0 |   74.01 |    0.00 |    0.00 |     0 | 0.00 || -0.39412 -0.05055 -1.99671 -58.00976 86.02782 7.21300
  41 | 10090 | -3.12 | 1304.70 |     0 |     0 |     0 |  202.18 |    0.00 |    0.00 |     0 | 0.00 || 2.26444 -0.04709 -2.11567 151.46581 -80.31130 243.44545
  42 | 10044 | -2.85 | 1350.90 |     0 |     0 |     0 |   22.11 |    0.00 |    0.00 |     0 | 0.00 || 1.78128 0.70149 -2.81469 117.05396 -121.20692 191.79984
  43 | 10030 | -3.25 | 1343.20 |     0 |     0 |     0 |  434.84 |    0.00 |    0.00 |     0 | 0.00 || 2.04426 -0.69570 -0.69045 164.36768 105.56550 190.72658
  44 | 10028 | -2.83 | 1454.50 |     0 |     0 |     0 |  211.74 |    0.00 |    0.00 |     0 | 0.00 || -1.29591 0.55099 -1.00598 -117.69648 -87.61918 174.25822
  45 | 10024 | -3.13 | 1520.60 |     0 |     0 |     0 |  -37.33 |    0.00 |    0.00 |     0 | 0.00 || -0.71760 -0.83139 1.17961 148.81746 -126.79227 90.96825
  46 |  9988 | -2.96 | 1467.50 |     0 |     0 |     0 |  -78.66 |    0.00 |    0.00 |     0 | 0.00 || 2.28868 0.77874 2.13391 -48.61192 -126.50060 195.31561
  47 |  9988 | -3.37 | 1467.10 |     0 |     0 |     0 |  -91.79 |    0.00 |    0.00 |     0 | 0.00 || 2.82045 -0.04652 0.10044 1.32948 81.16348 321.16925
  48 |  9984 | -3.41 | 1449.00 |     0 |     0 |     0 |  200.79 |    0.00 |    0.00 |     0 | 0.00 || 0.12497 0.61349 2.91800 -40.40642 64.83745 11.59766
  49 |  9980 | -3.03 | 1317.20 |     0 |     0 |     0 |   52.93 |    0.00 |    0.00 |     0 | 0.00 || -1.74864 -0.77201 -2.64865 -83.03232 152.64627 241.88501
  50 |  9950 | -2.64 | 1299.50 |     0 |     0 |     0 |   93.41 |    0.00 |    0.00 |     0 | 0.00 || 2.18024 0.26894 -0.77624 106.75352 135.97357 261.07394
  51 |  9924 | -2.40 | 1196.00 |     0 |     0 |     0 |  336.93 |    0.00 |    0.00 |     0 | 0.00 || -0.77575 -1.11319 -1.56331 -73.63274 100.41654 132.48369
  52 |  9922 | -2.84 | 1264.60 |     0 |     0 |     0 |   28.09 |    0.00 |    0.00 |     0 | 0.00 || -0.74792 0.38105 -1.62822 -125.81297 5.84739 68.37085
  53 |  9904 | -3.04 | 1281.30 |     0 |     0 |     0 |  133.47 |    0.00 |    0.00 |     0 | 0.00 || 0.29853 0.45269 1.12101 52.18884 86.48986 -18.35513
  54 |  9902 | -3.67 | 1421.80 |     0 |     0 |     0 |   73.30 |    0.00 |    0.00 |     0 | 0.00 || -0.08938 -0.39533 -1.39120 -38.21406 99.27538 9.30659
  55 |  9886 | -3.40 | 1456.80 |     0 |     0 |     0 |  144.30 |    0.00 |    0.00 |     0 | 0.00 || -1.89297 1.34458 -0.28123 -93.68670 -123.81570 203.28822
  56 |  9882 | -2.65 | 1248.70 |     0 |     0 |     0 |  -14.25 |    0.00 |    0.00 |     0 | 0.00 || -1.93573 -0.33140 -2.73219 -55.91793 168.84198 273.60645
  57 |  9832 | -3.10 | 1443.60 |     0 |     0 |     0 |  169.04 |    0.00 |    0.00 |     0 | 0.00 || -1.71329 -0.10551 -2.14609 -114.88708 118.46906 244.36858
  58 |  9814 | -3.12 | 1385.90 |     0 |     0 |     0 |   58.96 |    0.00 |    0.00 |     0 | 0.00 || 2.59803 -0.59902 -2.19962 92.53333 -130.48398 296.45871
  59 |  9812 | -2.94 | 1286.30 |     0 |     0 |     0 |  -47.58 |    0.00 |    0.00 |     0 | 0.00 || -1.23634 1.52567 -0.63746 -61.50082 -155.76373 159.31494
  60 |  9772 | -3.34 | 1298.00 |     0 |     0 |     0 |  490.34 |    0.00 |    0.00 |     0 | 0.00 || -2.67823 0.45106 -1.98763 10.17304 90.51771 292.66492
  61 |  9766 | -3.25 | 1414.00 |     0 |     0 |     0 |  141.21 |    0.00 |    0.00 |     0 | 0.00 || 1.50991 0.87104 -1.96667 166.10919 -81.56203 163.65704
  62 |  9764 | -2.52 | 1198.70 |     0 |     0 |     0 |  140.02 |    0.00 |    0.00 |     0 | 0.00 || -0.28133 -0.13341 2.67014 99.37475 36.28015 16.61551
  63 |  9738 | -2.48 | 1163.50 |     0 |     0 |     0 |   27.18 |    0.00 |    0.00 |     0 | 0.00 || 0.99188 1.30992 -0.55095 221.40140 53.46834 124.96427
  64 |  9710 | -3.03 | 1241.30 |     0 |     0 |     0 |  179.77 |    0.00 |    0.00 |     0 | 0.00 || 1.36401 0.26561 2.05044 -102.55614 -62.83092 82.21315
  65 |  9696 | -3.24 | 1313.10 |     0 |     0 |     0 |  327.46 |    0.00 |    0.00 |     0 | 0.00 || -1.86070 0.76960 -2.05046 -59.04243 115.38290 231.85229
  66 |  9690 | -3.41 | 1421.70 |     0 |     0 |     0 |  180.13 |    0.00 |    0.00 |     0 | 0.00 || 2.56847 -0.15384 2.21274 -81.75121 -42.38382 317.52039
  67 |  9686 | -3.06 | 1334.70 |     0 |     0 |     0 |  252.37 |    0.00 |    0.00 |     0 | 0.00 || 0.24489 -0.16880 -0.75101 26.14854 37.59228 -22.35649
  68 |  9676 | -2.83 | 1215.70 |     0 |     0 |     0 |  335.84 |    0.00 |    0.00 |     0 | 0.00 || 0.19907 0.06251 -2.96114 24.36315 -11.84136 -26.47679
  69 |  9674 | -3.08 | 1392.10 |     0 |     0 |     0 | -125.81 |    0.00 |    0.00 |     0 | 0.00 || -0.27958 -0.56453 -1.58853 -15.71053 128.13022 51.50830
  70 |  9670 | -3.10 | 1580.30 |     0 |     0 |     0 |  278.98 |    0.00 |    0.00 |     0 | 0.00 || 0.27987 0.03518 1.32958 -6.85723 15.26933 12.70276
  71 |  9652 | -3.25 | 1263.70 |     0 |     0 |     0 |  290.60 |    0.00 |    0.00 |     0 | 0.00 || -3.10045 -0.89053 -1.34787 63.75817 -120.31030 298.56927
  72 |  9652 | -2.37 | 1175.30 |     0 |     0 |     0 |   34.97 |    0.00 |    0.00 |     0 | 0.00 || -0.79324 -0.93031 0.58527 28.44858 -152.06007 145.31259
  73 |  9634 | -3.00 | 1269.50 |     0 |     0 |     0 |  -35.64 |    0.00 |    0.00 |     0 | 0.00 || 2.63566 0.23425 -0.87970 111.15901 126.31790 318.58194
  74 |  9624 | -2.91 | 1208.70 |     0 |     0 |     0 |  224.64 |    0.00 |    0.00 |     0 | 0.00 || -1.91725 -0.59032 1.82969 164.24464 76.19688 218.74232
  75 |  9622 | -2.95 | 1228.00 |     0 |     0 |     0 |  170.44 |    0.00 |    0.00 |     0 | 0.00 || -1.47284 -0.08400 -1.64469 -145.14340 54.30033 206.52098
  76 |  9618 | -3.48 | 1248.70 |     0 |     0 |     0 |  -61.27 |    0.00 |    0.00 |     0 | 0.00 || 0.69579 -0.76998 -3.10350 117.68773 -60.83564 58.88545
  77 |  9614 | -2.55 | 1182.50 |     0 |     0 |     0 | -157.53 |    0.00 |    0.00 |     0 | 0.00 || -1.31629 1.25479 0.69181 141.27071 -86.10194 181.68510
  78 |  9610 | -2.74 | 1239.40 |     0 |     0 |     0 |  217.42 |    0.00 |    0.00 |     0 | 0.00 || 2.85232 1.13583 0.68699 -103.83882 0.95037 246.65361
  79 |  9590 | -2.64 | 1262.20 |     0 |     0 |     0 |  192.37 |    0.00 |    0.00 |     0 | 0.00 || -0.61244 -0.05128 -2.23624 -51.48966 83.41015 16.86227
  80 |  9588 | -3.32 | 1413.20 |     0 |     0 |     0 |   45.24 |    0.00 |    0.00 |     0 | 0.00 || 2.23726 -0.57564 -1.79060 198.22881 -70.89681 242.58382
  81 |  9582 | -3.48 | 1585.50 |     0 |     0 |     0 | -179.68 |    0.00 |    0.00 |     0 | 0.00 || 1.52044 0.30522 -0.43253 108.82718 193.25272 119.94944
  82 |  9582 | -2.80 | 1222.30 |     0 |     0 |     0 |  318.71 |    0.00 |    0.00 |     0 | 0.00 || -0.84314 0.48222 -1.49784 -113.47324 -54.57385 61.39491
  83 |  9566 | -2.80 | 1301.30 |     0 |     0 |     0 |   75.21 |    0.00 |    0.00 |     0 | 0.00 || 2.94241 0.56768 -1.14414 72.00858 140.05185 312.78165
  84 |  9552 | -3.05 | 1284.80 |     0 |     0 |     0 |    4.28 |    0.00 |    0.00 |     0 | 0.00 || -3.00652 0.35098 -1.83036 76.42587 101.82626 330.27869
  85 |  9538 | -3.80 | 1275.80 |     0 |     0 |     0 |  119.51 |    0.00 |    0.00 |     0 | 0.00 || -3.03308 1.09987 2.92057 169.95673 -31.89680 264.78537
  86 |  9536 | -3.33 | 1301.90 |     0 |     0 |     0 |  191.09 |    0.00 |    0.00 |     0 | 0.00 || -2.28075 0.84788 -1.20474 -77.57572 62.26567 259.47348
