*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1MLC_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1MLC/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1MLC_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 15580 | -3.19 | 2311.10 |     0 |     0 |     0 |  259.35 |    0.00 |    0.00 |     0 | 0.00 || -1.23600 -0.11469 2.71046 119.50697 85.23564 42.74118
   2 | 15120 | -3.13 | 2046.90 |     0 |     0 |     0 |  434.33 |    0.00 |    0.00 |     0 | 0.00 || -0.44070 0.68828 2.17545 67.68105 48.12360 -38.40018
   3 | 14024 | -3.05 | 1965.10 |     0 |     0 |     0 |  137.55 |    0.00 |    0.00 |     0 | 0.00 || -2.50561 -1.13184 -2.21797 -8.55271 18.90222 76.22769
   4 | 13594 | -2.86 | 1809.90 |     0 |     0 |     0 |  398.42 |    0.00 |    0.00 |     0 | 0.00 || 1.94596 -0.95537 -1.78619 115.90862 -0.19101 67.44685
   5 | 13594 | -3.72 | 2084.70 |     0 |     0 |     0 |  338.24 |    0.00 |    0.00 |     0 | 0.00 || 0.59956 0.34270 -3.08259 56.34980 -16.65575 -36.40278
   6 | 13516 | -4.59 | 2048.40 |     0 |     0 |     0 |  291.33 |    0.00 |    0.00 |     0 | 0.00 || 2.64791 0.32824 -0.53514 38.98032 93.10652 114.67586
   7 | 13378 | -3.72 | 2141.70 |     0 |     0 |     0 |  460.44 |    0.00 |    0.00 |     0 | 0.00 || -0.89800 0.45160 -3.01139 50.34754 78.77845 -23.75653
   8 | 12820 | -3.53 | 1846.50 |     0 |     0 |     0 |  356.56 |    0.00 |    0.00 |     0 | 0.00 || -0.00486 0.87769 -0.70107 93.83897 15.08515 -3.89352
   9 | 12820 | -2.88 | 1666.00 |     0 |     0 |     0 |  371.11 |    0.00 |    0.00 |     0 | 0.00 || 1.85274 0.69934 1.66207 -10.47702 6.62473 61.71203
  10 | 12732 | -3.30 | 1755.90 |     0 |     0 |     0 |  386.42 |    0.00 |    0.00 |     0 | 0.00 || 0.73377 0.63476 2.10396 0.63374 4.63996 -29.64910
  11 | 12680 | -3.06 | 1700.40 |     0 |     0 |     0 |  451.87 |    0.00 |    0.00 |     0 | 0.00 || -0.13595 1.11965 -0.03914 96.54782 14.58506 -30.77427
  12 | 12678 | -2.91 | 1672.30 |     0 |     0 |     0 |  455.74 |    0.00 |    0.00 |     0 | 0.00 || 1.67218 0.45028 -1.10489 117.44905 96.39401 59.46702
  13 | 12668 | -3.25 | 1834.00 |     0 |     0 |     0 |  366.11 |    0.00 |    0.00 |     0 | 0.00 || -0.45290 0.53280 2.57211 73.22385 70.54333 -7.59447
  14 | 12648 | -2.67 | 1563.50 |     0 |     0 |     0 |  174.74 |    0.00 |    0.00 |     0 | 0.00 || 2.00684 -0.79444 1.05071 -23.30168 72.26769 74.40631
  15 | 12576 | -3.25 | 1722.60 |     0 |     0 |     0 |   91.57 |    0.00 |    0.00 |     0 | 0.00 || 0.22711 -0.42719 1.31505 35.80288 -15.28449 17.58847
