*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1MQ8_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1MQ8/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1MQ8_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 12154 | -3.49 | 1675.50 |     0 |     0 |     0 |  167.66 |    0.00 |    0.00 |     0 | 0.00 || -0.63535 -0.82125 -2.04818 -27.48223 46.32936 22.24607
   2 | 11756 | -3.53 | 1687.80 |     0 |     0 |     0 |  190.68 |    0.00 |    0.00 |     0 | 0.00 || -2.64181 -0.26489 -0.56453 -8.50061 29.53268 48.53947
   3 | 11578 | -3.12 | 1762.00 |     0 |     0 |     0 |  235.54 |    0.00 |    0.00 |     0 | 0.00 || -1.21232 -0.92586 -2.74456 -10.56198 38.34420 41.51343
   4 | 11528 | -3.15 | 1714.10 |     0 |     0 |     0 |  450.51 |    0.00 |    0.00 |     0 | 0.00 || -1.33253 0.13880 2.64861 33.73814 30.54934 26.71179
   5 | 11488 | -2.85 | 1459.30 |     0 |     0 |     0 |  158.54 |    0.00 |    0.00 |     0 | 0.00 || 0.01241 -0.23424 -0.82665 -37.87052 29.00400 -25.95052
   6 | 11292 | -2.80 | 1475.90 |     0 |     0 |     0 |  -41.78 |    0.00 |    0.00 |     0 | 0.00 || 0.98315 1.07173 2.15706 0.48796 21.95870 -59.37287
   7 | 11130 | -2.98 | 1515.50 |     0 |     0 |     0 |  376.83 |    0.00 |    0.00 |     0 | 0.00 || -2.94654 -0.79781 1.63586 -18.31271 27.76293 19.71470
   8 | 11028 | -3.17 | 1640.20 |     0 |     0 |     0 |  -28.73 |    0.00 |    0.00 |     0 | 0.00 || 1.07481 0.92775 1.45398 -2.05352 20.64600 -59.17463
   9 | 10988 | -2.90 | 1406.10 |     0 |     0 |     0 |   77.02 |    0.00 |    0.00 |     0 | 0.00 || 0.82019 0.47914 1.56154 11.55110 -5.46838 -60.27618
  10 | 10964 | -2.34 | 1294.60 |     0 |     0 |     0 |  277.13 |    0.00 |    0.00 |     0 | 0.00 || 2.05554 0.56285 1.94310 -39.31373 -8.81376 -26.48154
  11 | 10944 | -2.96 | 1364.00 |     0 |     0 |     0 |  300.99 |    0.00 |    0.00 |     0 | 0.00 || 0.47978 0.62588 -2.91464 -9.98502 29.32222 -34.80350
  12 | 10884 | -2.80 | 1298.50 |     0 |     0 |     0 |  301.71 |    0.00 |    0.00 |     0 | 0.00 || -1.95097 -0.67663 -1.76184 -20.68795 24.74073 26.13840
  13 | 10770 | -2.57 | 1429.20 |     0 |     0 |     0 |  -62.65 |    0.00 |    0.00 |     0 | 0.00 || 2.63534 0.28889 1.44593 -16.07414 -24.48879 -18.61782
  14 | 10738 | -3.34 | 1561.10 |     0 |     0 |     0 | -126.75 |    0.00 |    0.00 |     0 | 0.00 || -2.78597 0.76766 -2.23987 42.00243 21.14037 -19.69289
