*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1NB5_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1NB5/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1NB5_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 12168 | -3.67 | 1694.20 |     0 |     0 |     0 |  205.70 |    0.00 |    0.00 |     0 | 0.00 || -0.22762 -0.54519 1.41184 26.74923 -53.57000 36.98294
   2 | 11452 | -3.70 | 1639.10 |     0 |     0 |     0 |  142.96 |    0.00 |    0.00 |     0 | 0.00 || -2.95324 -0.25775 -0.76362 -10.04909 34.83228 35.34828
   3 | 11120 | -2.57 | 1301.20 |     0 |     0 |     0 |  328.63 |    0.00 |    0.00 |     0 | 0.00 || 2.44942 -0.82858 -2.12788 37.09788 48.23339 50.29730
   4 | 11054 | -3.13 | 1577.30 |     0 |     0 |     0 |  405.37 |    0.00 |    0.00 |     0 | 0.00 || -1.60626 1.09535 0.31541 14.19440 12.33339 -40.44480
   5 | 10834 | -2.76 | 1439.70 |     0 |     0 |     0 |  -71.29 |    0.00 |    0.00 |     0 | 0.00 || 1.51814 -0.25163 -0.65086 -15.50846 37.92773 12.79483
   6 | 10590 | -3.20 | 1381.80 |     0 |     0 |     0 |  177.03 |    0.00 |    0.00 |     0 | 0.00 || 0.12649 -0.98993 2.06526 51.06735 -35.34608 54.32771
   7 | 10560 | -2.52 | 1300.40 |     0 |     0 |     0 |  -37.06 |    0.00 |    0.00 |     0 | 0.00 || 0.96287 0.07686 2.50961 62.93446 -38.93655 0.26418
   8 | 10520 | -2.76 | 1447.90 |     0 |     0 |     0 |  487.75 |    0.00 |    0.00 |     0 | 0.00 || 2.06120 0.37544 2.27412 89.23206 -22.39115 -15.64912
   9 | 10452 | -3.29 | 1539.70 |     0 |     0 |     0 |  279.06 |    0.00 |    0.00 |     0 | 0.00 || 2.39567 0.64967 2.29451 60.22593 -41.52052 -12.84275
  10 | 10420 | -2.72 | 1450.50 |     0 |     0 |     0 |  335.82 |    0.00 |    0.00 |     0 | 0.00 || 2.23133 -0.67973 -0.68136 3.14829 -2.05572 33.28373
  11 | 10410 | -2.93 | 1341.60 |     0 |     0 |     0 |   75.17 |    0.00 |    0.00 |     0 | 0.00 || 0.10851 -0.83258 -2.16788 29.70215 -0.16570 40.28593
  12 | 10358 | -3.13 | 1386.10 |     0 |     0 |     0 |   94.21 |    0.00 |    0.00 |     0 | 0.00 || -2.51451 -0.01873 -0.71809 1.50093 19.08504 -10.05937
  13 | 10340 | -2.38 | 1206.20 |     0 |     0 |     0 |  187.88 |    0.00 |    0.00 |     0 | 0.00 || 2.02156 -0.49442 -0.72049 9.20634 43.10412 34.53277
  14 | 10330 | -3.59 | 1465.50 |     0 |     0 |     0 |  246.74 |    0.00 |    0.00 |     0 | 0.00 || -0.99758 1.17363 1.41694 30.54917 -24.49890 -43.93277
  15 | 10230 | -3.24 | 1576.70 |     0 |     0 |     0 |  329.53 |    0.00 |    0.00 |     0 | 0.00 || -2.33978 1.06769 0.70440 22.86292 -2.63413 -46.14256
  16 | 10216 | -2.62 | 1244.50 |     0 |     0 |     0 |   50.70 |    0.00 |    0.00 |     0 | 0.00 || 2.67833 1.22821 2.06449 26.00433 -29.72952 -30.81073
  17 | 10152 | -2.74 | 1206.10 |     0 |     0 |     0 |  351.64 |    0.00 |    0.00 |     0 | 0.00 || 1.04193 -0.41570 0.21985 -18.31493 -31.77448 51.82348
  18 | 10144 | -3.58 | 1710.70 |     0 |     0 |     0 |  106.01 |    0.00 |    0.00 |     0 | 0.00 || -0.76794 -0.29673 1.05412 7.46675 -52.12413 23.61757
  19 | 10088 | -3.00 | 1484.10 |     0 |     0 |     0 |  106.48 |    0.00 |    0.00 |     0 | 0.00 || -0.75288 -0.35827 -2.60623 63.73357 -1.15205 19.93935
  20 | 10022 | -2.93 | 1302.80 |     0 |     0 |     0 |  419.91 |    0.00 |    0.00 |     0 | 0.00 || -1.49687 -0.85342 -2.96808 82.62404 -16.75514 51.57818
  21 | 10018 | -2.98 | 1282.30 |     0 |     0 |     0 |  113.43 |    0.00 |    0.00 |     0 | 0.00 || -0.61455 0.61687 1.20869 7.68157 -18.38778 0.58220
  22 |  9982 | -3.18 | 1208.20 |     0 |     0 |     0 |   -7.88 |    0.00 |    0.00 |     0 | 0.00 || 1.82723 0.43586 2.16773 37.75536 -47.65129 -8.73347
  23 |  9976 | -2.92 | 1366.30 |     0 |     0 |     0 |  369.51 |    0.00 |    0.00 |     0 | 0.00 || 0.51474 0.61673 -2.99753 96.81187 14.80647 -0.62570
  24 |  9896 | -2.82 | 1374.50 |     0 |     0 |     0 |  199.82 |    0.00 |    0.00 |     0 | 0.00 || -2.87681 -1.06354 2.74251 62.82352 -7.20636 29.68262
