*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1NSN_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1NSN/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1NSN_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 15002 | -2.92 | 2180.00 |     0 |     0 |     0 |  313.88 |    0.00 |    0.00 |     0 | 0.00 || 2.82341 -0.15001 -0.51951 17.38246 185.82294 197.54066
   2 | 14610 | -3.62 | 2267.20 |     0 |     0 |     0 |   97.62 |    0.00 |    0.00 |     0 | 0.00 || -1.47539 -0.03733 -0.31268 -51.72665 42.62957 73.17315
   3 | 14380 | -2.53 | 1767.40 |     0 |     0 |     0 |  343.73 |    0.00 |    0.00 |     0 | 0.00 || 1.32569 -0.00419 2.44552 465.44861 -245.82779 62.17587
   4 | 13850 | -3.48 | 1980.20 |     0 |     0 |     0 |  152.98 |    0.00 |    0.00 |     0 | 0.00 || 0.69643 0.77398 -2.59951 456.90479 67.42743 -189.72000
   5 | 13814 | -2.81 | 1679.90 |     0 |     0 |     0 |  479.00 |    0.00 |    0.00 |     0 | 0.00 || -1.05239 -0.84813 -3.00020 512.04950 122.02417 287.90826
   6 | 13742 | -3.90 | 1916.80 |     0 |     0 |     0 |  497.34 |    0.00 |    0.00 |     0 | 0.00 || 3.10885 -1.20011 0.73861 238.09261 -11.98841 403.83234
   7 | 13370 | -3.88 | 2080.60 |     0 |     0 |     0 |  233.68 |    0.00 |    0.00 |     0 | 0.00 || 0.53653 0.05852 -2.27451 504.99243 229.04802 -9.24178
   8 | 13172 | -3.05 | 2075.60 |     0 |     0 |     0 |  289.68 |    0.00 |    0.00 |     0 | 0.00 || -2.43457 0.90166 -0.45793 28.42648 76.96616 -137.48410
   9 | 13058 | -3.53 | 2101.10 |     0 |     0 |     0 |  484.44 |    0.00 |    0.00 |     0 | 0.00 || 1.12617 -0.55344 1.60741 204.71423 -266.10907 227.62582
  10 | 12940 | -3.27 | 1890.40 |     0 |     0 |     0 |   97.57 |    0.00 |    0.00 |     0 | 0.00 || 1.44544 -1.21083 0.67683 139.39793 -37.66413 385.79785
  11 | 12894 | -3.84 | 1943.10 |     0 |     0 |     0 |  494.04 |    0.00 |    0.00 |     0 | 0.00 || 1.72467 -0.56318 -0.97184 209.76053 252.66096 298.18286
  12 | 12760 | -3.13 | 1952.30 |     0 |     0 |     0 |  254.83 |    0.00 |    0.00 |     0 | 0.00 || -2.14224 0.89605 -2.22366 351.80106 243.01770 -147.58566
  13 | 12744 | -3.55 | 1865.40 |     0 |     0 |     0 |   94.48 |    0.00 |    0.00 |     0 | 0.00 || -0.03532 0.61272 -1.31472 220.04108 226.51958 -174.69719
