*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1NW9_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1NW9/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1NW9_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 12056 | -2.92 | 1586.00 |     0 |     0 |     0 |  104.68 |    0.00 |    0.00 |     0 | 0.00 || 2.81053 -1.46669 0.67499 61.05166 120.73193 131.35260
   2 | 11654 | -3.21 | 1602.10 |     0 |     0 |     0 | -254.06 |    0.00 |    0.00 |     0 | 0.00 || -2.31440 0.48282 0.42923 2.50912 -77.20316 146.02734
   3 | 11640 | -2.81 | 1626.30 |     0 |     0 |     0 |  124.61 |    0.00 |    0.00 |     0 | 0.00 || 1.91164 -1.11456 -1.12433 110.90551 66.04345 124.45383
   4 | 11622 | -2.90 | 1565.10 |     0 |     0 |     0 |  -47.26 |    0.00 |    0.00 |     0 | 0.00 || -0.01564 -1.07888 1.38787 30.98601 -54.78901 76.67780
   5 | 11456 | -3.18 | 1650.80 |     0 |     0 |     0 | -197.45 |    0.00 |    0.00 |     0 | 0.00 || 0.60992 0.93479 3.06942 -35.52481 -2.43426 37.59008
   6 | 11412 | -2.51 | 1420.70 |     0 |     0 |     0 |  -63.39 |    0.00 |    0.00 |     0 | 0.00 || -2.65680 0.03983 -1.19180 -2.70494 50.28412 194.24353
   7 | 11380 | -2.90 | 1445.60 |     0 |     0 |     0 |  226.23 |    0.00 |    0.00 |     0 | 0.00 || 0.11619 0.14893 -2.37472 21.14695 33.61012 3.39320
   8 | 11340 | -2.79 | 1510.40 |     0 |     0 |     0 |  256.97 |    0.00 |    0.00 |     0 | 0.00 || 1.28579 -0.06349 2.01292 -40.74775 -54.64344 78.75677
   9 | 11186 | -3.34 | 1406.20 |     0 |     0 |     0 |  227.55 |    0.00 |    0.00 |     0 | 0.00 || 0.70338 -1.30252 -0.53911 6.29559 121.87135 94.04477
  10 | 11112 | -3.05 | 1472.60 |     0 |     0 |     0 |  188.53 |    0.00 |    0.00 |     0 | 0.00 || 0.76609 -1.31698 -1.44523 66.13879 111.38723 89.21899
  11 | 11052 | -2.91 | 1485.20 |     0 |     0 |     0 |  209.22 |    0.00 |    0.00 |     0 | 0.00 || 1.78717 -0.97969 1.38443 -61.43719 3.25242 103.45654
  12 | 11000 | -2.82 | 1482.60 |     0 |     0 |     0 |   74.47 |    0.00 |    0.00 |     0 | 0.00 || 2.74487 -0.19360 1.18063 -32.54013 35.13961 188.67842
  13 | 10996 | -2.74 | 1339.00 |     0 |     0 |     0 |  100.13 |    0.00 |    0.00 |     0 | 0.00 || 1.60560 -0.63756 1.10939 -58.13589 21.27244 78.08190
