*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1OC0_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1OC0/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1OC0_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 |  8822 | -2.92 | 1084.90 |     0 |     0 |     0 |   -7.49 |    0.00 |    0.00 |     0 | 0.00 || -0.73550 -1.22230 2.18379 55.21915 26.52136 6.88591
   2 |  8638 | -3.41 | 1287.50 |     0 |     0 |     0 |  256.09 |    0.00 |    0.00 |     0 | 0.00 || -2.39287 -0.06998 0.97008 8.13417 16.72400 77.68951
   3 |  8564 | -2.85 | 1225.90 |     0 |     0 |     0 |  -70.99 |    0.00 |    0.00 |     0 | 0.00 || -1.34798 1.13680 -1.32441 -33.80317 23.24966 -8.16690
   4 |  8504 | -3.13 | 1147.50 |     0 |     0 |     0 |  -34.25 |    0.00 |    0.00 |     0 | 0.00 || 2.41052 1.34811 -0.74773 -3.75558 86.28391 -5.99682
   5 |  8504 | -2.20 |  994.20 |     0 |     0 |     0 |  386.72 |    0.00 |    0.00 |     0 | 0.00 || -0.47885 0.25570 1.56849 42.46234 36.77880 -50.63087
   6 |  8378 | -2.81 | 1029.10 |     0 |     0 |     0 |   17.43 |    0.00 |    0.00 |     0 | 0.00 || -1.45508 -0.39347 1.98740 62.70051 30.03056 22.18640
   7 |  8370 | -2.71 | 1078.80 |     0 |     0 |     0 |  135.95 |    0.00 |    0.00 |     0 | 0.00 || 0.62074 -0.46210 -2.73950 45.16338 24.71899 -38.03446
   8 |  8368 | -2.80 | 1148.60 |     0 |     0 |     0 |  222.95 |    0.00 |    0.00 |     0 | 0.00 || -1.63476 -0.46888 -2.09578 -34.72845 50.85748 57.79967
   9 |  8342 | -2.94 | 1091.30 |     0 |     0 |     0 |  365.91 |    0.00 |    0.00 |     0 | 0.00 || 1.12388 0.47916 0.82579 -10.26781 74.03043 -57.13142
  10 |  8340 | -2.55 | 1114.90 |     0 |     0 |     0 |  317.68 |    0.00 |    0.00 |     0 | 0.00 || 0.59471 -1.02884 0.07193 -43.34864 35.99555 20.82676
  11 |  8276 | -2.96 | 1021.70 |     0 |     0 |     0 |  108.83 |    0.00 |    0.00 |     0 | 0.00 || 1.87358 0.51009 0.83630 -38.62984 55.46603 18.29806
  12 |  8270 | -2.35 |  982.20 |     0 |     0 |     0 |  -39.38 |    0.00 |    0.00 |     0 | 0.00 || 1.68125 0.56276 -1.14565 65.93916 36.62738 -15.12521
  13 |  8226 | -2.70 | 1097.20 |     0 |     0 |     0 |  208.89 |    0.00 |    0.00 |     0 | 0.00 || 1.09408 -1.11906 -2.75062 40.29084 11.81471 -3.04745
  14 |  8132 | -2.68 | 1016.00 |     0 |     0 |     0 |  132.49 |    0.00 |    0.00 |     0 | 0.00 || -0.20876 1.11249 -2.65354 -43.78267 34.58244 -21.43985
  15 |  8114 | -2.60 | 1012.80 |     0 |     0 |     0 |  -79.84 |    0.00 |    0.00 |     0 | 0.00 || 0.99962 0.79734 -0.76363 18.93777 40.59535 -53.90854
  16 |  8092 | -2.37 |  943.90 |     0 |     0 |     0 |  -90.75 |    0.00 |    0.00 |     0 | 0.00 || -0.45549 -0.40156 1.19772 27.55354 -2.07420 12.64721
  17 |  8088 | -2.70 | 1144.90 |     0 |     0 |     0 | -146.43 |    0.00 |    0.00 |     0 | 0.00 || 1.79152 0.55434 1.47093 -23.48307 18.10815 -12.99578
  18 |  8086 | -2.68 |  968.20 |     0 |     0 |     0 |  317.24 |    0.00 |    0.00 |     0 | 0.00 || 1.78655 -0.46464 2.81437 16.79191 -30.53921 -4.82174
  19 |  8066 | -2.64 | 1023.80 |     0 |     0 |     0 |  -29.69 |    0.00 |    0.00 |     0 | 0.00 || -0.53037 1.19083 -0.03433 44.66474 12.82251 -12.72291
