*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1OPH_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1OPH/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1OPH_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 13694 | -3.36 | 2054.10 |     0 |     0 |     0 |  427.38 |    0.00 |    0.00 |     0 | 0.00 || 2.40811 -0.48251 -1.85299 97.35367 43.77502 32.88257
   2 | 13558 | -3.31 | 1984.10 |     0 |     0 |     0 |  331.39 |    0.00 |    0.00 |     0 | 0.00 || 0.72262 -0.34018 2.75452 40.79652 0.41420 -25.37740
   3 | 13532 | -3.00 | 1964.30 |     0 |     0 |     0 |  407.79 |    0.00 |    0.00 |     0 | 0.00 || -2.25420 0.60178 -2.91282 53.56872 75.21108 73.30968
   4 | 13424 | -3.39 | 1676.70 |     0 |     0 |     0 |  331.63 |    0.00 |    0.00 |     0 | 0.00 || 1.32962 1.16995 -1.69723 116.79382 -3.96726 -30.62548
   5 | 13148 | -3.10 | 1912.90 |     0 |     0 |     0 |  121.53 |    0.00 |    0.00 |     0 | 0.00 || -1.86099 -0.78046 -2.25337 8.18403 59.41925 68.52745
   6 | 13056 | -3.18 | 1873.80 |     0 |     0 |     0 |  248.13 |    0.00 |    0.00 |     0 | 0.00 || -2.72711 -0.86517 -0.59335 53.01761 23.53407 59.79867
   7 | 12906 | -3.51 | 1880.10 |     0 |     0 |     0 |   99.50 |    0.00 |    0.00 |     0 | 0.00 || -1.15857 -0.40510 -1.75445 -7.22575 72.44141 26.59297
   8 | 12884 | -3.29 | 1766.60 |     0 |     0 |     0 |  208.05 |    0.00 |    0.00 |     0 | 0.00 || 1.48338 0.57678 2.58173 29.59431 -24.25641 -33.16169
   9 | 12778 | -3.62 | 1790.80 |     0 |     0 |     0 |  323.97 |    0.00 |    0.00 |     0 | 0.00 || 2.29397 0.10388 -2.54595 73.18337 2.62427 20.60113
  10 | 12764 | -2.88 | 1554.70 |     0 |     0 |     0 |  304.33 |    0.00 |    0.00 |     0 | 0.00 || 2.33786 -0.41603 2.83400 50.54299 -23.05984 52.71934
  11 | 12758 | -2.72 | 1675.00 |     0 |     0 |     0 |  190.26 |    0.00 |    0.00 |     0 | 0.00 || -2.87567 -1.37810 2.60163 -48.54315 68.56668 37.00276
  12 | 12738 | -3.40 | 1693.90 |     0 |     0 |     0 |  366.78 |    0.00 |    0.00 |     0 | 0.00 || 2.58676 -0.80891 -1.45277 70.03596 26.41976 81.08781
  13 | 12704 | -2.89 | 1745.80 |     0 |     0 |     0 |  234.50 |    0.00 |    0.00 |     0 | 0.00 || 1.48713 0.29450 -0.91359 106.31090 75.66361 -29.68762
