*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1P2C_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1P2C/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1P2C_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 16592 | -3.88 | 2267.50 |     0 |     0 |     0 |  251.18 |    0.00 |    0.00 |     0 | 0.00 || -2.61457 -1.04656 -0.94403 -27.29797 -175.31503 268.08597
   2 | 14932 | -3.35 | 2090.40 |     0 |     0 |     0 |  263.57 |    0.00 |    0.00 |     0 | 0.00 || 2.60749 -0.15158 -2.74517 63.83218 -54.62385 334.69403
   3 | 14364 | -3.77 | 2137.10 |     0 |     0 |     0 |  313.58 |    0.00 |    0.00 |     0 | 0.00 || 2.32083 -0.19590 3.00771 -12.82517 -147.03888 302.65002
   4 | 14126 | -3.86 | 1991.60 |     0 |     0 |     0 |  451.23 |    0.00 |    0.00 |     0 | 0.00 || 1.87887 -1.41652 2.28548 -149.31473 -55.97472 199.06906
   5 | 14112 | -3.94 | 2362.90 |     0 |     0 |     0 |  307.98 |    0.00 |    0.00 |     0 | 0.00 || -2.35863 0.44598 -0.29558 -101.28982 -96.36911 254.69962
   6 | 14024 | -3.51 | 2129.80 |     0 |     0 |     0 |  428.45 |    0.00 |    0.00 |     0 | 0.00 || -0.71430 0.40133 3.05276 -20.10554 98.97720 2.73105
   7 | 13646 | -3.26 | 1997.40 |     0 |     0 |     0 |  483.39 |    0.00 |    0.00 |     0 | 0.00 || 1.34984 -0.81267 0.37636 -115.91489 142.32150 162.85316
   8 | 13636 | -2.33 | 1598.20 |     0 |     0 |     0 |  380.85 |    0.00 |    0.00 |     0 | 0.00 || -0.58731 -0.10723 1.91361 100.41739 -41.08824 -10.37462
   9 | 13524 | -3.97 | 2823.60 |     0 |     0 |     0 |  187.52 |    0.00 |    0.00 |     0 | 0.00 || -0.08192 0.56379 2.92896 -48.48669 30.62987 -25.87105
  10 | 13314 | -3.10 | 1675.10 |     0 |     0 |     0 |  306.76 |    0.00 |    0.00 |     0 | 0.00 || 0.15344 -1.26083 0.39812 -197.05292 -48.90822 132.49243
  11 | 13294 | -2.62 | 1652.70 |     0 |     0 |     0 |  341.56 |    0.00 |    0.00 |     0 | 0.00 || 1.22403 1.08808 1.41692 -186.40338 35.02557 94.34463
  12 | 13206 | -3.08 | 1857.50 |     0 |     0 |     0 |  495.11 |    0.00 |    0.00 |     0 | 0.00 || 0.90588 -0.08396 -0.77923 101.92259 164.99541 54.95597
  13 | 13074 | -4.10 | 2073.00 |     0 |     0 |     0 |  133.65 |    0.00 |    0.00 |     0 | 0.00 || -3.03751 0.86386 0.99236 -63.42379 -180.07014 247.71982
  14 | 13024 | -2.56 | 1547.00 |     0 |     0 |     0 |  383.93 |    0.00 |    0.00 |     0 | 0.00 || 3.13825 -0.60231 -2.19517 -36.38186 -35.96598 334.86746
  15 | 12990 | -3.39 | 1791.40 |     0 |     0 |     0 |  480.49 |    0.00 |    0.00 |     0 | 0.00 || -2.03059 -0.59039 1.87099 163.16521 40.79944 231.07211
  16 | 12952 | -3.02 | 1796.30 |     0 |     0 |     0 |  215.33 |    0.00 |    0.00 |     0 | 0.00 || 1.77539 -0.56291 -0.13118 17.18380 165.04466 223.68359
  17 | 12836 | -3.61 | 1976.00 |     0 |     0 |     0 |  491.87 |    0.00 |    0.00 |     0 | 0.00 || 2.21276 0.14606 -0.38803 -6.26291 140.00447 278.46860
  18 | 12798 | -3.32 | 1573.10 |     0 |     0 |     0 |  274.25 |    0.00 |    0.00 |     0 | 0.00 || -1.29977 0.78386 0.61922 116.45986 -152.39197 86.50992
  19 | 12770 | -3.27 | 1745.90 |     0 |     0 |     0 |  297.70 |    0.00 |    0.00 |     0 | 0.00 || 1.62016 -0.04651 -0.56383 94.06816 197.28313 182.39056
  20 | 12664 | -3.47 | 1788.40 |     0 |     0 |     0 |  290.08 |    0.00 |    0.00 |     0 | 0.00 || -1.23522 -0.31089 2.35692 158.64798 67.25517 93.65042
  21 | 12658 | -3.44 | 1953.10 |     0 |     0 |     0 |  463.01 |    0.00 |    0.00 |     0 | 0.00 || 2.64810 -0.13155 -1.11557 88.75862 59.10467 330.26721
  22 | 12542 | -3.29 | 2088.90 |     0 |     0 |     0 |  435.22 |    0.00 |    0.00 |     0 | 0.00 || -0.66187 0.30741 -0.14024 -4.70771 -124.20352 -2.85599
  23 | 12404 | -3.75 | 1875.60 |     0 |     0 |     0 |  268.56 |    0.00 |    0.00 |     0 | 0.00 || 2.63188 -0.09142 -1.23907 60.73281 33.28978 341.03857
  24 | 12228 | -3.60 | 1892.30 |     0 |     0 |     0 |  460.77 |    0.00 |    0.00 |     0 | 0.00 || -1.75078 -0.51830 -0.85178 -166.57741 -124.74087 190.59229
  25 | 12218 | -3.51 | 1978.40 |     0 |     0 |     0 |  258.16 |    0.00 |    0.00 |     0 | 0.00 || 0.09381 -0.43069 3.08225 109.01285 -61.01572 -2.87498
  26 | 12118 | -3.52 | 1625.90 |     0 |     0 |     0 |  408.66 |    0.00 |    0.00 |     0 | 0.00 || 0.51503 -0.35583 0.08711 -103.34287 81.33340 18.83475
  27 | 12056 | -3.28 | 1715.70 |     0 |     0 |     0 |  -37.62 |    0.00 |    0.00 |     0 | 0.00 || -0.10549 0.03554 2.99586 25.84514 -16.11039 -34.59442
  28 | 12004 | -2.99 | 1656.00 |     0 |     0 |     0 |  326.75 |    0.00 |    0.00 |     0 | 0.00 || 1.16324 1.15608 2.34054 -162.64656 -117.35283 95.30059
  29 | 12000 | -3.08 | 1725.10 |     0 |     0 |     0 |  332.63 |    0.00 |    0.00 |     0 | 0.00 || -1.39778 0.11031 -0.37961 -106.14438 -175.72943 107.94395
  30 | 11968 | -3.51 | 2060.80 |     0 |     0 |     0 |  442.69 |    0.00 |    0.00 |     0 | 0.00 || -1.94494 -0.22967 1.38553 205.76208 -49.94318 212.79587
  31 | 11918 | -3.61 | 1804.40 |     0 |     0 |     0 |  312.17 |    0.00 |    0.00 |     0 | 0.00 || 2.18808 -0.58586 -3.09931 -39.45436 -162.41122 283.43698
  32 | 11894 | -3.12 | 1590.80 |     0 |     0 |     0 |  281.27 |    0.00 |    0.00 |     0 | 0.00 || 1.94565 -0.40934 -1.10368 149.21053 58.62992 247.04616
  33 | 11844 | -2.98 | 1669.20 |     0 |     0 |     0 |  456.27 |    0.00 |    0.00 |     0 | 0.00 || -3.03478 -0.55098 -1.33084 -9.04874 -97.18967 312.18063
  34 | 11822 | -3.23 | 1667.70 |     0 |     0 |     0 |  391.63 |    0.00 |    0.00 |     0 | 0.00 || -0.92839 0.72698 1.09930 177.88222 1.06601 28.81188
  35 | 11790 | -3.28 | 1795.00 |     0 |     0 |     0 |  436.07 |    0.00 |    0.00 |     0 | 0.00 || -2.80156 0.92882 -1.37793 -120.83485 133.97871 233.65698
  36 | 11762 | -3.44 | 2057.50 |     0 |     0 |     0 |  159.23 |    0.00 |    0.00 |     0 | 0.00 || -0.90403 0.08562 2.02344 160.01064 55.27510 24.98636
  37 | 11704 | -3.15 | 1625.30 |     0 |     0 |     0 |  336.68 |    0.00 |    0.00 |     0 | 0.00 || -1.16495 0.53570 1.78098 153.61623 34.17354 64.87772
  38 | 11696 | -2.80 | 1592.60 |     0 |     0 |     0 |  290.23 |    0.00 |    0.00 |     0 | 0.00 || -2.75446 -0.06717 0.71093 35.44948 -107.06319 324.19495
  39 | 11688 | -4.31 | 1735.00 |     0 |     0 |     0 |  284.52 |    0.00 |    0.00 |     0 | 0.00 || -2.23163 0.23490 2.41535 184.68469 88.69273 239.62158
  40 | 11658 | -2.77 | 1522.50 |     0 |     0 |     0 |  182.90 |    0.00 |    0.00 |     0 | 0.00 || 1.29964 0.62826 0.63588 -126.28045 124.78024 100.65002
  41 | 11656 | -2.89 | 1633.10 |     0 |     0 |     0 |  298.19 |    0.00 |    0.00 |     0 | 0.00 || 2.73381 -0.37293 2.99767 -55.29967 -39.88737 314.46106
  42 | 11652 | -3.81 | 1553.80 |     0 |     0 |     0 |  296.79 |    0.00 |    0.00 |     0 | 0.00 || -1.16992 0.46629 -2.49038 -112.73904 113.18799 67.56466
  43 | 11638 | -2.84 | 1499.70 |     0 |     0 |     0 |  142.07 |    0.00 |    0.00 |     0 | 0.00 || 2.77033 -0.68520 -2.80810 -70.15212 -99.59550 320.60419
  44 | 11626 | -3.12 | 1733.00 |     0 |     0 |     0 |  373.58 |    0.00 |    0.00 |     0 | 0.00 || 2.76928 0.34986 -1.17119 5.38021 96.20669 316.48828
  45 | 11624 | -3.84 | 1835.20 |     0 |     0 |     0 |  466.60 |    0.00 |    0.00 |     0 | 0.00 || 0.77853 0.43117 0.91214 -92.52831 126.13021 23.46210
  46 | 11562 | -3.83 | 1909.50 |     0 |     0 |     0 |  446.03 |    0.00 |    0.00 |     0 | 0.00 || -2.03236 0.23479 1.64407 173.34709 -52.86530 218.09473
  47 | 11546 | -2.68 | 1532.60 |     0 |     0 |     0 |  455.00 |    0.00 |    0.00 |     0 | 0.00 || -2.01986 0.46433 -0.43834 -141.33273 -154.69048 196.11311
  48 | 11506 | -2.67 | 1402.60 |     0 |     0 |     0 |  293.67 |    0.00 |    0.00 |     0 | 0.00 || 0.69124 -0.08416 -0.98167 121.52586 118.08592 12.56534
  49 | 11502 | -2.57 | 1359.60 |     0 |     0 |     0 |   87.17 |    0.00 |    0.00 |     0 | 0.00 || -1.92826 0.61002 2.21743 175.03519 46.63790 183.50160
