*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1PPE_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1PPE/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1PPE_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 10896 | -2.59 | 1427.00 |     0 |     0 |     0 | -167.16 |    0.00 |    0.00 |     0 | 0.00 || 1.66904 0.81478 1.37911 16.62137 38.63137 11.96790
   2 | 10842 | -2.43 | 1228.60 |     0 |     0 |     0 |  -12.57 |    0.00 |    0.00 |     0 | 0.00 || 1.87993 -1.49118 -1.53108 27.67171 19.08128 -9.93766
   3 | 10676 | -3.09 | 1562.70 |     0 |     0 |     0 | -135.22 |    0.00 |    0.00 |     0 | 0.00 || 0.11272 -0.55532 -3.07118 3.38660 11.15079 3.46332
   4 | 10616 | -2.56 | 1450.50 |     0 |     0 |     0 |  -91.05 |    0.00 |    0.00 |     0 | 0.00 || 0.32909 0.04921 0.17088 18.11685 -6.18635 -20.51146
   5 | 10450 | -2.13 | 1146.90 |     0 |     0 |     0 |   53.66 |    0.00 |    0.00 |     0 | 0.00 || -1.12053 -0.73627 2.92205 26.19828 39.46627 14.70284
   6 | 10444 | -2.67 | 1348.30 |     0 |     0 |     0 |   65.25 |    0.00 |    0.00 |     0 | 0.00 || -2.37998 0.75813 3.01062 9.07546 9.26476 38.64138
   7 | 10422 | -3.20 | 1463.50 |     0 |     0 |     0 |  -99.20 |    0.00 |    0.00 |     0 | 0.00 || 2.18421 1.47995 0.94840 -14.09895 24.04406 11.88986
   8 | 10400 | -2.95 | 1294.70 |     0 |     0 |     0 |  -60.79 |    0.00 |    0.00 |     0 | 0.00 || 0.72707 -1.05860 1.96175 6.61045 1.26551 4.32156
   9 | 10340 | -3.55 | 1353.80 |     0 |     0 |     0 | -135.77 |    0.00 |    0.00 |     0 | 0.00 || 2.38199 0.33726 -2.51525 10.57267 -26.22004 8.92471
  10 | 10310 | -3.00 | 1322.20 |     0 |     0 |     0 | -131.14 |    0.00 |    0.00 |     0 | 0.00 || 0.05911 0.44794 2.09439 10.21609 10.47066 -0.95571
  11 | 10266 | -3.13 | 1289.60 |     0 |     0 |     0 |   99.33 |    0.00 |    0.00 |     0 | 0.00 || 2.59110 0.26842 2.13994 2.34838 11.55059 33.05474
  12 | 10180 | -2.52 | 1283.20 |     0 |     0 |     0 | -117.47 |    0.00 |    0.00 |     0 | 0.00 || -1.89163 -1.16601 1.57665 13.25698 40.87852 4.63771
  13 | 10096 | -3.25 | 1334.00 |     0 |     0 |     0 | -134.83 |    0.00 |    0.00 |     0 | 0.00 || 0.67672 0.25850 -0.70514 32.22487 5.65250 9.48428
  14 | 10016 | -3.05 | 1289.80 |     0 |     0 |     0 | -119.74 |    0.00 |    0.00 |     0 | 0.00 || 0.75157 0.62775 -0.97332 32.95270 9.40915 6.17047
