*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1PXV_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1PXV/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1PXV_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 12552 | -3.58 | 1912.50 |     0 |     0 |     0 |  160.99 |    0.00 |    0.00 |     0 | 0.00 || -1.06506 0.19170 -2.07293 43.89465 64.24373 11.51709
   2 | 12404 | -2.72 | 1581.70 |     0 |     0 |     0 |  273.49 |    0.00 |    0.00 |     0 | 0.00 || 2.17598 0.51274 0.03402 -1.93962 23.25449 -19.74963
   3 | 12220 | -2.75 | 1540.20 |     0 |     0 |     0 |  -87.88 |    0.00 |    0.00 |     0 | 0.00 || 1.24943 0.77394 2.39598 72.31136 -34.73858 -11.29509
   4 | 12160 | -3.33 | 1878.50 |     0 |     0 |     0 |  300.07 |    0.00 |    0.00 |     0 | 0.00 || 1.88529 0.14215 1.75884 29.66951 -33.99537 -7.79746
   5 | 11956 | -3.83 | 1752.80 |     0 |     0 |     0 |  392.82 |    0.00 |    0.00 |     0 | 0.00 || 1.68282 0.19538 -1.39916 27.96078 62.94300 -12.03828
   6 | 11890 | -3.15 | 2007.50 |     0 |     0 |     0 |  253.15 |    0.00 |    0.00 |     0 | 0.00 || -0.93931 -1.02278 0.16110 17.02105 -2.07566 57.26683
   7 | 11826 | -3.40 | 1650.40 |     0 |     0 |     0 |  286.28 |    0.00 |    0.00 |     0 | 0.00 || -1.63260 0.95460 2.52319 79.19270 -4.29043 -30.60083
   8 | 11690 | -2.70 | 1452.70 |     0 |     0 |     0 |  263.72 |    0.00 |    0.00 |     0 | 0.00 || 1.73376 0.11539 0.23964 -32.91452 -4.73105 35.91963
   9 | 11624 | -3.16 | 1377.00 |     0 |     0 |     0 |  188.06 |    0.00 |    0.00 |     0 | 0.00 || 1.23154 -0.16354 -2.08979 74.29438 56.36299 45.04192
  10 | 11602 | -2.92 | 1611.40 |     0 |     0 |     0 | -132.27 |    0.00 |    0.00 |     0 | 0.00 || -2.50501 -0.26980 -2.91545 56.90763 46.57131 49.29719
  11 | 11592 | -2.97 | 1559.90 |     0 |     0 |     0 |  417.05 |    0.00 |    0.00 |     0 | 0.00 || -0.46172 0.07225 -0.26302 -29.48234 8.07514 9.00993
