*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1QA9_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1QA9/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1QA9_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 15776 | -3.62 | 2246.60 |     0 |     0 |     0 |  366.76 |    0.00 |    0.00 |     0 | 0.00 || -1.17926 -0.42621 0.39270 -17.33446 -13.31910 113.80121
   2 | 14824 | -3.43 | 2021.60 |     0 |     0 |     0 |  330.72 |    0.00 |    0.00 |     0 | 0.00 || -0.83434 0.03422 1.99798 54.09562 -32.52844 76.24878
   3 | 13406 | -2.23 | 1547.40 |     0 |     0 |     0 |  169.19 |    0.00 |    0.00 |     0 | 0.00 || -2.55485 -1.04606 -0.10742 9.42679 12.60435 96.58734
   4 | 13066 | -2.79 | 1629.90 |     0 |     0 |     0 |  346.23 |    0.00 |    0.00 |     0 | 0.00 || 1.69654 0.43572 -0.69182 -0.18470 19.64231 21.31417
   5 | 12868 | -3.16 | 1670.30 |     0 |     0 |     0 |  273.29 |    0.00 |    0.00 |     0 | 0.00 || -0.95189 -0.14311 2.52633 62.47496 -10.78347 92.55927
   6 | 12780 | -2.81 | 1452.70 |     0 |     0 |     0 |  447.14 |    0.00 |    0.00 |     0 | 0.00 || -0.51594 0.52516 -2.50489 28.30953 57.67142 26.79714
   7 | 12598 | -3.48 | 1810.50 |     0 |     0 |     0 |  441.50 |    0.00 |    0.00 |     0 | 0.00 || -0.76668 -0.36527 -3.03521 54.70145 16.77109 86.08306
   8 | 12522 | -2.43 | 1491.10 |     0 |     0 |     0 |  472.87 |    0.00 |    0.00 |     0 | 0.00 || 0.00819 -0.26274 0.50151 -15.20120 -44.22648 66.63432
   9 | 12486 | -3.01 | 1672.70 |     0 |     0 |     0 |  257.02 |    0.00 |    0.00 |     0 | 0.00 || -0.87066 -0.42674 -0.61893 1.60767 11.98902 97.72691
  10 | 12378 | -3.13 | 1543.50 |     0 |     0 |     0 |  113.71 |    0.00 |    0.00 |     0 | 0.00 || 1.68770 1.00544 2.09418 36.00151 6.86337 -1.38864
  11 | 12230 | -3.28 | 1675.20 |     0 |     0 |     0 |  417.33 |    0.00 |    0.00 |     0 | 0.00 || 2.30337 0.64781 1.21809 -23.55905 -19.40491 32.62833
  12 | 12136 | -2.70 | 1497.80 |     0 |     0 |     0 |  497.89 |    0.00 |    0.00 |     0 | 0.00 || 0.01930 0.81067 -2.59477 22.03664 39.93711 14.56160
  13 | 12090 | -3.24 | 1531.10 |     0 |     0 |     0 |  400.75 |    0.00 |    0.00 |     0 | 0.00 || -2.84937 -0.50081 2.94078 34.30049 9.16802 87.53812
  14 | 12078 | -3.58 | 1572.90 |     0 |     0 |     0 |  256.64 |    0.00 |    0.00 |     0 | 0.00 || -0.82956 -0.51204 -2.52274 37.61475 68.13970 79.68491
  15 | 12072 | -3.32 | 1641.50 |     0 |     0 |     0 |  373.90 |    0.00 |    0.00 |     0 | 0.00 || -1.29976 -0.64255 2.01680 49.65097 13.85323 122.02460
  16 | 12014 | -2.79 | 1432.20 |     0 |     0 |     0 |  475.62 |    0.00 |    0.00 |     0 | 0.00 || 2.72464 0.21991 -2.21796 74.64867 49.13063 66.59487
  17 | 11986 | -3.35 | 1944.10 |     0 |     0 |     0 |   -7.68 |    0.00 |    0.00 |     0 | 0.00 || 2.11343 -0.06817 -2.22534 60.78754 45.16454 31.51995
