*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1R6Q_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1R6Q/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1R6Q_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 11008 | -2.99 | 1416.70 |     0 |     0 |     0 |  139.21 |    0.00 |    0.00 |     0 | 0.00 || -3.02216 0.97089 1.80574 37.24227 -15.36281 -40.46663
   2 | 10826 | -2.91 | 1394.70 |     0 |     0 |     0 |  181.30 |    0.00 |    0.00 |     0 | 0.00 || 1.62420 -0.49977 1.35660 4.53101 -56.97343 35.91838
   3 | 10824 | -3.02 | 1322.90 |     0 |     0 |     0 |   -8.84 |    0.00 |    0.00 |     0 | 0.00 || 2.65877 0.10755 1.51468 13.61679 -45.00597 25.22144
   4 | 10804 | -2.95 | 1414.40 |     0 |     0 |     0 |   81.07 |    0.00 |    0.00 |     0 | 0.00 || -1.57083 0.54787 -0.00695 -35.54704 31.32602 -0.11368
   5 | 10774 | -2.60 | 1345.40 |     0 |     0 |     0 |  332.61 |    0.00 |    0.00 |     0 | 0.00 || 2.33956 -0.72878 1.97370 63.32396 -35.93465 53.32466
   6 | 10726 | -3.71 | 1481.30 |     0 |     0 |     0 |   56.20 |    0.00 |    0.00 |     0 | 0.00 || 2.53071 0.41419 2.95244 106.45270 1.49466 -23.64651
   7 | 10694 | -3.19 | 1457.30 |     0 |     0 |     0 | -114.75 |    0.00 |    0.00 |     0 | 0.00 || 0.90438 0.85306 0.47026 26.86649 26.63092 -64.48254
   8 | 10678 | -2.98 | 1323.70 |     0 |     0 |     0 |   40.93 |    0.00 |    0.00 |     0 | 0.00 || 2.48884 -1.36704 -2.38396 95.84786 35.20740 74.68322
   9 | 10514 | -2.70 | 1295.30 |     0 |     0 |     0 |   97.51 |    0.00 |    0.00 |     0 | 0.00 || -0.91778 -0.35453 2.27055 113.99079 19.97672 48.92521
  10 | 10402 | -2.82 | 1471.40 |     0 |     0 |     0 |   69.49 |    0.00 |    0.00 |     0 | 0.00 || 0.56551 -1.19187 -2.45559 85.31629 76.01749 48.05500
  11 | 10338 | -4.08 | 1447.10 |     0 |     0 |     0 |  -50.93 |    0.00 |    0.00 |     0 | 0.00 || -0.39410 0.70107 0.03875 3.18530 -8.16695 -54.88981
  12 | 10306 | -2.99 | 1409.30 |     0 |     0 |     0 |   19.08 |    0.00 |    0.00 |     0 | 0.00 || 2.60137 -1.01757 2.84795 63.59337 -14.46499 83.99571
