*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1RLB_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1RLB/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1RLB_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 15406 | -2.97 | 1983.50 |     0 |     0 |     0 |   71.92 |    0.00 |    0.00 |     0 | 0.00 || 0.56388 -0.38061 -2.06629 159.74660 168.74631 47.11735
   2 | 14658 | -3.47 | 2233.20 |     0 |     0 |     0 |   28.96 |    0.00 |    0.00 |     0 | 0.00 || -2.66176 0.48318 0.56195 4.51216 -0.24946 -36.47590
   3 | 14270 | -3.60 | 2079.60 |     0 |     0 |     0 |   38.93 |    0.00 |    0.00 |     0 | 0.00 || 0.35901 -0.49980 0.96811 112.63208 -103.50836 71.68602
   4 | 13998 | -2.77 | 1672.10 |     0 |     0 |     0 |  421.41 |    0.00 |    0.00 |     0 | 0.00 || 1.39021 0.04698 -0.30251 -6.52277 66.78368 -47.30969
   5 | 13910 | -2.82 | 1927.80 |     0 |     0 |     0 |  203.61 |    0.00 |    0.00 |     0 | 0.00 || 1.33827 1.04576 -0.25816 138.14328 31.21785 -159.64981
   6 | 13880 | -3.42 | 2246.80 |     0 |     0 |     0 |   53.27 |    0.00 |    0.00 |     0 | 0.00 || -2.44427 0.57309 -2.64712 276.11365 50.79320 -39.15377
   7 | 13796 | -2.94 | 1872.50 |     0 |     0 |     0 |  -38.85 |    0.00 |    0.00 |     0 | 0.00 || -2.77873 -0.18187 -2.09948 256.19458 84.75983 41.34872
   8 | 13616 | -3.42 | 1953.40 |     0 |     0 |     0 |  366.12 |    0.00 |    0.00 |     0 | 0.00 || -2.77956 1.43567 0.43128 70.09066 44.82763 -133.88683
   9 | 13544 | -4.00 | 2243.90 |     0 |     0 |     0 |  332.93 |    0.00 |    0.00 |     0 | 0.00 || -2.80239 -0.46656 -2.38882 245.83179 44.98570 67.77484
  10 | 13470 | -2.76 | 1839.80 |     0 |     0 |     0 |  425.82 |    0.00 |    0.00 |     0 | 0.00 || -2.54365 0.74008 2.89241 211.09586 -48.91415 -24.37538
