*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1RV6_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1RV6/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1RV6_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 14794 | -2.80 | 1982.80 |     0 |     0 |     0 |   99.49 |    0.00 |    0.00 |     0 | 0.00 || 2.16438 0.93046 -1.12611 27.26606 38.32816 40.69421
   2 | 13880 | -3.47 | 1976.70 |     0 |     0 |     0 |  291.58 |    0.00 |    0.00 |     0 | 0.00 || 2.04951 0.32165 2.06909 1.68710 28.16448 38.36983
   3 | 13680 | -3.94 | 2100.00 |     0 |     0 |     0 |  162.50 |    0.00 |    0.00 |     0 | 0.00 || 2.38582 0.72741 2.81212 16.71091 11.36352 42.34846
   4 | 13586 | -3.25 | 1944.20 |     0 |     0 |     0 |  147.48 |    0.00 |    0.00 |     0 | 0.00 || 2.01502 0.85507 -0.11526 14.64792 50.60312 36.68944
   5 | 13494 | -2.99 | 1717.40 |     0 |     0 |     0 |  -96.64 |    0.00 |    0.00 |     0 | 0.00 || -1.67558 -1.11604 2.97088 10.34153 46.79752 32.81250
   6 | 13362 | -3.41 | 2147.90 |     0 |     0 |     0 |  118.58 |    0.00 |    0.00 |     0 | 0.00 || 2.34458 1.11646 2.42443 11.22069 21.18560 40.93475
   7 | 13250 | -3.26 | 1886.70 |     0 |     0 |     0 | -149.09 |    0.00 |    0.00 |     0 | 0.00 || 0.28034 -1.08919 1.47409 15.66609 27.61567 22.44491
   8 | 13198 | -2.95 | 1644.60 |     0 |     0 |     0 |   65.28 |    0.00 |    0.00 |     0 | 0.00 || -0.95169 -0.71948 1.08656 27.99306 23.98752 28.73949
   9 | 13092 | -2.72 | 1581.70 |     0 |     0 |     0 |   28.41 |    0.00 |    0.00 |     0 | 0.00 || -2.52317 -0.90473 -0.96907 18.79833 17.80436 40.09875
  10 | 12762 | -3.45 | 1954.90 |     0 |     0 |     0 |   43.88 |    0.00 |    0.00 |     0 | 0.00 || -0.73437 -0.41635 -1.95574 1.90912 35.06450 25.57169
  11 | 12684 | -3.97 | 2026.40 |     0 |     0 |     0 |   37.29 |    0.00 |    0.00 |     0 | 0.00 || 1.25318 1.38867 -1.27029 22.85747 21.44425 39.43589
  12 | 12654 | -2.37 | 1418.40 |     0 |     0 |     0 |   11.60 |    0.00 |    0.00 |     0 | 0.00 || -2.52807 0.51912 -1.01553 4.58684 26.30444 51.97052
  13 | 12620 | -3.56 | 1918.10 |     0 |     0 |     0 |  216.25 |    0.00 |    0.00 |     0 | 0.00 || -0.48802 1.03658 2.80154 8.54645 41.66199 34.53326
  14 | 12264 | -3.56 | 1702.90 |     0 |     0 |     0 |  227.45 |    0.00 |    0.00 |     0 | 0.00 || 1.21634 1.11434 0.27628 20.62906 43.44299 36.33891
  15 | 12084 | -3.56 | 1800.50 |     0 |     0 |     0 |  -59.88 |    0.00 |    0.00 |     0 | 0.00 || 0.76764 -1.26059 -0.29635 7.75439 40.56958 25.54872
  16 | 12014 | -3.37 | 1520.60 |     0 |     0 |     0 |  142.85 |    0.00 |    0.00 |     0 | 0.00 || 2.16830 -1.22108 -2.17563 21.39404 16.49052 32.46282
  17 | 11940 | -3.00 | 1620.40 |     0 |     0 |     0 |  149.48 |    0.00 |    0.00 |     0 | 0.00 || -1.91931 -0.38701 -1.96871 -1.52404 23.63128 42.59002
