*********************************************************
Program parameters

baseParams	(Str)	4.0 13.0 2
clusterParams	(Str)	0.1 4 2.0 8.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.5 6.0 6.0
ligandMs	(Str)	10.0 1.8
ligandPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1S1Q_l_u.pdb
ligandSeg	(Str)	10.0 20.0 1.5 1 0 1 0
log-file	(Str)	/sbi/users/manuel/Affinity_docking/ba_jobs_u/1S1Q/patchdock_log.txt
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	1.5 1.5 0.4 0.5 0.9
protLib	(Str)	/soft/bio/structure/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	/sbi/users/manuel/Databases/AffinityBenchmark1/1S1Q_r_u.pdb
receptorSeg	(Str)	10.0 20.0 1.5 1 0 1 0
scoreParams	(Str)	0.3 -5.0 0.5 0.0 0.0 1500 -8 -4 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
   1 | 10082 | -2.56 | 1188.10 |     0 |     0 |     0 |  271.92 |    0.00 |    0.00 |     0 | 0.00 || -2.10874 -0.16318 0.76804 40.19968 -22.49249 84.80064
   2 |  9516 | -3.68 | 1464.90 |     0 |     0 |     0 |  -47.93 |    0.00 |    0.00 |     0 | 0.00 || -2.50670 -0.24180 -1.65064 97.17981 98.03017 118.14634
   3 |  9426 | -3.31 | 1287.00 |     0 |     0 |     0 |  271.24 |    0.00 |    0.00 |     0 | 0.00 || -0.54012 0.18867 -1.31790 12.06701 90.02702 21.86640
   4 |  9342 | -3.73 | 1244.30 |     0 |     0 |     0 |  280.88 |    0.00 |    0.00 |     0 | 0.00 || 1.20741 0.29793 -0.92195 59.53967 98.96570 -35.26778
   5 |  9220 | -2.66 | 1060.10 |     0 |     0 |     0 |  297.72 |    0.00 |    0.00 |     0 | 0.00 || 1.09113 -0.95515 1.50435 66.62211 -51.46420 101.53120
   6 |  9212 | -3.05 | 1351.00 |     0 |     0 |     0 | -128.60 |    0.00 |    0.00 |     0 | 0.00 || -1.37534 -0.52001 -2.41971 105.90598 97.50217 94.52113
   7 |  9166 | -2.37 | 1117.70 |     0 |     0 |     0 |  357.22 |    0.00 |    0.00 |     0 | 0.00 || 1.26172 -0.59259 -3.09113 208.31494 3.35293 37.79757
   8 |  9144 | -2.48 | 1096.30 |     0 |     0 |     0 |   66.99 |    0.00 |    0.00 |     0 | 0.00 || 1.88682 -0.78895 -1.74530 158.57957 77.71667 103.11548
   9 |  9078 | -3.01 | 1329.60 |     0 |     0 |     0 |  148.20 |    0.00 |    0.00 |     0 | 0.00 || 2.84805 -0.26805 0.97084 1.86530 -12.14051 94.11821
  10 |  8980 | -2.47 | 1127.20 |     0 |     0 |     0 |  312.74 |    0.00 |    0.00 |     0 | 0.00 || 0.39413 -1.19243 -0.97294 23.46865 72.83423 118.40215
  11 |  8978 | -2.39 | 1131.60 |     0 |     0 |     0 |  200.92 |    0.00 |    0.00 |     0 | 0.00 || 2.81799 1.21875 -0.67112 72.88209 90.16579 -14.22351
  12 |  8970 | -2.69 | 1225.30 |     0 |     0 |     0 |  383.74 |    0.00 |    0.00 |     0 | 0.00 || -1.88564 0.35156 0.93340 37.05546 -57.15536 63.00118
  13 |  8968 | -3.11 | 1271.20 |     0 |     0 |     0 |   96.99 |    0.00 |    0.00 |     0 | 0.00 || -1.43577 0.33673 2.38805 193.99086 -0.89141 31.81715
  14 |  8816 | -2.83 | 1093.90 |     0 |     0 |     0 |  240.87 |    0.00 |    0.00 |     0 | 0.00 || 1.06317 0.99681 -1.38345 113.56396 42.94090 -65.93562
  15 |  8766 | -3.16 | 1232.70 |     0 |     0 |     0 |  252.44 |    0.00 |    0.00 |     0 | 0.00 || 0.35374 1.00197 0.58806 87.69386 8.54440 -61.41629
  16 |  8702 | -2.81 | 1110.70 |     0 |     0 |     0 |  432.27 |    0.00 |    0.00 |     0 | 0.00 || -0.17876 -0.26224 -1.21281 11.45057 94.42705 54.05198
  17 |  8662 | -3.22 | 1210.80 |     0 |     0 |     0 |  -49.33 |    0.00 |    0.00 |     0 | 0.00 || -0.84074 0.00354 -2.50007 116.51172 112.65686 62.37198
  18 |  8628 | -2.33 | 1045.60 |     0 |     0 |     0 |  161.09 |    0.00 |    0.00 |     0 | 0.00 || -0.42373 0.35680 0.89453 84.62275 -46.39573 -10.29404
  19 |  8580 | -3.20 | 1088.20 |     0 |     0 |     0 |   53.23 |    0.00 |    0.00 |     0 | 0.00 || -2.91082 -0.30673 2.58622 120.08346 -28.49290 115.16988
  20 |  8574 | -2.36 | 1021.00 |     0 |     0 |     0 |  387.09 |    0.00 |    0.00 |     0 | 0.00 || -2.18001 -0.07828 1.34675 66.45772 -43.89857 107.54552
  21 |  8552 | -2.90 | 1234.90 |     0 |     0 |     0 |  286.93 |    0.00 |    0.00 |     0 | 0.00 || 0.44170 -0.20001 0.53808 10.14661 -37.51265 28.53359
  22 |  8544 | -2.73 | 1079.10 |     0 |     0 |     0 |  409.09 |    0.00 |    0.00 |     0 | 0.00 || 1.38910 0.40627 -2.74477 158.22238 39.73854 -40.27744
  23 |  8544 | -3.05 | 1295.30 |     0 |     0 |     0 |  400.57 |    0.00 |    0.00 |     0 | 0.00 || -1.79306 0.74307 -0.09977 -9.08785 13.47093 33.47799
  24 |  8528 | -2.53 | 1052.60 |     0 |     0 |     0 |  242.21 |    0.00 |    0.00 |     0 | 0.00 || -0.68526 -0.70465 -0.66120 -1.90539 29.25353 101.41678
  25 |  8488 | -2.35 | 1062.40 |     0 |     0 |     0 |  354.82 |    0.00 |    0.00 |     0 | 0.00 || 2.48982 -0.28535 -1.00716 103.65175 137.84915 67.63441
  26 |  8480 | -2.89 | 1087.30 |     0 |     0 |     0 |  287.58 |    0.00 |    0.00 |     0 | 0.00 || 0.09453 0.42472 -1.05798 55.39789 58.90689 -37.06703
  27 |  8474 | -3.08 | 1193.60 |     0 |     0 |     0 |   40.81 |    0.00 |    0.00 |     0 | 0.00 || 1.74204 -0.01635 0.25978 -11.85547 37.71461 24.58037
  28 |  8434 | -2.64 | 1005.70 |     0 |     0 |     0 |  120.21 |    0.00 |    0.00 |     0 | 0.00 || -0.40685 0.58961 0.46533 71.50975 -31.30358 -26.06626
  29 |  8422 | -2.87 | 1070.60 |     0 |     0 |     0 |  117.93 |    0.00 |    0.00 |     0 | 0.00 || -1.28461 -1.05030 2.33178 127.69299 49.87284 112.84766
  30 |  8382 | -2.98 | 1102.00 |     0 |     0 |     0 |  245.03 |    0.00 |    0.00 |     0 | 0.00 || -1.38805 0.40614 1.57668 148.32855 -67.26783 19.18956
  31 |  8368 | -3.21 | 1074.90 |     0 |     0 |     0 |  150.60 |    0.00 |    0.00 |     0 | 0.00 || -2.10701 0.50027 -0.32594 -2.75736 59.54318 27.39440
  32 |  8348 | -2.95 | 1203.80 |     0 |     0 |     0 |  -19.23 |    0.00 |    0.00 |     0 | 0.00 || 0.83532 0.25680 0.32116 27.06540 10.70915 -38.05062
  33 |  8344 | -2.80 | 1163.10 |     0 |     0 |     0 |  351.96 |    0.00 |    0.00 |     0 | 0.00 || -1.42931 0.15884 1.93713 141.99220 -39.11137 71.86911
  34 |  8318 | -3.40 | 1052.10 |     0 |     0 |     0 |   33.07 |    0.00 |    0.00 |     0 | 0.00 || -2.35689 -0.49873 0.82053 77.32948 -28.70537 121.44974
  35 |  8310 | -3.27 | 1158.80 |     0 |     0 |     0 |  369.85 |    0.00 |    0.00 |     0 | 0.00 || 0.98846 1.16418 0.96466 113.89013 29.65503 -69.39606
  36 |  8296 | -2.87 | 1079.00 |     0 |     0 |     0 |  300.47 |    0.00 |    0.00 |     0 | 0.00 || 1.61724 -1.44183 0.15974 26.51814 46.57814 120.38133
  37 |  8252 | -3.42 | 1235.70 |     0 |     0 |     0 |  284.98 |    0.00 |    0.00 |     0 | 0.00 || 1.21586 -0.14626 -2.23431 175.02209 92.27065 -2.04439
  38 |  8236 | -2.67 | 1006.40 |     0 |     0 |     0 |  344.80 |    0.00 |    0.00 |     0 | 0.00 || -1.80306 1.18971 -2.64011 159.29910 81.93086 -34.98697
  39 |  8220 | -3.44 | 1167.80 |     0 |     0 |     0 |  288.27 |    0.00 |    0.00 |     0 | 0.00 || -2.02238 1.04819 1.70937 101.21985 -52.59714 7.25110
  40 |  8210 | -2.47 |  953.10 |     0 |     0 |     0 |   -5.95 |    0.00 |    0.00 |     0 | 0.00 || 1.70311 0.04565 1.34302 28.95585 -38.88454 22.57174
  41 |  8202 | -3.07 | 1254.70 |     0 |     0 |     0 | -155.74 |    0.00 |    0.00 |     0 | 0.00 || 2.00364 0.94890 0.88499 23.79637 26.05418 -32.34028
  42 |  8190 | -2.46 |  994.00 |     0 |     0 |     0 |  -74.53 |    0.00 |    0.00 |     0 | 0.00 || -1.05136 0.42351 -2.43830 108.57208 108.83871 27.96082
  43 |  8158 | -2.77 | 1029.60 |     0 |     0 |     0 |  393.54 |    0.00 |    0.00 |     0 | 0.00 || -2.81543 -0.44748 -0.40033 57.57266 80.59796 100.22284
  44 |  8108 | -2.95 | 1084.90 |     0 |     0 |     0 |  270.88 |    0.00 |    0.00 |     0 | 0.00 || 3.12573 -0.69691 -0.73165 77.02067 91.58659 104.08728
  45 |  8104 | -2.75 | 1028.20 |     0 |     0 |     0 |  157.50 |    0.00 |    0.00 |     0 | 0.00 || -1.08497 0.08695 -0.59303 -6.09704 49.86800 39.54104
  46 |  8092 | -2.33 |  945.40 |     0 |     0 |     0 |  351.43 |    0.00 |    0.00 |     0 | 0.00 || 1.56933 -0.40751 -3.10575 168.53609 2.67680 55.34676
  47 |  8062 | -2.99 | 1199.90 |     0 |     0 |     0 |  270.44 |    0.00 |    0.00 |     0 | 0.00 || 2.74781 0.19342 -0.01246 -5.12943 71.14075 50.34328
  48 |  8040 | -3.39 | 1200.60 |     0 |     0 |     0 |  285.25 |    0.00 |    0.00 |     0 | 0.00 || 2.18667 -0.03155 -0.42083 31.59120 109.31007 19.89984
  49 |  8026 | -2.67 | 1015.50 |     0 |     0 |     0 |  154.66 |    0.00 |    0.00 |     0 | 0.00 || 1.53403 0.09448 -0.97608 78.89854 121.01328 -13.19831
  50 |  8026 | -2.84 | 1028.70 |     0 |     0 |     0 |  450.45 |    0.00 |    0.00 |     0 | 0.00 || 2.80477 0.88979 2.36464 100.40264 -73.05248 -28.43255
  51 |  8006 | -2.82 | 1069.60 |     0 |     0 |     0 |   54.12 |    0.00 |    0.00 |     0 | 0.00 || 1.60303 0.75799 0.63095 51.54304 44.07063 -50.66561
  52 |  8004 | -2.94 | 1079.60 |     0 |     0 |     0 |   93.16 |    0.00 |    0.00 |     0 | 0.00 || 1.40970 -0.59270 -2.11301 155.64264 99.80064 40.02812
  53 |  7994 | -2.46 |  943.50 |     0 |     0 |     0 |  319.42 |    0.00 |    0.00 |     0 | 0.00 || 0.58950 -0.57703 -2.88584 167.13110 63.93497 67.39764
  54 |  7978 | -2.63 | 1092.90 |     0 |     0 |     0 | -123.27 |    0.00 |    0.00 |     0 | 0.00 || -2.53591 -0.22190 0.57504 46.46111 -14.28033 122.57309
  55 |  7950 | -2.75 |  953.50 |     0 |     0 |     0 |   19.21 |    0.00 |    0.00 |     0 | 0.00 || 0.32606 1.06699 -2.90395 72.65520 47.37745 -48.04902
  56 |  7946 | -3.46 | 1176.20 |     0 |     0 |     0 |   57.00 |    0.00 |    0.00 |     0 | 0.00 || -2.64726 0.44353 0.21143 3.36945 -0.38782 57.57413
  57 |  7918 | -2.56 | 1012.80 |     0 |     0 |     0 |  223.86 |    0.00 |    0.00 |     0 | 0.00 || 2.59393 -0.78655 2.63351 132.86398 -30.09772 93.49129
  58 |  7906 | -2.91 | 1007.40 |     0 |     0 |     0 | -156.56 |    0.00 |    0.00 |     0 | 0.00 || -2.55078 -0.25969 -1.78231 125.24960 62.39251 115.13409
  59 |  7884 | -2.49 |  932.10 |     0 |     0 |     0 |  190.66 |    0.00 |    0.00 |     0 | 0.00 || 0.98957 -0.08795 1.50330 64.22099 -66.83463 8.59224
  60 |  7880 | -3.32 | 1171.80 |     0 |     0 |     0 |  257.97 |    0.00 |    0.00 |     0 | 0.00 || 1.65049 -0.98956 2.79164 142.84592 -21.46620 78.63757
  61 |  7862 | -2.68 |  911.90 |     0 |     0 |     0 |  143.55 |    0.00 |    0.00 |     0 | 0.00 || 2.14532 0.58983 1.50211 36.32193 -39.95790 -39.15639
  62 |  7860 | -3.41 |  944.20 |     0 |     0 |     0 |  276.92 |    0.00 |    0.00 |     0 | 0.00 || 1.06592 0.91503 -0.12875 62.33497 39.34997 -38.41332
  63 |  7826 | -2.77 |  971.90 |     0 |     0 |     0 |  202.22 |    0.00 |    0.00 |     0 | 0.00 || 1.76453 0.66453 2.87691 146.20251 -36.35996 -12.83864
  64 |  7820 | -3.31 | 1254.70 |     0 |     0 |     0 |  -79.05 |    0.00 |    0.00 |     0 | 0.00 || 0.88342 -0.38615 2.80299 174.80913 6.24240 18.66068
  65 |  7814 | -2.74 | 1100.30 |     0 |     0 |     0 |  373.51 |    0.00 |    0.00 |     0 | 0.00 || 1.98907 -0.40600 -1.70085 162.14380 119.15654 51.45145
  66 |  7806 | -2.56 |  943.30 |     0 |     0 |     0 |  221.03 |    0.00 |    0.00 |     0 | 0.00 || -2.72165 0.24919 -2.73253 204.61292 21.21156 61.58892
  67 |  7798 | -2.74 |  938.50 |     0 |     0 |     0 |  201.92 |    0.00 |    0.00 |     0 | 0.00 || -0.39081 -0.19027 0.97651 66.78504 -65.53914 60.26317
  68 |  7798 | -3.20 | 1228.50 |     0 |     0 |     0 |   -1.20 |    0.00 |    0.00 |     0 | 0.00 || -2.76962 -1.29694 -2.67267 76.04678 -0.92906 147.36935
  69 |  7794 | -2.20 |  868.80 |     0 |     0 |     0 |    3.11 |    0.00 |    0.00 |     0 | 0.00 || -2.81602 0.52717 1.17064 48.46273 -66.88764 52.29577
  70 |  7790 | -2.97 |  973.60 |     0 |     0 |     0 |  239.24 |    0.00 |    0.00 |     0 | 0.00 || -0.67471 -0.65916 0.27080 55.73331 -28.70990 76.16447
  71 |  7776 | -2.69 | 1011.90 |     0 |     0 |     0 |  227.03 |    0.00 |    0.00 |     0 | 0.00 || -2.75387 0.29129 -2.02475 136.87917 95.23734 70.46338
